,date,open,high,low,close,volume,average,barCount
0,2023-10-06,8.49,8.75,8.46,8.72,20903249.0,8.658,36823
1,2023-10-09,8.51,8.54,8.11,8.34,36614608.0,8.269,64955
2,2023-10-10,8.35,8.88,8.35,8.83,36131285.0,8.733,65487
3,2023-10-11,8.95,9.19,8.9,8.97,29088770.0,9.025,55352
4,2023-10-12,8.88,8.97,8.38,8.44,33497291.0,8.586,55614
5,2023-10-13,8.4,8.55,8.27,8.47,26226595.0,8.371,43378
6,2023-10-16,8.37,8.53,8.24,8.52,22742899.0,8.423,41444
7,2023-10-17,8.33,8.65,8.29,8.53,16428783.0,8.523,31759
8,2023-10-18,8.53,8.54,7.86,7.91,45288648.0,8.049,77794
9,2023-10-19,7.76,7.88,7.58,7.69,34168789.0,7.726,66439
10,2023-10-20,7.53,7.85,7.47,7.58,27983985.0,7.688,54497
11,2023-10-23,7.49,7.7,7.31,7.59,30351816.0,7.563,53450
12,2023-10-24,7.56,8.12,7.56,8.09,37998054.0,7.928,67636
13,2023-10-25,7.82,7.85,7.6,7.6,25459770.0,7.67,53915
14,2023-10-26,7.62,7.8,7.52,7.63,21693674.0,7.637,40359
15,2023-10-27,7.78,7.81,7.38,7.44,30575734.0,7.477,58785
16,2023-10-30,7.56,7.64,7.39,7.52,22974061.0,7.521,48037
17,2023-10-31,7.35,7.4,7.18,7.3,26785553.0,7.281,49099
18,2023-11-01,7.31,7.45,7.19,7.45,29226516.0,7.319,49724
19,2023-11-02,7.72,7.93,7.69,7.79,38611286.0,7.833,69865
20,2023-11-03,8.01,8.3,7.87,8.23,51371493.0,8.136,92493
21,2023-11-06,8.45,8.51,7.86,7.97,39110045.0,8.048,69934
22,2023-11-07,7.88,7.9,7.7,7.89,23070623.0,7.802,44343
23,2023-11-08,7.81,8.0,7.67,7.92,34453064.0,7.861,69658
24,2023-11-09,7.82,7.96,7.46,7.47,32665381.0,7.648,58294
25,2023-11-10,7.61,7.64,7.16,7.24,36418105.0,7.278,63937
26,2023-11-13,7.27,7.43,7.11,7.22,29566665.0,7.28,55504
27,2023-11-14,7.36,7.64,7.33,7.58,37790403.0,7.493,57884
28,2023-11-15,7.64,8.2,7.63,7.94,50545315.0,7.961,81485
29,2023-11-16,7.58,7.6,7.14,7.4,63829137.0,7.29,107893
30,2023-11-17,7.4,7.5,7.25,7.39,24128392.0,7.339,41219
31,2023-11-20,7.68,8.03,7.64,7.8,56443419.0,7.875,88929
32,2023-11-21,7.62,7.71,7.42,7.51,30344463.0,7.514,53301
33,2023-11-22,7.58,7.64,7.36,7.47,19682865.0,7.452,40053
34,2023-11-24,7.4,7.48,7.28,7.4,20893552.0,7.385,34885
35,2023-11-27,7.31,7.38,7.18,7.19,30735177.0,7.274,48674
36,2023-11-28,7.2,7.26,7.02,7.21,43568910.0,7.165,70996
37,2023-11-29,7.29,7.52,7.13,7.18,43576693.0,7.279,68194
38,2023-11-30,7.25,7.34,7.13,7.27,39252129.0,7.227,55740
39,2023-12-01,7.14,7.26,7.01,7.15,43269230.0,7.132,65360
40,2023-12-04,7.14,7.38,7.03,7.32,47778189.0,7.267,74012
41,2023-12-05,7.58,7.96,7.38,7.43,78547132.0,7.63,132502
42,2023-12-06,7.65,8.28,7.59,7.75,110422144.0,7.963,155216
43,2023-12-07,7.85,7.96,7.43,7.49,56484556.0,7.583,88090
44,2023-12-08,7.37,7.57,7.3,7.38,37593516.0,7.433,58835
45,2023-12-11,7.49,7.7,7.4,7.68,33909128.0,7.556,50545
46,2023-12-12,7.59,7.6,7.17,7.27,53645158.0,7.271,78624
47,2023-12-13,7.18,7.45,7.05,7.43,53101679.0,7.217,76524
48,2023-12-14,7.47,8.02,7.46,7.86,89025611.0,7.818,127571
49,2023-12-15,8.02,8.14,7.74,7.98,60369776.0,7.942,91846
50,2023-12-18,8.59,8.64,8.23,8.35,107442776.0,8.391,147892
51,2023-12-19,8.52,8.9,8.51,8.82,79343822.0,8.777,112124
52,2023-12-20,8.63,8.7,7.92,7.92,95796299.0,8.297,132235
53,2023-12-21,8.15,8.31,7.99,8.29,43260245.0,8.125,62665
54,2023-12-22,8.1,8.59,8.08,8.42,51710488.0,8.455,75282
55,2023-12-26,8.77,9.43,8.63,9.33,122004618.0,9.176,185969
56,2023-12-27,9.26,9.33,8.89,9.1,91391652.0,9.076,135583
57,2023-12-28,9.16,9.57,9.12,9.43,84517506.0,9.411,113923
58,2023-12-29,9.43,9.53,8.95,9.07,69407188.0,9.136,108466
59,2024-01-02,8.93,8.94,8.38,8.42,73573674.0,8.539,122726
60,2024-01-03,8.12,8.56,8.1,8.5,53181289.0,8.364,84940
61,2024-01-04,8.33,8.47,8.25,8.27,34560078.0,8.345,52573
62,2024-01-05,8.16,8.25,8.03,8.06,37417383.0,8.133,56005
63,2024-01-08,7.86,8.05,7.73,7.93,45015874.0,7.914,68167
64,2024-01-09,7.81,7.84,7.52,7.56,65045805.0,7.654,88502
65,2024-01-10,7.53,7.55,7.31,7.41,50536014.0,7.411,74518
66,2024-01-11,7.57,7.67,7.32,7.4,47849462.0,7.442,70510
67,2024-01-12,7.26,7.53,7.16,7.17,43729834.0,7.282,62627
68,2024-01-16,7.04,7.05,6.45,6.55,112576656.0,6.674,173746
69,2024-01-17,6.21,6.42,6.12,6.3,54560082.0,6.304,89561
70,2024-01-18,6.5,6.54,6.1,6.28,62865622.0,6.288,90224
71,2024-01-19,6.16,6.16,5.86,6.06,75346568.0,5.999,102956
