,date,open,high,low,close,volume,average,barCount
0,2023-09-25,6.46,6.6,6.45,6.57,444630.0,6.554,2355
1,2023-09-26,6.44,6.55,6.32,6.38,598498.0,6.416,3298
2,2023-09-27,6.41,6.5,6.17,6.26,851747.0,6.243,4844
3,2023-09-28,6.26,6.38,6.2,6.29,820996.0,6.308,5030
4,2023-09-29,6.35,6.49,6.25,6.43,683131.0,6.408,3717
5,2023-10-02,6.43,6.43,6.16,6.23,457767.0,6.225,3006
6,2023-10-03,6.06,6.07,5.6,5.86,1082536.0,5.834,6184
7,2023-10-04,5.58,5.88,5.58,5.83,1830728.0,5.743,8318
8,2023-10-05,5.8,5.92,5.73,5.89,887614.0,5.846,5365
9,2023-10-06,5.85,5.93,5.73,5.89,1017345.0,5.858,5546
10,2023-10-09,5.83,6.07,5.78,6.04,604526.0,6.02,3939
11,2023-10-10,6.05,6.18,5.98,6.14,378039.0,6.135,2615
12,2023-10-11,6.18,6.32,6.11,6.31,745994.0,6.207,3875
13,2023-10-12,6.31,6.31,5.95,6.01,622701.0,6.044,3832
14,2023-10-13,6.09,6.09,5.76,5.83,565400.0,5.834,3047
15,2023-10-16,5.91,6.09,5.8,5.83,1009410.0,5.894,5469
16,2023-10-17,5.75,5.97,5.74,5.84,1139397.0,5.91,5278
17,2023-10-18,5.73,5.78,5.49,5.55,737035.0,5.591,3776
18,2023-10-19,5.55,5.63,5.39,5.4,567049.0,5.489,3715
19,2023-10-20,5.43,5.49,5.27,5.28,566983.0,5.334,3478
20,2023-10-23,5.22,5.42,5.21,5.27,505618.0,5.321,2399
21,2023-10-24,5.32,5.4,5.21,5.29,609283.0,5.279,2501
22,2023-10-25,5.21,5.3,5.08,5.26,824838.0,5.234,3577
23,2023-10-26,5.26,5.51,5.25,5.46,691135.0,5.392,3471
24,2023-10-27,5.46,5.52,5.38,5.44,960315.0,5.433,4567
25,2023-10-30,5.5,5.62,5.43,5.55,838226.0,5.486,3907
26,2023-10-31,5.58,5.7,5.52,5.67,892802.0,5.616,4834
27,2023-11-01,5.95,6.52,5.87,6.51,1964613.0,6.368,8093
28,2023-11-02,6.63,6.84,6.51,6.81,1139907.0,6.7,6237
29,2023-11-03,6.99,7.59,6.88,7.52,1188338.0,7.389,6539
30,2023-11-06,7.48,7.52,7.08,7.16,1747923.0,7.146,6648
31,2023-11-07,7.1,7.16,6.91,7.06,847551.0,7.014,5431
32,2023-11-08,7.11,7.18,6.95,7.03,609991.0,7.042,3943
33,2023-11-09,7.06,7.06,6.79,6.82,434757.0,6.891,3022
34,2023-11-10,6.86,6.93,6.79,6.82,507261.0,6.868,2483
35,2023-11-13,6.75,6.86,6.64,6.8,371010.0,6.783,2353
36,2023-11-14,7.22,7.73,7.18,7.64,997877.0,7.594,4527
37,2023-11-15,7.58,7.87,7.58,7.79,551817.0,7.755,3589
38,2023-11-16,7.76,7.8,7.64,7.7,538741.0,7.709,3634
39,2023-11-17,7.81,7.85,7.68,7.83,594046.0,7.785,3474
40,2023-11-20,7.8,7.9,7.63,7.84,638255.0,7.765,3258
41,2023-11-21,7.8,7.86,7.71,7.79,778420.0,7.76,2568
42,2023-11-22,7.9,8.0,7.79,7.92,770056.0,7.896,2360
43,2023-11-24,7.9,7.96,7.72,7.91,197189.0,7.902,1495
44,2023-11-27,7.84,7.97,7.73,7.9,612311.0,7.894,3359
45,2023-11-28,7.88,8.02,7.8,8.0,876518.0,7.929,3409
46,2023-11-29,8.15,8.42,8.15,8.26,848168.0,8.295,3867
47,2023-11-30,8.26,8.33,8.14,8.23,707735.0,8.235,3555
48,2023-12-01,8.17,8.44,8.11,8.41,666181.0,8.349,4463
49,2023-12-04,8.34,8.53,8.3,8.52,588015.0,8.427,3991
50,2023-12-05,8.4,8.45,8.3,8.34,307035.0,8.379,2034
51,2023-12-06,8.45,8.56,8.31,8.33,558307.0,8.41,3869
52,2023-12-07,8.37,8.53,8.28,8.52,575669.0,8.446,3439
53,2023-12-08,8.5,8.7,8.33,8.68,589783.0,8.618,3531
54,2023-12-11,8.64,8.83,8.54,8.74,442453.0,8.741,2780
55,2023-12-12,8.71,8.82,8.62,8.75,375099.0,8.729,2286
56,2023-12-13,8.8,9.36,8.65,9.31,592579.0,9.05,3722
57,2023-12-14,9.57,10.1,9.57,9.99,1224230.0,9.917,7610
58,2023-12-15,10.03,10.15,9.62,9.92,998562.0,9.981,4064
59,2023-12-18,9.96,10.12,9.72,9.97,712354.0,9.973,4956
60,2023-12-19,10.07,10.21,9.99,10.07,404878.0,10.07,2848
61,2023-12-20,10.43,10.67,10.18,10.2,1668369.0,10.465,9195
62,2023-12-21,10.38,10.55,10.26,10.38,775941.0,10.344,4720
63,2023-12-22,10.49,10.5,10.29,10.45,1161686.0,10.431,6409
64,2023-12-26,10.52,10.95,10.34,10.9,843805.0,10.798,5381
65,2023-12-27,10.94,11.17,10.85,11.13,562133.0,11.072,3577
66,2023-12-28,11.06,11.23,11.03,11.05,360331.0,11.096,2439
67,2023-12-29,10.98,11.12,10.88,10.96,425185.0,10.974,2895
68,2024-01-02,10.77,11.1,10.6,10.85,561348.0,10.879,3900
69,2024-01-03,10.67,10.67,10.29,10.36,749192.0,10.444,4612
70,2024-01-04,10.38,10.39,10.17,10.27,711153.0,10.282,3326
71,2024-01-05,10.21,10.45,10.06,10.13,779187.0,10.23,4300
72,2024-01-08,10.14,10.42,10.1,10.31,1253289.0,10.29,6475
73,2024-01-09,10.15,10.29,9.95,9.98,1536218.0,10.097,5861
74,2024-01-10,9.93,10.1,9.84,10.0,585557.0,9.994,4145
75,2024-01-11,9.91,9.97,9.69,9.75,741650.0,9.766,4599
76,2024-01-12,10.0,10.04,9.64,9.7,709681.0,9.706,4739
77,2024-01-16,9.45,9.6,9.43,9.59,552540.0,9.516,4037
78,2024-01-17,9.38,9.58,9.22,9.54,366193.0,9.488,2468
79,2024-01-18,9.65,9.74,9.45,9.61,482961.0,9.577,3358
80,2024-01-19,9.68,9.76,9.5,9.74,387875.0,9.655,2762
81,2024-01-22,9.95,10.37,9.92,10.33,816850.0,10.272,5109
82,2024-01-23,10.42,10.57,10.2,10.23,593118.0,10.325,4112
83,2024-01-24,10.45,10.48,10.16,10.2,390528.0,10.276,2969
84,2024-01-25,10.44,10.53,10.22,10.28,540408.0,10.293,3455
85,2024-01-26,10.44,10.56,10.32,10.4,721697.0,10.473,3202
86,2024-01-29,10.37,10.49,10.27,10.48,665754.0,10.377,4220
87,2024-01-30,10.4,10.48,10.28,10.39,503128.0,10.392,3228
88,2024-01-31,10.31,10.71,10.13,10.15,849636.0,10.383,4907
89,2024-02-01,10.2,10.43,9.97,10.38,416054.0,10.252,3213
