,date,open,high,low,close,volume,average,barCount
0,2023-10-06,419.0,425.32,414.56,423.24,514151.0,421.275,3937
1,2023-10-09,448.8,474.48,448.73,471.61,1560032.0,466.914,10635
2,2023-10-10,473.86,474.98,462.63,465.12,706198.0,466.447,4802
3,2023-10-11,467.25,474.64,466.31,473.37,368916.0,471.401,2458
4,2023-10-12,474.0,479.42,471.07,477.31,501388.0,475.471,3302
5,2023-10-13,482.39,490.99,480.35,490.15,707973.0,487.215,4949
6,2023-10-16,492.18,495.0,482.58,489.07,516890.0,488.107,3196
7,2023-10-17,487.81,496.89,483.89,489.0,476699.0,489.805,3548
8,2023-10-18,493.0,495.99,488.29,490.76,341964.0,492.654,2368
9,2023-10-19,488.58,493.43,487.63,489.94,289398.0,490.244,2261
10,2023-10-20,492.13,494.77,485.6,485.7,369251.0,489.929,2521
11,2023-10-23,486.27,487.9,480.44,480.6,359514.0,484.17,2714
12,2023-10-24,484.21,487.14,477.98,478.44,393038.0,480.217,2993
13,2023-10-25,482.41,486.3,480.04,483.26,422371.0,483.884,3562
14,2023-10-26,486.5,492.0,474.01,477.78,814729.0,481.735,5957
15,2023-10-27,474.99,478.52,468.9,473.07,368391.0,473.345,2997
16,2023-10-30,473.67,475.0,467.4,468.68,453019.0,469.524,3392
17,2023-10-31,470.33,471.9,463.84,471.43,462418.0,467.882,3481
18,2023-11-01,474.75,474.75,467.14,468.26,369202.0,469.126,2872
19,2023-11-02,465.32,476.1,463.69,475.77,763538.0,473.531,5272
20,2023-11-03,475.8,477.0,470.13,470.58,327682.0,472.183,2612
21,2023-11-06,472.62,474.37,469.7,471.0,279242.0,472.209,2291
22,2023-11-07,473.3,473.3,464.77,467.7,547463.0,466.807,3097
23,2023-11-08,467.67,469.58,459.52,460.48,403174.0,461.296,2378
24,2023-11-09,461.25,462.45,457.16,461.09,481411.0,459.806,2754
25,2023-11-10,461.55,464.24,458.33,463.27,351355.0,461.128,2505
26,2023-11-13,464.03,466.21,462.03,464.38,659390.0,463.6,2965
27,2023-11-14,463.0,468.68,460.57,466.83,620001.0,466.399,3023
28,2023-11-15,466.0,467.84,462.75,464.99,272676.0,465.317,1699
29,2023-11-16,466.15,467.08,462.84,463.88,132345.0,464.26,997
30,2023-11-17,464.34,466.27,463.21,464.17,164629.0,464.531,1068
31,2023-11-20,464.52,467.92,462.87,465.82,164172.0,465.904,1241
32,2023-11-21,465.82,472.02,462.51,471.07,135705.0,470.116,1033
33,2023-11-22,468.71,472.94,467.76,471.45,146582.0,470.792,1138
34,2023-11-24,471.5,473.61,470.33,471.52,70308.0,471.993,520
35,2023-11-27,470.81,470.81,465.56,468.39,217222.0,467.29,1244
36,2023-11-28,470.53,473.57,468.81,470.08,196303.0,471.325,1214
37,2023-11-29,470.28,471.42,464.44,467.41,220929.0,466.94,1539
38,2023-11-30,469.22,476.27,468.39,475.16,269958.0,474.103,2080
39,2023-12-01,476.39,480.58,475.11,479.84,294579.0,479.042,2254
40,2023-12-04,478.49,480.56,474.96,480.33,501178.0,477.873,3575
41,2023-12-05,480.43,480.43,475.28,476.61,306799.0,477.003,2309
42,2023-12-06,475.21,481.14,475.21,480.29,168022.0,479.668,1272
