,date,open,high,low,close,volume,average,barCount
0,2023-10-06,37.95,38.9,37.63,38.37,446909.0,38.355,2758
1,2023-10-09,39.79,40.91,39.56,40.49,873930.0,40.29,4309
2,2023-10-10,40.51,41.3,40.5,40.82,677264.0,40.992,3078
3,2023-10-11,38.77,39.63,38.6,39.23,4645479.0,39.186,22343
4,2023-10-12,39.67,39.92,38.83,39.2,1886253.0,39.274,12825
5,2023-10-13,39.57,40.68,39.36,40.53,1701377.0,40.247,10825
6,2023-10-16,40.53,40.83,39.77,40.72,859580.0,40.525,5109
7,2023-10-17,40.66,41.13,40.3,40.63,1045285.0,40.679,5689
8,2023-10-18,41.0,41.11,40.36,40.75,825748.0,40.742,5349
9,2023-10-19,40.2,40.96,39.8,40.62,853299.0,40.583,5434
10,2023-10-20,40.42,40.63,39.43,39.53,851914.0,39.83,5288
11,2023-10-23,39.25,39.6,38.8,38.96,1153742.0,39.21,6204
12,2023-10-24,39.27,39.34,38.41,38.43,857689.0,38.683,5221
13,2023-10-25,38.43,39.07,38.2,38.91,760346.0,38.702,5136
14,2023-10-26,38.39,39.3,37.75,38.84,823734.0,38.766,5576
15,2023-10-27,38.9,39.08,37.94,38.38,768302.0,38.322,5355
16,2023-10-30,38.28,38.63,37.4,37.98,1254002.0,37.723,6440
17,2023-10-31,38.05,38.67,37.51,38.34,438572.0,38.291,2743
18,2023-11-01,38.49,38.7,37.74,37.82,566978.0,38.131,3967
19,2023-11-02,37.06,38.83,37.01,38.69,809502.0,38.384,5265
20,2023-11-03,38.76,39.26,38.16,38.74,574271.0,38.587,3270
21,2023-11-06,38.66,38.83,37.5,37.62,567834.0,37.909,3605
22,2023-11-07,37.03,37.03,36.13,36.44,879596.0,36.414,4940
23,2023-11-08,36.18,36.42,35.64,35.65,712857.0,35.869,4674
24,2023-11-09,35.9,36.31,35.44,35.46,599516.0,35.767,3513
25,2023-11-10,35.89,36.8,35.65,36.34,602783.0,36.296,4003
26,2023-11-13,36.41,36.76,36.15,36.28,372855.0,36.391,2418
27,2023-11-14,36.44,36.98,35.92,36.74,673198.0,36.599,4418
28,2023-11-15,36.57,37.59,36.57,36.76,407591.0,37.007,2677
29,2023-11-16,36.24,36.4,35.18,36.04,923643.0,35.731,5676
30,2023-11-17,36.45,37.52,36.45,37.28,773464.0,37.108,3926
31,2023-11-20,37.61,37.75,37.33,37.43,431999.0,37.493,2566
32,2023-11-21,37.2,37.55,36.71,37.54,535806.0,37.244,3506
33,2023-11-22,36.16,37.62,35.91,37.45,653612.0,37.213,3596
34,2023-11-24,37.28,38.06,37.28,37.58,328539.0,37.688,2390
35,2023-11-27,37.34,37.4,36.92,37.1,833409.0,37.142,4497
36,2023-11-28,37.46,37.93,37.14,37.15,623610.0,37.391,3911
37,2023-11-29,37.38,37.68,36.96,37.09,437240.0,37.277,3194
38,2023-11-30,37.57,38.24,37.01,37.42,636231.0,37.435,4072
39,2023-12-01,37.25,38.66,37.25,37.9,889569.0,38.09,5178
40,2023-12-04,37.48,37.77,37.11,37.44,580127.0,37.348,4241
41,2023-12-05,37.53,37.63,36.37,36.38,699952.0,36.88,3894
42,2023-12-06,36.17,36.47,34.96,35.0,1418164.0,35.297,7621
43,2023-12-07,35.32,35.69,35.13,35.46,1081928.0,35.419,5866
44,2023-12-08,35.79,36.83,35.67,36.79,690789.0,36.53,4678
