,date,open,high,low,close,volume,average,barCount
0,2023-10-06,18.88,19.17,18.62,18.96,2427823.0,18.952,13558
1,2023-10-09,19.38,20.11,19.37,19.98,2871717.0,19.93,15493
2,2023-10-10,19.97,20.17,19.83,19.98,2399104.0,20.041,12716
3,2023-10-11,19.76,20.21,19.75,20.15,2068354.0,20.039,11156
4,2023-10-12,20.41,20.46,19.6,19.87,2486570.0,19.962,11951
5,2023-10-13,20.22,20.68,19.95,20.49,2247549.0,20.403,12877
6,2023-10-16,20.61,20.83,20.44,20.5,1877654.0,20.589,11352
7,2023-10-17,20.27,21.13,20.23,21.06,2750113.0,20.904,13694
8,2023-10-18,21.21,21.53,20.68,20.82,2832048.0,20.984,15256
9,2023-10-19,20.49,20.86,20.27,20.6,2450198.0,20.555,13413
10,2023-10-20,20.51,20.54,19.51,20.09,3048602.0,19.842,16557
11,2023-10-23,20.01,20.07,19.59,19.84,2087301.0,19.805,11595
12,2023-10-24,19.95,20.13,19.57,19.88,2866629.0,19.931,15175
13,2023-10-25,19.8,19.95,19.25,19.45,2440356.0,19.492,14549
14,2023-10-26,19.22,19.35,18.83,19.1,3541101.0,19.04,21477
15,2023-10-27,18.68,19.8,18.37,19.6,5340833.0,19.343,32437
16,2023-10-30,19.84,20.05,19.38,19.79,2881142.0,19.712,17278
17,2023-10-31,19.82,20.12,19.5,19.96,2975631.0,19.902,16474
18,2023-11-01,20.11,20.16,19.59,19.69,3585146.0,19.806,19428
19,2023-11-02,19.82,20.5,19.76,20.48,2319637.0,20.188,13090
20,2023-11-03,20.59,20.85,20.34,20.34,2359670.0,20.512,13554
21,2023-11-06,20.51,20.58,19.93,19.96,1711819.0,20.094,8376
22,2023-11-07,19.55,19.55,18.92,19.01,2547437.0,19.113,10446
23,2023-11-08,18.88,19.11,18.61,18.74,2026422.0,18.773,10303
24,2023-11-09,18.89,19.29,18.7,18.87,2245628.0,19.007,11279
25,2023-11-10,19.1,19.5,18.93,19.3,3036360.0,19.274,15079
26,2023-11-13,19.27,19.58,19.13,19.48,1277138.0,19.475,7112
27,2023-11-14,19.65,20.04,19.46,19.87,1879532.0,19.796,9885
28,2023-11-15,19.84,20.29,19.6,19.66,1954685.0,19.842,10271
29,2023-11-16,19.38,19.58,18.29,18.73,2713808.0,18.678,14650
30,2023-11-17,19.0,19.57,18.95,19.45,3021685.0,19.35,14935
31,2023-11-20,19.7,19.7,19.22,19.27,2196864.0,19.392,11395
32,2023-11-21,19.09,19.19,18.89,19.02,1725508.0,19.029,8739
33,2023-11-22,18.53,19.15,18.42,18.95,2414589.0,18.914,11309
34,2023-11-24,19.03,19.33,19.02,19.07,1159899.0,19.177,5834
35,2023-11-27,18.95,19.21,18.79,19.17,2061350.0,19.044,8249
36,2023-11-28,19.19,19.21,18.82,18.88,2234769.0,18.983,10009
37,2023-11-29,18.97,19.06,18.75,18.94,1650000.0,18.937,8692
38,2023-11-30,19.2,19.51,18.67,18.82,2098081.0,18.962,10402
39,2023-12-01,18.78,19.51,18.72,19.12,2406319.0,19.228,13375
40,2023-12-04,18.89,19.26,18.71,19.03,3128373.0,19.035,14636
41,2023-12-05,19.02,19.08,18.61,18.75,1895917.0,18.784,9665
42,2023-12-06,18.64,19.03,18.3,18.38,3083171.0,18.555,13517
43,2023-12-07,18.48,18.63,18.31,18.45,2109591.0,18.471,11476
44,2023-12-08,19.0,19.25,18.74,18.92,3411494.0,18.968,16909
45,2023-12-11,18.83,19.08,18.64,18.75,2070341.0,18.827,10538
46,2023-12-12,18.49,18.69,18.36,18.54,1556931.0,18.552,8885
47,2023-12-13,18.66,19.14,18.5,19.11,2520786.0,18.868,13993
48,2023-12-14,19.48,20.13,19.38,20.07,4674046.0,19.979,24210
49,2023-12-15,20.03,20.05,19.61,19.83,1950244.0,19.796,10435
50,2023-12-18,20.21,20.36,19.88,19.94,2281754.0,20.037,10999
51,2023-12-19,20.01,20.48,19.96,20.38,4157904.0,20.278,17007
52,2023-12-20,20.37,20.78,20.23,20.26,2042781.0,20.516,11063
53,2023-12-21,20.26,20.46,20.2,20.45,1290226.0,20.326,7158
54,2023-12-22,20.66,20.78,20.37,20.45,1105045.0,20.543,6693
55,2023-12-26,20.77,20.96,20.59,20.8,1221916.0,20.821,6716
56,2023-12-27,20.75,20.95,20.64,20.76,974329.0,20.781,5719
57,2023-12-28,20.56,20.72,20.44,20.48,790440.0,20.543,4718
58,2023-12-29,20.44,20.49,20.26,20.28,1073297.0,20.353,6636
59,2024-01-02,20.47,20.68,20.07,20.16,1324720.0,20.373,8108
60,2024-01-03,20.0,20.62,19.88,20.32,1740074.0,20.334,10585
61,2024-01-04,20.47,20.67,19.97,20.06,1671315.0,20.173,10154
62,2024-01-05,20.22,20.71,20.1,20.59,2231747.0,20.541,13813
63,2024-01-08,20.05,20.21,19.71,20.21,2508953.0,19.966,16169
64,2024-01-09,20.11,20.25,19.39,19.51,2834172.0,19.565,16403
65,2024-01-10,19.4,19.56,19.04,19.09,2209295.0,19.209,11390
66,2024-01-11,19.19,19.48,18.85,19.45,2681704.0,19.291,14471
67,2024-01-12,19.98,20.12,19.67,19.98,3945241.0,19.927,21948
68,2024-01-16,19.63,19.88,19.27,19.35,2914130.0,19.491,16173
69,2024-01-17,19.01,19.41,18.95,19.08,1996080.0,19.172,11935
70,2024-01-18,19.14,19.57,19.04,19.47,2186097.0,19.403,12908
71,2024-01-19,19.57,19.63,19.3,19.5,2402792.0,19.48,12993
72,2024-01-22,19.47,20.11,19.38,19.97,2715093.0,19.894,15184
73,2024-01-23,19.95,20.33,19.83,20.1,1993856.0,20.086,11540
74,2024-01-24,20.33,20.98,20.2,20.9,4254790.0,20.823,21776
75,2024-01-25,21.05,21.23,20.56,20.98,3263456.0,20.945,17776
76,2024-01-26,20.98,21.2,20.65,20.98,3460566.0,20.926,18548
77,2024-01-29,20.82,21.01,20.39,21.0,3215166.0,20.853,17707
78,2024-01-30,19.85,20.19,19.04,19.84,7575128.0,19.686,36407
79,2024-01-31,19.96,20.02,19.45,19.51,3458740.0,19.744,19735
80,2024-02-01,19.69,19.95,19.39,19.85,2901192.0,19.707,15533
81,2024-02-02,19.83,20.0,17.59,17.62,11729343.0,18.385,56736
82,2024-02-05,17.55,17.81,17.11,17.31,6888226.0,17.302,38150
83,2024-02-06,17.33,17.67,17.13,17.52,5233626.0,17.442,27169
84,2024-02-07,17.49,17.62,16.92,17.19,6577812.0,17.214,34790
85,2024-02-08,17.16,17.38,17.01,17.27,19362802.0,17.193,41520
86,2024-02-09,17.21,17.37,17.12,17.2,4027702.0,17.22,22559
87,2024-02-12,17.38,17.75,17.36,17.48,4687582.0,17.559,20503
88,2024-02-13,17.23,17.44,16.86,17.0,3146025.0,17.077,14701
89,2024-02-14,17.19,17.31,17.05,17.31,885906.0,17.2,5266
