,date,open,high,low,close,volume,average,barCount
0,2023-10-06,38.11,39.32,38.02,38.97,2691146.0,38.867,17722
1,2023-10-09,38.99,39.71,38.99,39.7,2009633.0,39.48,12057
2,2023-10-10,39.64,39.96,39.47,39.86,1982197.0,39.715,12621
3,2023-10-11,40.0,41.28,39.98,41.27,2285990.0,40.689,14276
4,2023-10-12,41.14,41.42,40.8,41.37,2030579.0,41.162,13498
5,2023-10-13,41.59,41.66,40.81,41.01,1708374.0,41.199,9750
6,2023-10-16,41.23,41.77,40.91,41.54,1524744.0,41.4,9107
7,2023-10-17,41.28,42.02,41.23,42.02,1770242.0,41.751,11389
8,2023-10-18,41.85,41.99,41.41,41.47,1697444.0,41.662,10805
9,2023-10-19,41.37,41.7,40.75,40.76,1303071.0,41.141,8344
10,2023-10-20,40.78,40.99,40.37,40.53,1288797.0,40.624,8665
11,2023-10-23,40.19,40.88,40.09,40.64,1338044.0,40.669,9167
12,2023-10-24,41.18,42.09,41.02,42.07,2113227.0,41.729,12558
13,2023-10-25,42.04,42.64,41.58,41.83,2100739.0,42.048,11406
14,2023-10-26,41.86,42.43,41.81,42.2,1762702.0,42.15,11048
15,2023-10-27,42.13,42.31,41.5,41.66,1913415.0,41.879,12997
16,2023-10-30,41.49,42.42,41.49,42.25,1627575.0,42.117,9827
17,2023-10-31,41.94,42.42,41.57,42.38,1648991.0,42.188,11184
18,2023-11-01,43.0,44.15,42.85,43.86,4305829.0,43.616,23190
19,2023-11-02,42.76,46.26,41.72,45.13,6938335.0,45.42,35070
20,2023-11-03,45.4,45.75,44.3,45.0,4570567.0,44.974,25704
21,2023-11-06,45.64,46.82,45.4,45.74,7266433.0,46.068,37050
22,2023-11-07,46.11,46.45,45.04,45.42,5396094.0,45.431,27814
23,2023-11-08,45.19,45.78,45.03,45.68,3868516.0,45.462,19795
24,2023-11-09,45.55,45.82,45.02,45.07,2519667.0,45.281,14472
25,2023-11-10,45.5,45.64,45.09,45.55,2760921.0,45.393,14991
26,2023-11-13,45.66,46.26,45.43,46.09,3377784.0,45.958,17877
27,2023-11-14,46.78,47.34,46.21,47.32,2626696.0,46.77,13728
28,2023-11-15,47.1,47.86,47.08,47.51,2291007.0,47.557,13378
29,2023-11-16,47.99,48.58,47.44,47.57,2708435.0,47.825,16105
30,2023-11-17,47.83,48.26,47.61,48.08,2384714.0,48.086,12615
31,2023-11-20,47.86,48.03,46.56,47.29,3537774.0,47.238,20839
32,2023-11-21,47.1,47.24,44.9,45.2,3903746.0,45.573,20330
33,2023-11-22,45.37,45.85,45.04,45.83,2045683.0,45.447,12368
34,2023-11-24,45.73,45.89,45.29,45.89,708204.0,45.644,4416
35,2023-11-27,45.9,46.68,45.46,46.46,1660765.0,46.246,9700
36,2023-11-28,46.23,47.24,46.23,46.78,1538229.0,46.848,9111
37,2023-11-29,46.66,47.29,46.52,46.85,1170019.0,46.993,7529
38,2023-11-30,46.9,47.98,46.74,47.84,1905332.0,47.638,11398
39,2023-12-01,47.72,48.39,47.71,48.37,1925848.0,48.168,11339
40,2023-12-04,47.95,48.54,47.59,48.08,1315231.0,48.2,7992
41,2023-12-05,48.04,48.68,47.82,48.26,1545280.0,48.328,9608
42,2023-12-06,48.39,48.73,47.52,47.53,1896299.0,47.976,9556
43,2023-12-07,47.51,47.87,47.22,47.47,1333952.0,47.485,8847
44,2023-12-08,47.34,47.83,47.34,47.81,1604343.0,47.658,9927
45,2023-12-11,47.72,47.97,47.61,47.88,1115949.0,47.844,7496
46,2023-12-12,47.71,48.81,47.59,48.7,1859705.0,48.52,11103
47,2023-12-13,48.7,49.17,48.46,48.75,2177300.0,48.84,11236
48,2023-12-14,48.97,49.17,47.88,48.21,2114164.0,48.323,13594
49,2023-12-15,48.15,49.11,48.0,48.76,2556787.0,48.564,12660
50,2023-12-18,48.64,49.46,48.64,49.29,2576346.0,49.137,15199
