,date,open,high,low,close,volume,average,barCount
0,2023-09-25,32.77,32.77,32.41,32.7,357317.0,32.637,2353
1,2023-09-26,32.53,32.72,32.31,32.53,428637.0,32.475,2940
2,2023-09-27,32.63,32.8,31.86,31.91,830515.0,32.256,4766
3,2023-09-28,32.11,32.14,31.62,31.74,514300.0,31.842,3522
4,2023-09-29,32.26,32.28,31.35,31.74,622103.0,31.726,3885
5,2023-10-02,31.67,31.86,30.74,31.09,300649.0,31.139,2011
6,2023-10-03,30.79,30.85,30.29,30.45,360358.0,30.51,2484
7,2023-10-04,30.68,30.93,30.09,30.51,207613.0,30.41,1546
8,2023-10-05,30.49,30.58,30.1,30.38,396889.0,30.295,2758
9,2023-10-06,30.2,30.86,29.87,30.59,299525.0,30.426,2146
10,2023-10-09,30.5,31.25,30.43,31.12,339871.0,30.957,2266
11,2023-10-10,31.11,31.53,30.9,31.27,272761.0,31.268,1996
12,2023-10-11,31.56,31.81,31.42,31.56,243215.0,31.593,1628
13,2023-10-12,31.49,31.6,30.99,31.14,230625.0,31.214,1624
14,2023-10-13,31.3,31.3,30.66,30.88,354909.0,30.883,2799
15,2023-10-16,31.11,31.87,30.77,31.69,935660.0,31.568,4883
16,2023-10-17,31.89,32.04,31.52,31.75,551598.0,31.762,3533
17,2023-10-18,31.57,31.66,31.17,31.26,420080.0,31.377,2501
18,2023-10-19,31.03,31.42,30.53,30.62,481800.0,30.955,3475
19,2023-10-20,30.72,30.76,30.0,30.04,347006.0,30.222,2324
20,2023-10-23,29.91,30.14,29.5,29.53,440562.0,29.793,2861
21,2023-10-24,29.5,29.59,28.82,28.82,622030.0,29.011,3232
22,2023-10-25,28.52,28.69,28.09,28.48,408471.0,28.393,2533
23,2023-10-26,28.63,29.18,28.59,28.78,386962.0,28.909,2490
24,2023-10-27,28.88,28.88,28.31,28.4,396034.0,28.548,2426
25,2023-10-30,28.37,28.63,27.86,28.43,362467.0,28.241,2252
26,2023-10-31,28.76,28.88,27.99,28.52,414083.0,28.357,2956
27,2023-11-01,28.61,28.67,27.96,28.58,610339.0,28.351,3891
28,2023-11-02,29.33,30.88,29.13,29.59,1714788.0,29.773,9739
29,2023-11-03,30.22,31.21,30.2,30.7,459558.0,30.805,3074
30,2023-11-06,30.56,30.64,29.87,30.15,306364.0,30.065,2145
31,2023-11-07,30.13,30.25,29.67,30.19,379877.0,30.138,2595
32,2023-11-08,30.71,31.32,30.57,31.06,465272.0,30.889,2678
33,2023-11-09,31.16,31.28,30.3,30.47,553426.0,30.588,3098
