,date,open,high,low,close,volume,average,barCount
0,2023-10-06,66.17,68.08,65.93,67.46,737751.0,67.271,4533
1,2023-10-09,66.32,67.23,66.15,67.17,669636.0,66.84,4555
2,2023-10-10,68.37,68.85,67.61,67.73,601826.0,68.046,4623
3,2023-10-11,67.69,68.62,67.69,68.35,547772.0,68.282,4330
4,2023-10-12,68.35,68.61,66.46,67.1,730615.0,67.045,4339
5,2023-10-13,67.47,67.98,66.95,67.42,542337.0,67.475,4315
6,2023-10-16,68.17,69.07,67.6,68.85,548036.0,68.732,4550
7,2023-10-17,68.2,70.84,67.97,70.61,1519785.0,70.058,11881
8,2023-10-18,69.15,70.1,64.32,65.94,2976886.0,66.278,20317
9,2023-10-19,65.89,67.49,65.12,65.5,1604424.0,66.075,11744
10,2023-10-20,65.8,66.14,64.26,64.28,1011125.0,64.981,7171
11,2023-10-23,63.91,65.28,63.6,64.18,779603.0,64.666,5887
12,2023-10-24,64.16,64.8,63.37,63.55,1055044.0,63.687,6995
13,2023-10-25,63.28,63.55,62.43,63.06,1770838.0,63.118,11608
14,2023-10-26,63.9,65.51,63.56,64.95,2526669.0,64.928,14293
15,2023-10-27,65.23,65.53,63.43,63.54,720460.0,63.896,5141
16,2023-10-30,64.17,65.58,64.13,65.12,796512.0,64.929,5745
17,2023-10-31,65.12,66.18,64.96,65.91,651392.0,65.823,4706
18,2023-11-01,66.01,67.35,65.75,66.88,1317288.0,66.63,8832
19,2023-11-02,67.54,70.18,67.46,70.1,1026125.0,69.565,7350
20,2023-11-03,71.15,72.48,71.08,71.35,947211.0,71.53,7464
21,2023-11-06,71.21,71.37,69.48,70.32,528541.0,70.139,3987
22,2023-11-07,70.17,70.45,69.4,69.52,444874.0,69.897,3144
23,2023-11-08,69.5,69.67,68.98,69.35,317310.0,69.351,2587
24,2023-11-09,69.89,70.5,69.33,69.4,675969.0,69.757,4955
25,2023-11-10,69.74,70.71,68.97,70.7,786128.0,70.031,5658
26,2023-11-13,70.29,71.1,69.98,70.98,1061367.0,70.842,6764
27,2023-11-14,72.28,74.7,72.28,73.84,820664.0,73.897,6199
28,2023-11-15,73.85,75.23,73.85,74.88,483717.0,74.917,3474
29,2023-11-16,75.01,75.47,73.98,74.64,805718.0,74.492,3612
30,2023-11-17,75.22,75.52,74.74,75.38,517992.0,75.18,3559
31,2023-11-20,74.81,76.09,74.63,75.85,437143.0,75.625,3258
32,2023-11-21,75.64,75.94,75.26,75.56,428404.0,75.618,3130
33,2023-11-22,76.17,76.26,75.42,76.15,431812.0,75.993,2945
34,2023-11-24,75.58,76.67,75.55,76.36,256269.0,76.337,1673
35,2023-11-27,76.21,76.35,75.68,76.23,279991.0,76.163,2286
36,2023-11-28,76.19,76.84,75.7,76.7,426403.0,76.599,3221
37,2023-11-29,77.27,78.74,77.27,78.28,593385.0,78.348,4594
38,2023-11-30,78.74,79.82,78.26,79.25,651947.0,79.385,4160
39,2023-12-01,78.98,80.72,78.68,80.28,900646.0,80.072,6561
40,2023-12-04,79.54,81.04,79.52,80.77,729728.0,80.639,5145
41,2023-12-05,80.38,81.09,79.62,80.76,686880.0,80.659,5265
42,2023-12-06,81.09,83.62,80.52,80.67,1474445.0,82.139,10648
43,2023-12-07,80.12,80.31,79.2,79.86,877676.0,79.777,5986
44,2023-12-08,80.13,80.77,79.72,80.39,668694.0,80.389,4914
45,2023-12-11,80.5,81.18,80.04,80.83,479023.0,80.897,3326
46,2023-12-12,80.79,80.91,80.2,80.46,619597.0,80.56,4902
47,2023-12-13,80.45,82.89,80.01,82.85,674473.0,81.692,4717
48,2023-12-14,84.29,86.92,84.29,85.93,831388.0,85.983,6676
49,2023-12-15,85.65,86.0,84.63,85.45,976902.0,85.124,5297
50,2023-12-18,85.84,85.84,84.97,85.59,610259.0,85.37,4300
51,2023-12-19,85.6,86.4,85.19,85.86,577150.0,85.922,4622
52,2023-12-20,85.64,85.89,82.93,83.09,711512.0,84.138,5086
53,2023-12-21,83.78,84.29,83.1,83.8,634991.0,83.727,4377
54,2023-12-22,84.42,84.52,83.47,83.84,351245.0,83.943,2822
55,2023-12-26,83.93,84.51,83.73,84.25,332712.0,84.193,2368
56,2023-12-27,84.31,84.63,83.82,84.57,423478.0,84.301,3116
57,2023-12-28,84.82,85.04,84.42,84.96,291326.0,84.866,2202
58,2023-12-29,84.85,85.2,83.92,84.38,337791.0,84.354,2470
59,2024-01-02,84.06,85.42,83.96,84.87,409119.0,84.677,2892
60,2024-01-03,83.48,83.72,82.26,82.58,643674.0,82.886,4937
61,2024-01-04,82.75,83.36,82.26,82.36,389930.0,82.729,2971
62,2024-01-05,81.93,84.38,81.85,83.47,353717.0,83.447,2701
63,2024-01-08,83.66,84.3,82.98,84.18,415390.0,83.826,3245
64,2024-01-09,84.97,86.77,83.85,84.33,556323.0,84.842,4273
65,2024-01-10,84.19,84.35,82.97,84.15,565390.0,83.749,4058
66,2024-01-11,83.48,83.8,82.65,83.44,525662.0,83.262,4170
67,2024-01-12,83.87,84.65,82.76,83.81,560990.0,83.695,4336
68,2024-01-16,83.53,83.53,82.35,83.27,659483.0,83.128,4057
69,2024-01-17,81.75,83.52,81.71,82.94,862830.0,82.657,6101
70,2024-01-18,85.0,85.0,79.81,80.91,1455923.0,81.43,9879
71,2024-01-19,81.32,81.72,80.15,81.14,1270898.0,80.893,9170
