,date,open,high,low,close,volume,average,barCount
0,2023-10-06,14.17,14.44,13.74,14.0,2343121.0,13.973,8929
1,2023-10-09,13.88,14.8,13.81,14.56,972223.0,14.413,6091
2,2023-10-10,14.39,15.66,14.39,15.41,1138600.0,15.365,6851
3,2023-10-11,15.34,15.69,14.39,14.46,885526.0,14.61,5840
4,2023-10-12,14.35,14.49,13.57,13.66,839697.0,13.738,5858
5,2023-10-13,13.57,14.25,13.46,14.21,625823.0,14.005,4477
6,2023-10-16,14.27,15.4,14.22,15.24,654388.0,15.031,4463
7,2023-10-17,15.07,15.85,15.07,15.63,654709.0,15.533,4567
8,2023-10-18,15.43,15.64,15.09,15.25,578733.0,15.395,4206
9,2023-10-19,15.25,15.46,14.8,14.82,510266.0,15.036,3905
10,2023-10-20,14.77,14.99,14.5,14.56,591143.0,14.725,4334
11,2023-10-23,14.27,14.74,14.03,14.07,609688.0,14.327,4294
12,2023-10-24,14.09,14.59,14.09,14.15,846498.0,14.313,6429
13,2023-10-25,13.98,14.27,13.7,14.08,773850.0,14.033,5527
14,2023-10-26,14.48,14.48,12.64,13.02,1474180.0,13.154,9445
15,2023-10-27,13.16,13.32,12.37,12.64,1008516.0,12.633,7010
16,2023-10-30,12.77,13.26,12.51,13.06,821311.0,13.063,5769
17,2023-10-31,13.09,13.49,12.99,13.3,740820.0,13.333,5173
18,2023-11-01,13.12,13.33,13.0,13.1,500566.0,13.143,3692
19,2023-11-02,13.41,14.16,13.39,13.54,704723.0,13.682,4370
20,2023-11-03,13.98,14.55,13.77,13.78,1366300.0,14.039,9055
21,2023-11-06,13.85,13.91,12.75,12.88,769435.0,12.98,4315
22,2023-11-07,12.75,13.09,12.52,12.87,864938.0,12.872,5493
23,2023-11-08,12.96,12.96,11.99,12.06,886926.0,12.13,5157
24,2023-11-09,12.07,12.09,11.37,11.48,717109.0,11.622,4285
25,2023-11-10,11.46,11.48,10.95,11.13,891062.0,11.119,5382
26,2023-11-13,11.08,11.49,10.87,11.38,795642.0,11.27,5191
27,2023-11-14,11.94,12.93,11.75,12.8,1896878.0,12.542,8498
28,2023-11-15,12.9,13.01,12.55,12.68,863829.0,12.839,5922
29,2023-11-16,12.56,12.81,11.79,11.83,734433.0,11.953,4965
30,2023-11-17,11.9,12.4,11.63,12.37,1103068.0,12.206,7615
31,2023-11-20,12.46,12.65,12.14,12.19,871541.0,12.389,4863
32,2023-11-21,12.02,12.28,11.58,12.23,963887.0,12.018,6390
33,2023-11-22,12.37,12.4,11.85,11.92,667487.0,11.993,4401
34,2023-11-24,11.87,12.75,11.85,12.47,488766.0,12.442,2712
35,2023-11-27,12.29,12.35,11.88,11.91,648862.0,11.981,3823
36,2023-11-28,11.91,12.36,11.29,12.2,813020.0,12.066,5126
37,2023-11-29,12.29,12.79,12.21,12.35,958190.0,12.407,5399
38,2023-11-30,12.49,12.49,12.01,12.27,632215.0,12.269,4170
39,2023-12-01,12.28,12.55,11.76,12.5,764907.0,12.394,5431
40,2023-12-04,12.5,13.37,12.4,12.99,1044002.0,12.987,5851
41,2023-12-05,12.89,12.9,12.48,12.77,1104267.0,12.772,4780
42,2023-12-06,12.8,13.3,12.49,12.87,872417.0,12.943,4846
43,2023-12-07,12.85,13.06,12.64,12.88,1138163.0,12.903,5077
44,2023-12-08,12.85,12.89,12.12,12.5,625905.0,12.405,4308
45,2023-12-11,12.51,12.69,12.19,12.31,482101.0,12.299,3224
46,2023-12-12,12.22,12.49,11.66,12.33,1153448.0,12.261,5880
47,2023-12-13,12.28,13.28,12.1,13.22,1566079.0,12.922,7939
48,2023-12-14,13.52,14.06,13.5,13.57,963719.0,13.775,6630
49,2023-12-15,13.75,13.75,12.96,13.56,876791.0,13.368,5210
50,2023-12-18,13.53,13.59,13.19,13.4,665034.0,13.426,4648
51,2023-12-19,13.61,14.0,13.43,13.63,537888.0,13.656,3571
52,2023-12-20,13.54,13.63,12.86,12.92,494682.0,13.138,2707
53,2023-12-21,13.17,13.38,12.99,13.35,444160.0,13.18,3117
54,2023-12-22,13.43,13.7,13.18,13.3,467838.0,13.419,2897
55,2023-12-26,13.32,13.66,13.24,13.53,652406.0,13.432,4293
56,2023-12-27,13.7,15.35,13.59,15.18,1536185.0,14.781,7277
57,2023-12-28,15.24,16.05,15.04,15.78,1826750.0,15.721,9855
58,2023-12-29,15.69,15.73,14.67,14.93,937803.0,15.089,5249
59,2024-01-02,14.71,15.24,14.36,14.4,545262.0,14.701,3411
60,2024-01-03,14.12,14.12,13.3,13.37,793291.0,13.642,5089
61,2024-01-04,13.35,13.93,13.22,13.5,665699.0,13.649,4682
62,2024-01-05,13.34,13.8,13.02,13.31,776150.0,13.336,5248
63,2024-01-08,13.29,15.01,13.29,14.86,1339170.0,14.507,7911
64,2024-01-09,15.04,15.66,14.7,14.73,1155718.0,15.139,6915
65,2024-01-10,14.77,14.77,13.24,14.02,947631.0,13.869,5931
66,2024-01-11,13.97,14.2,13.35,13.54,448840.0,13.586,3344
67,2024-01-12,13.63,14.39,13.25,13.39,531983.0,13.531,3687
68,2024-01-16,13.19,13.19,12.49,12.59,678219.0,12.628,4355
69,2024-01-17,12.35,12.44,11.92,12.42,627800.0,12.206,4253
70,2024-01-18,12.94,15.68,12.82,14.5,5009029.0,14.808,21948
71,2024-01-19,14.62,15.0,13.95,13.98,1121654.0,14.252,6387
72,2024-01-22,13.95,14.77,13.67,14.55,896270.0,14.331,5751
73,2024-01-23,14.89,15.33,13.98,14.16,713955.0,14.245,3749
74,2024-01-24,14.39,14.52,13.91,14.01,564622.0,14.087,3290
75,2024-01-25,14.14,14.3,13.61,13.69,465768.0,13.827,2993
