,date,open,high,low,close,volume,average,barCount
0,2023-09-25,5948.0,6043.95,5939.1,5965.09,5804.0,5991.738,464
1,2023-09-26,5939.64,6000.0,5880.8,5890.56,7732.0,5931.944,576
2,2023-09-27,5940.01,6010.67,5922.47,5941.0,6583.0,5960.272,511
3,2023-09-28,5951.0,6065.28,5940.91,6061.92,5694.0,6032.463,465
4,2023-09-29,6120.5,6137.81,5940.02,5963.3,8245.0,6019.936,672
5,2023-10-02,5915.0,6058.05,5912.05,5960.95,5946.0,5976.226,468
6,2023-10-03,5939.0,5965.48,5842.0,5856.63,10261.0,5869.162,810
7,2023-10-04,5865.33,5965.74,5832.04,5939.54,7307.0,5917.34,603
8,2023-10-05,5940.0,6008.22,5924.25,5951.68,6512.0,5963.925,531
9,2023-10-06,5930.22,6106.01,5872.37,6049.21,9582.0,6034.826,690
10,2023-10-09,6030.0,6185.61,6000.0,6164.97,8501.0,6129.666,664
11,2023-10-10,6167.0,6271.61,6111.67,6112.83,13036.0,6199.424,1001
12,2023-10-11,6158.0,6280.0,6142.42,6178.66,11690.0,6168.459,901
13,2023-10-12,6138.0,6162.55,5863.0,5896.22,13956.0,5955.065,885
14,2023-10-13,5925.0,5999.99,5882.03,5932.1,10174.0,5935.002,746
15,2023-10-16,5981.32,6004.08,5898.89,5916.22,15511.0,5944.322,1143
16,2023-10-17,5865.83,5939.0,5839.76,5840.0,12792.0,5899.156,985
17,2023-10-18,5800.0,5858.82,5736.46,5746.59,9839.0,5784.416,762
18,2023-10-19,5743.51,5788.63,5550.0,5563.55,9518.0,5620.722,760
19,2023-10-20,5625.0,5640.0,5452.08,5488.1,11465.0,5512.664,867
20,2023-10-23,5513.25,5619.95,5471.48,5505.69,13362.0,5522.205,1023
21,2023-10-24,5505.66,5539.8,5341.26,5385.52,7523.0,5398.281,617
22,2023-10-25,5353.5,5458.76,5210.49,5377.29,6919.0,5362.66,516
23,2023-10-26,5379.73,5475.92,5379.73,5426.82,6758.0,5431.327,539
24,2023-10-27,5420.25,5434.05,5332.65,5382.22,6145.0,5370.574,461
25,2023-10-30,5427.0,5427.0,5326.15,5401.76,4833.0,5386.725,358
26,2023-10-31,5415.64,5484.62,5410.74,5412.62,5305.0,5447.356,433
27,2023-11-01,5444.16,5578.0,5419.0,5560.55,7985.0,5494.59,640
28,2023-11-02,5683.0,5722.39,5600.56,5698.91,9639.0,5677.088,689
29,2023-11-03,5830.19,5961.82,5811.71,5890.63,6283.0,5899.524,481
30,2023-11-06,5861.55,5934.2,5860.01,5920.37,4273.0,5905.418,363
31,2023-11-07,5937.0,6042.51,5919.77,6002.44,9343.0,5985.376,735
32,2023-11-08,5977.17,5995.03,5892.0,5901.82,5560.0,5931.71,454
33,2023-11-09,5927.07,5945.04,5818.01,5836.52,7308.0,5871.017,534
34,2023-11-10,5885.53,6051.17,5857.09,6035.29,7729.0,6011.626,560
35,2023-11-13,5973.97,6056.78,5950.21,6030.44,2575.0,6016.373,189
36,2023-11-14,6170.0,6356.19,6170.0,6290.72,6864.0,6305.331,368
37,2023-11-15,6275.0,6350.0,6267.09,6292.17,6550.0,6297.281,506
38,2023-11-16,6293.5,6349.49,6236.84,6290.59,8160.0,6289.299,587
39,2023-11-17,6332.97,6332.97,6253.52,6298.0,10618.0,6292.948,589
40,2023-11-20,6280.96,6335.57,6203.1,6307.12,7913.0,6292.548,561
41,2023-11-21,6290.01,6344.91,6239.37,6244.22,6935.0,6292.871,475
42,2023-11-22,6276.77,6350.0,6194.06,6222.89,4046.0,6262.116,295
43,2023-11-24,6196.01,6232.83,6143.23,6195.06,2031.0,6184.144,161
44,2023-11-27,6199.0,6199.0,6126.87,6146.9,2917.0,6156.899,254
45,2023-11-28,6148.0,6150.52,6088.72,6128.66,4512.0,6123.362,318
46,2023-11-29,6164.0,6166.07,6089.62,6107.11,4525.0,6117.219,307
47,2023-11-30,6107.11,6159.54,6052.57,6155.39,5649.0,6108.51,410
48,2023-12-01,6155.39,6332.9,6105.02,6320.35,4802.0,6282.933,320
49,2023-12-04,6286.46,6414.37,6286.46,6388.05,3361.0,6357.592,271
50,2023-12-05,6371.65,6396.96,6334.92,6359.08,5504.0,6368.388,444
51,2023-12-06,6442.0,6505.0,6335.04,6364.66,8579.0,6429.223,685
52,2023-12-07,6377.97,6444.99,6330.74,6444.8,6905.0,6396.463,512
53,2023-12-08,6450.0,6538.36,6434.99,6535.89,4860.0,6496.238,344
54,2023-12-11,6493.01,6561.32,6452.58,6529.1,6079.0,6535.606,448
55,2023-12-12,6542.16,6570.0,6500.61,6538.24,6553.0,6546.674,477
56,2023-12-13,6568.83,6749.96,6521.06,6684.86,7544.0,6605.91,489
57,2023-12-14,6785.79,6987.72,6774.08,6934.4,8614.0,6923.447,611
58,2023-12-15,6896.67,6997.07,6853.19,6880.73,7623.0,6911.104,383
59,2023-12-18,6860.73,6860.73,6768.01,6840.0,7215.0,6822.708,521
60,2023-12-19,6882.72,6979.59,6865.05,6936.65,7550.0,6934.585,504
61,2023-12-20,6920.0,7000.0,6847.14,6847.14,5399.0,6918.401,370
62,2023-12-21,6916.92,6944.16,6845.0,6939.98,3314.0,6901.193,246
