,date,open,high,low,close,volume,average,barCount
0,2023-10-06,194.2,200.79,192.14,199.02,699812.0,198.385,5358
1,2023-10-09,196.77,198.9,194.5,198.12,383183.0,196.834,2835
2,2023-10-10,198.86,204.0,198.21,201.75,459184.0,201.975,3831
3,2023-10-11,201.84,204.9,201.6,203.46,741467.0,203.104,5857
4,2023-10-12,204.34,206.14,200.5,202.36,858183.0,203.326,5932
5,2023-10-13,202.68,202.68,193.22,194.5,1113093.0,195.501,8979
6,2023-10-16,195.77,200.25,195.01,199.78,733510.0,199.021,5484
7,2023-10-17,196.92,200.24,194.46,197.72,597965.0,197.693,4526
8,2023-10-18,194.5,195.62,190.6,193.2,738431.0,192.661,5843
9,2023-10-19,193.84,194.05,187.1,187.93,1402465.0,189.543,11056
10,2023-10-20,187.85,188.53,184.39,185.76,1099529.0,185.975,7692
11,2023-10-23,184.08,186.07,181.17,182.35,912825.0,183.523,7315
12,2023-10-24,183.08,184.43,180.88,183.61,1245329.0,183.024,8911
13,2023-10-25,180.72,181.4,175.21,175.94,1358734.0,177.115,10153
14,2023-10-26,178.49,185.29,177.4,179.56,1710390.0,180.992,11530
15,2023-10-27,181.01,181.96,177.55,179.13,611834.0,178.815,4782
16,2023-10-30,172.98,173.0,167.21,170.18,2682663.0,169.838,18563
17,2023-10-31,170.53,172.86,167.93,172.43,1415505.0,171.266,10043
18,2023-11-01,171.73,172.68,167.5,172.52,1420594.0,170.2,11200
19,2023-11-02,175.08,178.36,173.31,177.59,1168673.0,176.615,8781
20,2023-11-03,179.7,183.75,178.93,181.55,2116168.0,181.894,13815
21,2023-11-06,182.27,184.42,180.44,182.8,2284305.0,182.327,16647
22,2023-11-07,178.25,191.49,178.19,185.8,2758366.0,186.597,18284
23,2023-11-08,180.76,184.66,180.11,183.35,1389668.0,182.218,9450
24,2023-11-09,184.41,184.55,179.64,180.33,1015781.0,181.792,7611
25,2023-11-10,183.26,187.84,180.73,186.67,1510784.0,185.519,10121
26,2023-11-13,185.0,185.38,181.96,184.84,923591.0,183.926,7550
27,2023-11-14,191.02,195.8,190.17,194.89,1312868.0,194.13,9097
28,2023-11-15,196.43,202.65,196.43,200.75,1399306.0,200.667,10732
29,2023-11-16,200.3,203.07,199.61,200.8,916660.0,200.98,6761
30,2023-11-17,200.93,202.2,199.0,200.94,717572.0,200.684,5033
31,2023-11-20,200.69,204.78,200.69,203.34,851634.0,203.074,6585
32,2023-11-21,201.77,202.43,198.5,200.44,1253854.0,199.828,9572
33,2023-11-22,201.86,204.98,199.27,199.58,689594.0,200.807,5651
34,2023-11-24,199.03,200.78,198.48,200.12,442288.0,199.989,3458
35,2023-11-27,199.05,201.03,198.0,199.66,386805.0,199.755,2756
36,2023-11-28,199.98,201.88,198.36,200.03,549369.0,199.895,4101
37,2023-11-29,203.74,207.8,202.25,204.33,953278.0,205.647,7188
38,2023-11-30,205.18,205.52,201.76,204.08,722293.0,203.559,5315
39,2023-12-01,203.69,206.54,202.43,205.68,499424.0,205.297,3859
40,2023-12-04,204.06,206.49,203.41,206.28,715700.0,205.352,5440
41,2023-12-05,204.57,206.35,202.68,205.83,879437.0,205.26,6427
42,2023-12-06,208.61,210.34,205.38,205.92,1024421.0,207.688,6156
43,2023-12-07,207.8,213.15,206.81,211.7,1039102.0,211.16,7380
44,2023-12-08,211.43,217.23,210.8,215.55,850598.0,215.563,6677
45,2023-12-11,216.37,221.9,215.96,220.55,1211543.0,220.196,9262
46,2023-12-12,219.75,221.71,218.76,219.13,829670.0,219.829,6272
47,2023-12-13,219.31,223.06,217.53,221.33,1026001.0,220.106,7113
48,2023-12-14,223.81,233.25,223.0,232.68,1573071.0,230.192,11270
49,2023-12-15,236.2,238.27,232.8,232.93,1635321.0,235.392,8482
50,2023-12-18,233.45,233.86,227.27,229.33,1134415.0,229.157,8900
51,2023-12-19,230.46,231.28,228.61,229.38,714487.0,229.585,5432
52,2023-12-20,228.48,229.95,222.68,222.9,1145980.0,225.232,6733
53,2023-12-21,227.22,229.87,226.52,229.25,901653.0,228.109,6390
54,2023-12-22,230.9,232.15,227.77,228.95,458242.0,229.623,3422
55,2023-12-26,230.0,233.28,229.37,231.95,316013.0,231.902,2525
56,2023-12-27,232.84,233.9,230.64,232.1,314083.0,231.724,2285
57,2023-12-28,233.17,233.37,230.64,231.07,256277.0,231.847,1920
58,2023-12-29,230.93,231.96,227.73,229.68,416745.0,229.515,3522
59,2024-01-02,227.26,227.26,218.57,221.18,1038872.0,222.018,7709
60,2024-01-03,217.58,218.25,214.08,216.08,825523.0,216.076,6648
61,2024-01-04,204.2,210.54,204.12,207.76,1915104.0,207.568,12991
62,2024-01-05,208.16,208.96,204.66,205.72,880772.0,206.055,6941
63,2024-01-08,207.3,213.03,207.25,212.17,723020.0,211.566,5400
64,2024-01-09,208.13,213.07,207.72,211.71,1132340.0,210.116,7585
65,2024-01-10,211.86,212.51,207.18,211.29,869177.0,210.748,6526
66,2024-01-11,211.01,212.49,207.31,211.49,685882.0,210.116,5521
67,2024-01-12,211.3,212.21,207.57,209.11,575994.0,209.082,4282
68,2024-01-16,210.69,211.72,206.31,208.99,883708.0,208.801,6358
69,2024-01-17,205.81,206.0,201.58,205.48,990074.0,203.594,7948
70,2024-01-18,210.71,212.68,208.96,211.61,1493554.0,211.041,11722
71,2024-01-19,213.32,219.45,212.46,218.36,1319311.0,216.63,8286
72,2024-01-22,219.63,223.0,217.34,218.84,819758.0,219.177,6291
73,2024-01-23,220.35,224.87,219.45,223.93,1177148.0,223.607,8862
74,2024-01-24,222.73,224.87,219.65,221.69,1119747.0,222.172,8768
75,2024-01-25,222.99,223.89,217.83,219.41,975081.0,219.977,7847
76,2024-01-26,218.11,218.95,214.36,215.12,1124417.0,215.97,8420
77,2024-01-29,216.93,217.57,213.29,217.47,762498.0,215.816,5538
78,2024-01-30,215.55,217.25,214.23,215.17,745823.0,215.404,5603
79,2024-01-31,212.56,215.32,209.75,210.57,1353661.0,211.632,9601
80,2024-02-01,211.99,214.04,209.44,213.01,914072.0,212.139,6384
81,2024-02-02,210.16,215.56,209.86,214.99,929123.0,213.803,7327
82,2024-02-05,218.36,223.42,218.0,221.02,2051411.0,220.629,14540
83,2024-02-06,221.19,225.42,218.84,223.0,2227096.0,222.618,15327
84,2024-02-07,225.34,225.34,218.61,221.37,1119539.0,221.262,8226
85,2024-02-08,221.44,228.85,221.44,227.83,1158737.0,226.712,8132
86,2024-02-09,229.7,233.66,228.32,233.55,1197424.0,231.758,9566
87,2024-02-12,233.99,241.26,233.1,236.68,1254271.0,238.041,9311
88,2024-02-13,229.72,234.23,228.1,232.07,1269922.0,231.457,9005
89,2024-02-14,233.96,235.46,232.5,233.6,186163.0,234.154,1448
