,date,open,high,low,close,volume,average,barCount
0,2023-09-25,13.8,14.0,13.77,13.92,2087410.0,13.911,7304
1,2023-09-26,13.95,14.02,13.88,13.89,2235841.0,13.96,7495
2,2023-09-27,14.02,14.29,14.0,14.07,3428646.0,14.126,10696
3,2023-09-28,13.71,13.93,13.7,13.88,1593694.0,13.853,4760
4,2023-09-29,13.9,14.08,13.84,13.85,2083470.0,13.941,5520
5,2023-10-02,13.85,13.88,13.39,13.54,2722550.0,13.54,8385
6,2023-10-03,13.5,13.53,13.2,13.3,2144917.0,13.317,6227
7,2023-10-04,13.3,13.35,13.04,13.26,1485095.0,13.188,4781
8,2023-10-05,13.21,13.38,13.19,13.37,1777399.0,13.303,5666
9,2023-10-06,13.27,13.54,13.27,13.41,1536870.0,13.424,4537
10,2023-10-09,13.34,13.56,13.29,13.48,1564374.0,13.489,5948
11,2023-10-10,13.51,13.67,13.45,13.49,1386834.0,13.544,4210
12,2023-10-11,13.5,13.65,13.41,13.54,1623230.0,13.542,5434
13,2023-10-12,13.65,13.68,13.4,13.51,1430156.0,13.516,3901
14,2023-10-13,13.61,13.67,13.44,13.5,1757091.0,13.548,4893
15,2023-10-16,13.58,13.97,13.56,13.84,1737362.0,13.834,4706
16,2023-10-17,13.7,13.81,13.68,13.77,1380549.0,13.757,4705
17,2023-10-18,13.7,13.81,13.59,13.62,886023.0,13.667,2642
18,2023-10-19,13.57,13.64,13.41,13.44,951402.0,13.536,3747
19,2023-10-20,13.44,13.47,13.19,13.39,1523298.0,13.381,5464
20,2023-10-23,13.27,13.46,13.2,13.33,969572.0,13.347,3151
21,2023-10-24,13.4,13.54,13.36,13.41,1013135.0,13.445,3824
22,2023-10-25,13.37,13.49,13.2,13.29,961417.0,13.309,3583
23,2023-10-26,13.3,13.41,13.23,13.26,1080382.0,13.316,3837
24,2023-10-27,13.3,13.32,12.99,13.03,1134589.0,13.116,3666
25,2023-10-30,13.14,13.36,13.08,13.25,882464.0,13.192,2689
26,2023-10-31,13.24,13.37,13.15,13.24,1287291.0,13.228,3812
27,2023-11-01,13.27,13.56,13.26,13.53,979563.0,13.47,3426
28,2023-11-02,13.62,13.81,13.6,13.78,1226548.0,13.737,3553
29,2023-11-03,13.9,14.02,13.87,13.99,1298208.0,13.975,4496
30,2023-11-06,14.0,14.03,13.81,13.96,1029334.0,13.926,3224
31,2023-11-07,13.92,13.95,13.83,13.89,1151471.0,13.896,4615
