,date,open,high,low,close,volume,average,barCount
0,2023-10-06,401.33,415.46,401.22,413.42,312524.0,409.604,1820
1,2023-10-09,408.84,423.44,407.52,422.17,175115.0,418.727,1415
2,2023-10-10,422.17,429.7,421.17,425.11,149771.0,426.102,1218
3,2023-10-11,424.51,426.98,421.73,425.76,163865.0,424.389,1304
4,2023-10-12,428.04,428.19,419.82,424.07,124854.0,424.198,1038
5,2023-10-13,426.17,428.0,402.44,405.08,275112.0,410.182,2224
6,2023-10-16,409.6,424.09,407.98,412.42,286850.0,415.779,2416
7,2023-10-17,413.85,420.7,411.37,417.14,147819.0,417.718,1353
8,2023-10-18,413.22,415.31,401.47,401.86,302460.0,406.091,2522
9,2023-10-19,406.05,407.46,394.5,396.45,379780.0,400.595,2952
10,2023-10-20,399.49,404.25,386.68,393.03,312790.0,393.3,2292
11,2023-10-23,392.61,395.5,387.25,387.66,307266.0,391.392,2590
12,2023-10-24,388.73,392.18,380.07,385.9,459632.0,384.615,3695
13,2023-10-25,390.5,397.41,357.0,371.01,832879.0,369.572,6342
14,2023-10-26,369.28,374.83,361.31,369.79,723694.0,368.186,5477
15,2023-10-27,375.03,384.26,363.61,368.46,486767.0,371.153,3764
16,2023-10-30,375.26,379.87,366.08,379.14,385247.0,373.4,3134
17,2023-10-31,380.37,382.91,374.05,376.66,240358.0,377.013,2024
18,2023-11-01,378.06,391.8,376.94,390.65,467610.0,387.413,3870
19,2023-11-02,395.26,397.77,386.33,388.83,390586.0,391.148,3278
20,2023-11-03,392.71,395.28,388.8,392.34,216187.0,391.842,1439
21,2023-11-06,391.83,394.13,384.81,394.04,209159.0,390.02,1801
22,2023-11-07,391.48,401.18,390.41,396.36,270475.0,397.967,2110
23,2023-11-08,396.29,399.92,389.43,390.15,494900.0,392.554,3719
24,2023-11-09,393.53,395.24,380.24,385.6,349860.0,386.252,2683
25,2023-11-10,388.52,393.27,385.37,392.63,234474.0,390.289,1936
26,2023-11-13,391.0,392.43,386.73,391.01,181563.0,389.366,1543
27,2023-11-14,397.74,407.23,396.82,404.83,313595.0,404.782,2283
28,2023-11-15,406.4,411.32,402.16,402.74,277697.0,405.904,1902
29,2023-11-16,404.05,405.95,394.61,397.79,247075.0,397.83,1990
30,2023-11-17,400.91,402.62,397.87,399.9,199649.0,400.265,1319
31,2023-11-20,400.18,403.75,397.88,402.27,103304.0,401.285,785
32,2023-11-21,402.29,405.95,400.42,404.88,93414.0,404.276,782
33,2023-11-22,408.1,411.43,403.15,403.75,130382.0,406.729,1039
34,2023-11-24,404.94,406.46,402.87,404.32,51367.0,404.791,433
35,2023-11-27,398.4,400.69,392.11,398.65,147327.0,398.004,1021
36,2023-11-28,397.93,397.93,380.02,387.38,288129.0,387.24,2250
37,2023-11-29,388.71,393.0,382.14,383.91,264760.0,386.547,2208
38,2023-11-30,384.27,389.77,376.89,389.06,319167.0,383.421,2209
39,2023-12-01,388.05,407.86,386.22,405.74,361872.0,402.497,2718
40,2023-12-04,402.95,407.22,398.39,403.9,183778.0,403.509,1352
41,2023-12-05,400.24,403.32,394.28,394.79,322127.0,397.708,2471
42,2023-12-06,394.91,396.48,370.51,372.89,550593.0,376.648,3982
43,2023-12-07,373.11,375.61,367.05,374.99,489794.0,371.301,3504
44,2023-12-08,373.8,380.54,369.01,369.45,497509.0,370.949,3959
45,2023-12-11,376.86,383.03,371.73,378.88,450936.0,379.583,3318
