,date,open,high,low,close,volume,average,barCount
0,2023-10-06,888.29,906.4,882.14,902.15,131742.0,898.073,1129
1,2023-10-09,902.43,916.79,895.56,914.67,139735.0,911.012,1153
2,2023-10-10,919.0,922.83,913.38,918.13,122251.0,918.888,1021
3,2023-10-11,919.24,919.48,911.38,916.41,138588.0,914.875,1121
4,2023-10-12,918.97,922.27,913.35,919.44,144205.0,918.069,1156
5,2023-10-13,921.37,927.92,916.95,926.46,142143.0,923.107,1235
6,2023-10-16,931.91,949.75,928.96,945.3,145464.0,942.767,1221
7,2023-10-17,949.51,949.8,943.48,946.06,85596.0,946.445,737
8,2023-10-18,947.36,947.36,929.36,930.5,144245.0,937.195,1207
9,2023-10-19,922.0,922.0,893.1,898.39,231220.0,903.163,1700
10,2023-10-20,901.65,914.36,897.93,907.06,145693.0,908.295,1127
11,2023-10-23,911.52,911.52,877.22,878.67,182924.0,886.159,1612
12,2023-10-24,879.62,887.65,870.27,872.0,135702.0,874.945,1182
13,2023-10-25,867.38,877.02,860.1,874.92,173693.0,869.515,1513
14,2023-10-26,904.0,932.12,895.88,921.64,405292.0,920.544,3420
15,2023-10-27,927.46,930.93,915.92,924.56,331289.0,923.14,2459
16,2023-10-30,924.9,937.28,917.96,930.14,238005.0,931.331,1384
17,2023-10-31,932.59,933.64,924.96,930.44,160455.0,930.234,1295
18,2023-11-01,934.92,946.63,925.5,945.66,175170.0,937.797,1255
19,2023-11-02,937.29,957.88,937.29,948.09,167277.0,950.633,1331
20,2023-11-03,950.0,959.35,950.0,952.84,91370.0,954.928,693
21,2023-11-06,956.19,960.08,951.9,956.1,67981.0,955.495,560
22,2023-11-07,958.82,975.82,952.89,974.61,145691.0,966.311,1106
23,2023-11-08,975.0,980.65,968.87,973.7,69872.0,974.884,565
24,2023-11-09,971.49,982.75,969.19,978.14,105563.0,977.824,763
25,2023-11-10,980.66,989.69,977.67,986.22,73976.0,984.603,582
26,2023-11-13,986.29,999.14,985.53,995.92,105302.0,994.892,854
27,2023-11-14,1001.0,1005.96,980.18,982.96,167070.0,988.059,1187
28,2023-11-15,981.4,983.59,970.22,973.34,162016.0,975.715,1410
29,2023-11-16,976.9,980.22,969.2,971.99,194088.0,973.483,1492
30,2023-11-17,981.51,981.51,965.73,968.55,114566.0,972.983,759
31,2023-11-20,970.0,982.73,965.49,978.61,88729.0,974.877,681
32,2023-11-21,979.91,988.07,977.29,983.59,63348.0,983.892,500
33,2023-11-22,984.56,995.07,982.34,991.46,61736.0,990.913,526
34,2023-11-24,992.6,992.6,984.76,987.16,23123.0,987.278,173
35,2023-11-27,984.65,990.07,982.15,983.13,71436.0,985.79,564
36,2023-11-28,987.08,988.94,972.02,977.43,54960.0,979.036,470
37,2023-11-29,975.7,977.75,969.78,973.94,61166.0,973.765,462
38,2023-11-30,975.12,982.81,971.1,982.38,77526.0,977.04,561
39,2023-12-01,984.5,988.81,978.28,980.52,98456.0,982.543,774
40,2023-12-04,978.48,988.17,970.55,983.22,159868.0,978.058,1221
41,2023-12-05,982.08,982.22,970.59,977.97,114007.0,977.18,978
42,2023-12-06,982.35,986.79,979.01,985.2,118875.0,983.552,876
43,2023-12-07,988.0,988.0,953.14,953.71,100163.0,965.217,826
44,2023-12-08,952.99,957.98,941.93,945.88,87264.0,946.16,660
45,2023-12-11,955.03,969.62,953.3,965.52,62119.0,963.664,517
46,2023-12-12,971.82,973.22,967.08,972.79,49895.0,970.165,429
47,2023-12-13,976.55,988.0,974.02,983.41,133598.0,981.974,1042
48,2023-12-14,983.72,983.72,945.53,951.12,158459.0,953.707,1181
49,2023-12-15,949.47,952.39,936.06,951.57,211055.0,946.476,908
50,2023-12-18,952.98,964.26,952.98,960.13,98589.0,959.992,835
51,2023-12-19,963.78,966.66,958.69,964.26,78030.0,962.728,614
52,2023-12-20,963.0,969.09,950.0,950.25,78283.0,960.395,650
53,2023-12-21,953.82,962.14,952.84,957.55,64293.0,957.615,438
54,2023-12-22,957.55,962.57,951.32,952.06,67677.0,956.128,520
55,2023-12-26,950.68,952.89,940.42,942.06,70744.0,943.782,537
56,2023-12-27,940.0,943.84,936.09,942.55,47370.0,939.617,372
57,2023-12-28,945.69,945.84,939.36,941.21,79396.0,943.224,488
58,2023-12-29,944.49,950.83,941.3,950.08,60622.0,947.971,403
59,2024-01-02,948.89,965.68,943.33,944.98,123767.0,950.728,1028
60,2024-01-03,952.67,958.54,941.38,943.71,94077.0,950.3,738
61,2024-01-04,945.5,951.27,935.08,935.8,89816.0,941.416,775
62,2024-01-05,935.0,937.8,924.4,925.4,142592.0,928.497,1065
63,2024-01-08,926.59,933.62,914.5,927.94,232792.0,924.167,1991
64,2024-01-09,924.38,929.14,921.25,927.9,105878.0,925.555,761
65,2024-01-10,927.46,937.82,927.46,936.55,145522.0,933.432,1142
66,2024-01-11,937.61,947.17,935.75,944.61,92523.0,941.625,731
