,date,open,high,low,close,volume,average,barCount
0,2023-10-06,79.02,80.08,78.41,79.54,1277134.0,79.453,9268
1,2023-10-09,79.11,79.95,78.7,79.95,833457.0,79.494,6009
2,2023-10-10,80.16,80.92,79.94,80.3,866296.0,80.51,6654
3,2023-10-11,80.35,81.07,80.35,81.04,945838.0,80.779,6638
4,2023-10-12,81.36,81.38,80.07,80.44,828148.0,80.638,5650
5,2023-10-13,80.59,80.79,79.72,80.0,994940.0,80.119,7173
6,2023-10-16,80.65,81.05,80.09,80.51,612683.0,80.59,4329
7,2023-10-17,80.13,81.28,79.98,81.07,602509.0,80.877,4441
8,2023-10-18,80.45,80.5,78.81,78.85,1501723.0,79.404,10169
9,2023-10-19,78.79,79.93,78.06,78.17,1580825.0,78.903,10467
10,2023-10-20,78.24,78.44,77.4,77.53,1143284.0,77.822,7567
11,2023-10-23,77.31,78.1,76.73,76.91,1071214.0,77.364,7512
12,2023-10-24,77.59,78.01,76.65,77.27,1942746.0,77.156,11363
13,2023-10-25,75.1,76.9,73.32,75.47,1883465.0,75.501,10855
14,2023-10-26,75.75,76.47,75.26,75.52,972716.0,75.872,5467
15,2023-10-27,75.23,76.61,75.16,76.14,1450870.0,76.162,9398
16,2023-10-30,76.7,76.98,75.78,76.54,1100181.0,76.467,6919
17,2023-10-31,76.58,77.4,76.47,77.21,1043051.0,76.979,7450
18,2023-11-01,77.39,77.69,76.22,76.81,1484699.0,76.744,9889
19,2023-11-02,77.88,78.77,77.51,78.65,1197869.0,78.5,8105
20,2023-11-03,79.64,80.59,79.55,79.81,1655489.0,80.041,11358
21,2023-11-06,79.65,80.57,79.44,80.32,1300324.0,80.213,8779
22,2023-11-07,79.92,80.35,79.54,79.87,1130377.0,79.98,6470
23,2023-11-08,79.93,81.2,79.73,80.85,1274047.0,80.766,7887
24,2023-11-09,81.2,81.52,80.49,80.65,1077280.0,80.934,6640
25,2023-11-10,80.87,82.3,80.64,82.03,870853.0,81.645,6126
26,2023-11-13,81.84,82.15,81.21,81.78,661526.0,81.838,4881
27,2023-11-14,83.0,84.2,82.43,83.94,1196018.0,83.775,7788
28,2023-11-15,84.15,84.64,83.57,83.6,1054465.0,83.937,6774
