,date,open,high,low,close,volume,average,barCount
0,2023-10-06,14.49,14.59,14.25,14.44,3568639.0,14.428,16045
1,2023-10-09,14.59,14.8,14.57,14.8,2461143.0,14.72,13013
2,2023-10-10,14.75,14.9,14.67,14.82,1444289.0,14.806,7087
3,2023-10-11,14.8,15.25,14.75,15.13,3536094.0,15.154,14937
4,2023-10-12,15.18,15.27,15.06,15.25,3007425.0,15.197,11969
5,2023-10-13,15.35,15.56,15.33,15.46,3148189.0,15.461,12110
6,2023-10-16,15.53,15.57,15.4,15.48,2212584.0,15.493,9621
7,2023-10-17,15.51,15.74,15.44,15.58,2616784.0,15.618,11970
8,2023-10-18,15.6,15.79,15.58,15.7,2635769.0,15.706,10468
9,2023-10-19,15.73,15.8,15.57,15.78,2943041.0,15.734,12461
10,2023-10-20,15.86,15.86,15.6,15.7,2438170.0,15.725,11848
11,2023-10-23,15.55,15.7,15.48,15.59,1665030.0,15.623,8099
12,2023-10-24,15.68,15.68,15.47,15.58,1552108.0,15.588,8099
13,2023-10-25,15.67,15.74,15.5,15.5,1436376.0,15.547,6929
14,2023-10-26,15.43,15.46,15.27,15.33,1994563.0,15.359,8823
15,2023-10-27,15.4,15.4,15.13,15.15,2096744.0,15.191,9303
16,2023-10-30,15.01,15.09,14.74,14.91,2285285.0,14.853,10842
17,2023-10-31,14.88,15.34,14.81,15.15,2812072.0,15.141,13071
18,2023-11-01,15.2,15.41,15.05,15.38,2612470.0,15.321,12729
19,2023-11-02,15.53,15.89,15.38,15.88,4057511.0,15.71,15947
20,2023-11-03,15.83,15.86,15.38,15.82,5655859.0,15.664,23826
21,2023-11-06,15.9,16.04,15.77,15.84,3280293.0,15.895,12982
22,2023-11-07,15.69,15.77,15.48,15.55,3490272.0,15.587,14212
23,2023-11-08,15.64,15.64,15.13,15.25,2253219.0,15.241,10104
24,2023-11-09,15.4,15.41,15.13,15.14,1839987.0,15.215,9393
25,2023-11-10,15.33,15.38,15.21,15.25,1425160.0,15.277,6356
26,2023-11-13,15.32,15.34,15.21,15.34,1828119.0,15.27,8139
27,2023-11-14,15.56,15.56,15.25,15.48,2487959.0,15.429,11834
28,2023-11-15,15.38,15.68,15.38,15.44,2522971.0,15.481,10823
29,2023-11-16,15.38,15.45,15.12,15.28,2606372.0,15.25,11982
30,2023-11-17,15.35,15.57,15.29,15.54,1731717.0,15.473,8853
31,2023-11-20,15.51,15.64,15.45,15.53,1548859.0,15.538,6284
32,2023-11-21,15.47,15.63,15.32,15.56,1905633.0,15.571,8415
33,2023-11-22,15.37,15.62,15.28,15.57,1256490.0,15.49,5607
34,2023-11-24,15.58,15.74,15.58,15.6,829493.0,15.65,4032
35,2023-11-27,15.58,15.6,15.37,15.44,2042452.0,15.494,8462
36,2023-11-28,15.44,15.51,15.37,15.42,1167269.0,15.422,6475
37,2023-11-29,15.54,15.66,15.41,15.59,2043877.0,15.551,10177
38,2023-11-30,15.68,15.9,15.62,15.88,3021414.0,15.795,13146
39,2023-12-01,15.86,15.94,15.72,15.92,3157551.0,15.842,13734
40,2023-12-04,15.84,15.92,15.7,15.8,2474888.0,15.777,9803
41,2023-12-05,15.72,15.74,15.47,15.51,1641516.0,15.586,7038
42,2023-12-06,15.51,15.54,15.19,15.21,2370290.0,15.289,11304
43,2023-12-07,15.3,15.41,14.89,14.95,2923284.0,15.003,12767
44,2023-12-08,15.01,15.01,14.77,14.87,4009514.0,14.878,18472
45,2023-12-11,14.91,14.96,14.8,14.83,3833148.0,14.86,16796
46,2023-12-12,14.76,14.76,14.47,14.58,4348663.0,14.568,18332
47,2023-12-13,14.53,14.91,14.46,14.89,3632982.0,14.667,16776
48,2023-12-14,15.0,15.16,14.96,15.05,3546855.0,15.048,17134
49,2023-12-15,15.0,15.15,14.81,14.86,4607438.0,14.902,21552
50,2023-12-18,15.0,15.08,14.87,14.99,3202059.0,14.969,15734
51,2023-12-19,14.94,15.16,14.91,15.08,2634929.0,15.055,11930
52,2023-12-20,15.1,15.21,15.06,15.06,2387255.0,15.125,10442
53,2023-12-21,15.07,15.2,15.05,15.09,1999205.0,15.104,9666
54,2023-12-22,15.14,15.28,15.09,15.09,1765776.0,15.174,7795
55,2023-12-26,15.1,15.19,15.05,15.14,1401897.0,15.143,5924
56,2023-12-27,15.11,15.21,15.05,15.15,1976968.0,15.132,8382
57,2023-12-28,15.1,15.2,15.05,15.11,1370634.0,15.141,6100
58,2023-12-29,15.15,15.16,15.06,15.15,1345822.0,15.115,6494
59,2024-01-02,15.15,15.3,15.13,15.3,1829181.0,15.219,8160
60,2024-01-03,15.25,15.48,15.25,15.41,1631312.0,15.394,8040
61,2024-01-04,15.49,15.54,15.31,15.31,1567952.0,15.419,7878
62,2024-01-05,15.33,15.54,15.33,15.39,2198091.0,15.426,9264
63,2024-01-08,15.24,15.38,15.14,15.35,2403226.0,15.281,10727
64,2024-01-09,15.4,15.5,15.31,15.5,2055151.0,15.425,8481
65,2024-01-10,15.54,15.61,15.47,15.5,2950227.0,15.533,12414
66,2024-01-11,15.55,15.58,15.4,15.5,1709925.0,15.467,7909
67,2024-01-12,15.72,15.78,15.58,15.78,1657153.0,15.689,7885
68,2024-01-16,15.78,15.85,15.51,15.65,3751776.0,15.622,13468
69,2024-01-17,15.56,15.64,15.37,15.5,2736795.0,15.472,11618
70,2024-01-18,15.48,15.68,15.44,15.57,2301569.0,15.577,9938
71,2024-01-19,15.65,15.65,15.52,15.62,1488332.0,15.59,6482
72,2024-01-22,15.66,16.02,15.63,15.91,2649015.0,15.902,11497
73,2024-01-23,15.85,15.9,15.61,15.67,1794656.0,15.709,8391
74,2024-01-24,15.76,15.85,15.7,15.74,1226973.0,15.757,6025
75,2024-01-25,15.92,16.06,15.84,16.04,2696845.0,15.988,10218
76,2024-01-26,16.05,16.31,16.03,16.3,2963689.0,16.197,11243
