,date,open,high,low,close,volume,average,barCount
0,2023-09-25,176.01,178.33,175.95,177.23,22800.0,177.25,214
1,2023-09-26,175.76,177.2,173.09,173.1,33236.0,174.988,326
2,2023-09-27,173.0,174.38,171.26,172.35,23712.0,172.866,215
3,2023-09-28,172.67,174.76,170.9,174.76,46883.0,173.723,416
4,2023-09-29,175.77,176.37,164.18,164.37,31448.0,168.455,293
5,2023-10-02,164.5,166.37,161.6,166.06,31828.0,163.681,289
6,2023-10-03,164.3,166.2,158.92,159.27,70217.0,162.3,498
7,2023-10-04,158.96,163.67,157.6,163.63,22463.0,160.742,203
8,2023-10-05,142.97,142.97,108.15,124.28,385090.0,121.923,2484
9,2023-10-06,124.13,133.62,117.83,132.21,145470.0,126.855,1232
10,2023-10-09,132.2,132.99,129.2,132.35,64247.0,131.502,549
11,2023-10-10,131.75,140.66,131.75,139.85,50541.0,137.971,421
12,2023-10-11,139.99,143.34,139.99,141.66,60881.0,141.925,551
13,2023-10-12,141.79,141.79,135.8,136.23,38083.0,137.192,349
14,2023-10-13,135.57,136.78,132.7,134.31,21307.0,134.242,193
15,2023-10-16,134.71,137.82,133.39,137.01,30785.0,136.424,256
16,2023-10-17,134.92,137.98,132.69,133.21,40094.0,135.1,354
17,2023-10-18,132.34,132.72,129.57,131.77,28940.0,131.13,279
18,2023-10-19,130.77,130.77,124.86,127.47,62717.0,127.166,537
19,2023-10-20,127.58,128.21,125.1,126.22,60108.0,126.573,522
20,2023-10-23,123.76,126.49,121.82,124.3,109491.0,125.088,739
21,2023-10-24,128.55,128.86,114.89,116.28,73320.0,118.096,669
22,2023-10-25,115.33,118.28,112.92,114.79,51987.0,115.099,487
23,2023-10-26,114.57,115.61,109.99,109.99,57882.0,112.764,525
24,2023-10-27,110.44,110.94,107.25,108.28,67490.0,109.5,567
25,2023-10-30,109.59,114.05,107.95,114.05,48079.0,111.858,449
26,2023-10-31,115.21,117.23,112.68,116.43,41524.0,115.469,388
27,2023-11-01,115.54,119.8,115.54,119.79,41804.0,118.271,374
28,2023-11-02,121.64,123.61,120.58,123.29,31605.0,122.472,230
29,2023-11-03,124.0,129.7,123.7,128.22,171122.0,128.498,1312
30,2023-11-06,127.73,133.66,127.73,132.08,95999.0,132.192,903
31,2023-11-07,132.0,133.58,128.92,129.99,30200.0,130.339,281
32,2023-11-08,129.41,131.16,128.55,128.73,38114.0,130.043,344
33,2023-11-09,129.13,129.71,126.56,126.76,32944.0,128.44,295
34,2023-11-10,126.81,127.41,125.29,127.13,19412.0,126.783,168
35,2023-11-13,125.43,127.62,125.43,126.92,21408.0,126.728,196
36,2023-11-14,129.78,131.3,128.15,130.12,27796.0,129.945,226
37,2023-11-15,130.26,133.33,129.76,131.9,102904.0,132.331,194
38,2023-11-16,132.65,136.13,131.71,135.91,94418.0,133.489,304
39,2023-11-17,137.02,142.33,137.01,142.1,43300.0,140.585,351
40,2023-11-20,146.66,146.66,142.45,143.45,63808.0,143.992,499
41,2023-11-21,141.96,142.52,139.5,142.32,51552.0,141.465,461
42,2023-11-22,143.93,145.03,142.02,143.8,67583.0,143.392,527
43,2023-11-24,143.24,147.09,143.24,145.42,9262.0,146.049,83
44,2023-11-27,144.27,148.69,144.27,147.23,41232.0,147.38,366
45,2023-11-28,145.86,150.94,145.86,148.88,38314.0,149.405,338
46,2023-11-29,148.37,148.83,145.59,146.47,51490.0,146.76,359
47,2023-11-30,146.41,152.58,145.32,152.26,34413.0,150.324,300
48,2023-12-01,150.99,152.98,150.28,152.33,38076.0,151.492,203
49,2023-12-04,152.05,154.11,149.59,149.59,16826.0,151.502,131
50,2023-12-05,148.08,150.34,147.19,149.69,24276.0,148.961,208
51,2023-12-06,151.54,153.58,150.3,150.3,32025.0,151.831,241
52,2023-12-07,150.15,150.15,147.42,149.59,35706.0,148.566,326
53,2023-12-08,148.33,149.5,146.05,148.01,47717.0,147.352,386
54,2023-12-11,147.0,148.17,145.05,145.05,37166.0,146.298,187
55,2023-12-12,147.19,147.19,143.7,145.31,78723.0,145.078,396
56,2023-12-13,144.1,147.62,143.61,147.26,21731.0,145.588,187
57,2023-12-14,147.92,173.66,147.92,171.81,180807.0,166.539,1633
58,2023-12-15,170.41,178.77,168.3,177.89,80469.0,175.077,706
59,2023-12-18,179.39,180.0,171.76,180.0,14683.0,176.662,122
60,2023-12-19,180.29,180.91,177.51,179.21,15665.0,178.709,147
61,2023-12-20,176.78,180.94,175.09,175.16,29578.0,177.705,272
62,2023-12-21,177.31,182.0,174.91,175.68,17452.0,177.443,160
63,2023-12-22,175.89,179.06,175.89,177.25,16656.0,177.208,141
64,2023-12-26,178.56,178.56,176.45,177.7,14644.0,177.308,114
65,2023-12-27,178.27,179.27,175.78,175.78,31602.0,177.177,272
66,2023-12-28,176.41,178.13,174.19,174.23,36808.0,175.262,297
67,2023-12-29,174.03,175.22,171.52,175.22,26434.0,173.852,184
68,2024-01-02,174.85,175.38,169.73,171.49,27547.0,171.506,208
69,2024-01-03,169.48,172.95,167.07,167.91,30651.0,169.434,254
70,2024-01-04,166.54,169.35,166.28,166.82,24151.0,167.317,182
71,2024-01-05,165.57,169.7,165.57,169.46,19422.0,168.446,156
72,2024-01-08,169.76,172.82,168.95,170.48,22599.0,171.024,180
73,2024-01-09,168.34,169.39,160.83,161.72,30585.0,164.083,253
74,2024-01-10,161.12,165.0,161.12,162.5,20826.0,162.694,171
75,2024-01-11,162.06,163.31,160.3,160.71,43518.0,161.268,372
76,2024-01-12,160.96,162.99,158.76,159.65,14678.0,160.682,133
77,2024-01-16,159.01,159.01,151.55,151.7,17180.0,153.063,143
78,2024-01-17,150.11,152.9,147.27,151.0,17322.0,150.18,156
79,2024-01-18,153.52,153.52,149.08,152.3,32246.0,150.928,190
80,2024-01-19,151.0,156.02,149.57,155.0,29914.0,154.433,283
81,2024-01-22,153.95,155.0,146.59,146.59,19418.0,150.708,162
82,2024-01-23,145.79,152.17,144.75,151.19,57060.0,149.573,512
83,2024-01-24,152.97,152.97,149.41,149.85,42569.0,150.873,330
84,2024-01-25,150.42,157.82,150.11,154.65,76983.0,153.077,510
85,2024-01-26,158.99,160.12,154.14,158.43,29150.0,158.284,240
86,2024-01-29,158.62,161.03,158.03,160.0,24047.0,159.791,167
87,2024-01-30,157.8,159.6,157.03,158.21,20840.0,158.055,149
88,2024-01-31,158.82,159.89,155.19,155.89,12824.0,157.382,101
89,2024-02-01,157.75,161.22,156.13,157.53,16925.0,158.489,154
