,date,open,high,low,close,volume,average,barCount
0,2023-10-06,14.96,15.17,14.76,15.05,1877148.0,14.984,10932
1,2023-10-09,15.2,15.39,15.13,15.38,1213519.0,15.315,7185
2,2023-10-10,15.45,15.52,15.24,15.48,2044090.0,15.414,12009
3,2023-10-11,15.31,15.93,15.29,15.89,3102849.0,15.8,13708
4,2023-10-12,15.98,15.98,15.69,15.85,1354811.0,15.81,7334
5,2023-10-13,16.0,16.08,15.94,15.96,1449401.0,15.994,7496
6,2023-10-16,16.05,16.13,15.92,16.11,1792836.0,16.06,7548
7,2023-10-17,16.06,16.36,16.06,16.19,1530353.0,16.222,7674
8,2023-10-18,16.19,16.36,16.16,16.27,1872489.0,16.251,10100
9,2023-10-19,16.22,16.36,16.11,16.26,1121573.0,16.253,6241
10,2023-10-20,16.16,16.25,16.07,16.13,1024974.0,16.155,6460
11,2023-10-23,16.02,16.2,15.91,16.07,1122959.0,16.096,5550
12,2023-10-24,16.15,16.16,15.97,16.03,1658999.0,16.052,8330
13,2023-10-25,16.15,16.16,15.99,16.05,780148.0,16.045,4544
14,2023-10-26,15.96,15.96,15.78,15.85,1240957.0,15.873,6917
15,2023-10-27,15.9,15.92,15.62,15.64,1322249.0,15.7,5783
16,2023-10-30,15.56,15.59,15.26,15.41,1840554.0,15.402,8820
17,2023-10-31,15.45,15.89,15.38,15.68,1877773.0,15.716,9548
18,2023-11-01,15.79,15.94,15.6,15.87,1598363.0,15.88,9882
19,2023-11-02,16.0,16.39,15.86,16.39,2102341.0,16.258,11015
20,2023-11-03,16.13,16.36,15.93,16.24,2535670.0,16.156,14004
21,2023-11-06,16.26,16.49,16.24,16.3,1450146.0,16.334,6921
22,2023-11-07,16.19,16.21,15.97,16.02,1341280.0,16.055,7349
23,2023-11-08,15.98,16.04,15.62,15.76,1372871.0,15.746,8658
24,2023-11-09,15.86,15.93,15.62,15.62,1535128.0,15.73,9417
25,2023-11-10,15.68,15.91,15.68,15.75,859956.0,15.797,4730
26,2023-11-13,15.69,15.85,15.68,15.8,1014445.0,15.744,5444
27,2023-11-14,16.03,16.07,15.76,15.98,1096347.0,15.931,5053
28,2023-11-15,15.98,16.15,15.88,15.95,4370856.0,15.947,15696
29,2023-11-16,15.87,15.96,15.61,15.71,1602511.0,15.705,8906
30,2023-11-17,15.83,16.0,15.78,15.96,852689.0,15.909,4658
31,2023-11-20,15.94,16.06,15.87,15.89,1145993.0,15.941,6127
32,2023-11-21,15.83,15.98,15.72,15.9,1217560.0,15.897,6606
33,2023-11-22,15.75,15.89,15.65,15.85,1031085.0,15.795,5204
34,2023-11-24,15.89,16.03,15.89,15.98,510595.0,15.98,3017
35,2023-11-27,15.91,15.97,15.77,15.85,1436864.0,15.878,6629
36,2023-11-28,15.83,15.93,15.73,15.77,1940200.0,15.8,9265
37,2023-11-29,15.88,16.04,15.79,15.92,887767.0,15.92,5187
38,2023-11-30,15.95,16.22,15.95,16.16,1223558.0,16.113,6862
39,2023-12-01,16.14,16.34,16.08,16.34,1574246.0,16.22,9058
40,2023-12-04,16.23,16.31,16.07,16.18,827383.0,16.148,5193
41,2023-12-05,16.1,16.11,15.81,15.83,1559443.0,15.919,7674
42,2023-12-06,15.85,15.88,15.56,15.58,1206627.0,15.697,6499
43,2023-12-07,15.7,15.74,15.27,15.34,1243062.0,15.367,6487
44,2023-12-08,15.4,15.4,15.21,15.36,1199565.0,15.315,6252
45,2023-12-11,15.36,15.4,15.25,15.29,798936.0,15.309,3636
46,2023-12-12,15.18,15.19,14.93,15.04,1258792.0,15.03,6186
47,2023-12-13,15.04,15.41,14.94,15.37,1468332.0,15.188,7519
48,2023-12-14,15.57,15.66,15.42,15.44,1767037.0,15.535,9566
49,2023-12-15,15.51,15.69,15.25,15.29,1456934.0,15.342,7249
50,2023-12-18,15.39,15.63,15.36,15.62,2419317.0,15.532,12250
51,2023-12-19,15.63,15.74,15.51,15.73,1667595.0,15.686,7720
52,2023-12-20,15.7,15.95,15.7,15.82,2449780.0,15.848,12864
53,2023-12-21,15.92,15.92,15.79,15.85,1434410.0,15.853,7610
54,2023-12-22,15.99,16.09,15.85,15.9,1502019.0,15.955,7573
55,2023-12-26,16.03,16.03,15.85,15.97,780730.0,15.98,3975
56,2023-12-27,15.96,16.07,15.88,15.94,1558231.0,15.966,7409
57,2023-12-28,15.92,16.05,15.87,15.91,918259.0,15.96,4843
58,2023-12-29,15.91,15.97,15.86,15.95,1342844.0,15.918,5811
59,2024-01-02,16.0,16.14,15.95,16.11,1643531.0,16.05,8052
60,2024-01-03,16.14,16.28,16.07,16.17,1980377.0,16.192,8413
61,2024-01-04,16.27,16.35,16.11,16.15,1066558.0,16.227,5267
62,2024-01-05,16.2,16.31,16.07,16.16,1475223.0,16.206,6826
63,2024-01-08,16.03,16.14,15.88,16.07,1632533.0,16.057,8174
64,2024-01-09,16.1,16.24,16.02,16.23,1713993.0,16.157,7675
65,2024-01-10,16.25,16.37,16.19,16.33,1648465.0,16.302,8126
66,2024-01-11,16.37,16.42,16.16,16.28,1605986.0,16.286,9333
67,2024-01-12,16.5,16.57,16.34,16.52,1442063.0,16.454,9143
68,2024-01-16,16.59,16.62,16.3,16.41,1821430.0,16.425,11110
69,2024-01-17,16.35,16.4,16.1,16.17,1325292.0,16.208,8653
70,2024-01-18,16.17,16.46,16.16,16.4,2993143.0,16.366,14725
71,2024-01-19,16.4,16.5,16.32,16.43,2660069.0,16.432,12235
72,2024-01-22,16.5,16.77,16.47,16.7,2257242.0,16.685,14428
73,2024-01-23,16.66,16.71,16.36,16.44,1921325.0,16.466,13078
74,2024-01-24,16.49,16.61,16.43,16.51,1500444.0,16.506,10353
75,2024-01-25,16.65,16.81,16.58,16.77,1864120.0,16.737,11878
76,2024-01-26,16.75,17.05,16.75,17.04,2138125.0,16.903,14080
77,2024-01-29,17.0,17.03,16.91,16.91,3730259.0,16.967,11488
78,2024-01-30,16.5,16.65,16.44,16.5,905864.0,16.512,4705
79,2024-01-31,16.53,16.55,16.16,16.18,1268501.0,16.256,6860
