,date,open,high,low,close,volume,average,barCount
0,2023-10-06,8.38,8.57,8.04,8.45,3067081.0,8.364,13088
1,2023-10-09,8.16,8.29,8.04,8.23,3269355.0,8.201,11600
2,2023-10-10,8.29,8.71,8.25,8.7,3757600.0,8.596,15370
3,2023-10-11,8.63,8.79,8.36,8.45,2110001.0,8.527,10899
4,2023-10-12,8.49,8.49,8.14,8.22,2310868.0,8.286,9455
5,2023-10-13,8.23,8.26,7.88,7.9,5248858.0,8.013,18582
6,2023-10-16,8.0,8.02,7.64,7.71,8049964.0,7.786,25559
7,2023-10-17,7.64,7.91,7.63,7.8,11306484.0,7.8,24010
8,2023-10-18,7.63,7.68,7.24,7.56,9215385.0,7.488,36834
9,2023-10-19,7.65,8.03,7.49,7.8,5498280.0,7.842,21752
10,2023-10-20,7.79,7.79,7.47,7.54,4154090.0,7.568,14712
11,2023-10-23,7.43,7.79,7.37,7.67,3703755.0,7.659,11404
12,2023-10-24,7.79,8.01,7.53,7.58,2413512.0,7.7,9324
13,2023-10-25,7.41,7.5,7.22,7.39,2088780.0,7.354,9611
14,2023-10-26,7.3,7.5,7.15,7.26,3881791.0,7.325,13470
15,2023-10-27,7.33,7.33,7.02,7.05,1851925.0,7.137,7333
16,2023-10-30,7.14,7.25,6.99,7.05,2289133.0,7.061,10126
17,2023-10-31,7.01,7.15,6.98,7.06,1777525.0,7.062,8707
18,2023-11-01,7.03,7.18,6.93,7.14,3012794.0,7.061,11301
19,2023-11-02,7.3,7.39,7.11,7.35,2474954.0,7.243,9943
20,2023-11-03,7.6,7.91,7.48,7.74,3371594.0,7.794,10618
21,2023-11-06,7.77,7.86,7.5,7.53,1541315.0,7.6,6702
22,2023-11-07,7.52,7.62,7.42,7.52,2107873.0,7.518,7989
23,2023-11-08,7.43,7.55,7.3,7.43,2971689.0,7.431,10580
24,2023-11-09,7.55,7.61,7.29,7.42,2456152.0,7.432,10241
25,2023-11-10,7.48,7.84,7.42,7.77,2716282.0,7.701,9807
26,2023-11-13,7.83,8.28,7.81,8.24,4659167.0,8.145,17321
27,2023-11-14,8.5,8.58,8.33,8.4,3010170.0,8.422,14503
28,2023-11-15,8.41,8.82,8.39,8.73,4309851.0,8.705,15533
29,2023-11-16,8.68,8.78,8.48,8.64,4311915.0,8.607,17600
30,2023-11-17,8.95,9.35,8.79,9.06,11102993.0,9.105,39165
