,date,open,high,low,close,volume,average,barCount
0,2023-09-25,34.25,34.51,33.81,34.35,242428.0,34.253,1715
1,2023-09-26,34.12,34.67,34.04,34.67,421622.0,34.465,3108
2,2023-09-27,35.27,35.97,35.11,35.41,550067.0,35.476,3750
3,2023-09-28,35.35,37.12,35.17,36.89,806583.0,36.53,5279
4,2023-09-29,36.89,36.89,35.72,35.94,429410.0,36.17,2826
5,2023-10-02,36.0,36.06,35.15,35.65,534737.0,35.511,3674
6,2023-10-03,35.19,35.19,33.66,34.08,453072.0,34.261,3130
7,2023-10-04,33.52,33.87,32.57,32.85,699680.0,32.917,4604
8,2023-10-05,32.4,32.98,32.14,32.48,450421.0,32.476,3290
9,2023-10-06,32.7,32.86,32.11,32.48,469618.0,32.567,3301
10,2023-10-09,33.08,33.25,32.35,32.86,372295.0,32.781,2842
11,2023-10-10,32.97,33.65,32.81,33.51,357690.0,33.444,2550
12,2023-10-11,33.11,33.58,32.61,33.52,399164.0,33.209,2875
13,2023-10-12,33.56,33.65,32.37,32.78,313959.0,32.782,2219
14,2023-10-13,33.35,33.42,32.17,32.32,443122.0,32.431,3161
15,2023-10-16,32.68,33.78,32.68,32.77,362314.0,33.057,2622
16,2023-10-17,32.6,33.24,32.41,32.65,281088.0,32.909,2194
17,2023-10-18,32.54,33.36,32.45,33.28,312034.0,33.161,2063
18,2023-10-19,33.14,33.36,32.5,32.61,268011.0,32.773,1954
19,2023-10-20,32.56,32.84,32.16,32.55,311660.0,32.552,2268
20,2023-10-23,32.43,32.7,31.85,32.54,256952.0,32.457,1925
21,2023-10-24,32.74,32.84,31.95,32.25,282978.0,32.337,2068
22,2023-10-25,32.29,32.66,31.54,31.55,314377.0,31.843,2216
23,2023-10-26,31.49,32.43,30.72,32.19,470549.0,32.069,3256
24,2023-10-27,31.94,32.33,31.51,32.06,534854.0,32.105,4153
25,2023-10-30,32.35,32.53,31.53,32.39,390018.0,32.242,2775
26,2023-10-31,32.45,32.85,31.8,32.82,535023.0,32.532,3561
27,2023-11-01,33.0,33.59,32.56,33.0,373614.0,33.199,2480
