,date,open,high,low,close,volume,average,barCount
0,2023-10-06,114.08,117.68,113.62,117.4,992235.0,116.758,7144
1,2023-10-09,117.23,119.41,117.07,119.16,511975.0,118.725,4104
2,2023-10-10,119.12,120.16,118.03,118.43,814087.0,119.016,5237
3,2023-10-11,119.03,119.18,117.48,118.66,706786.0,118.341,5369
4,2023-10-12,119.14,119.32,117.96,118.56,554534.0,118.535,4386
5,2023-10-13,119.14,119.4,116.97,117.98,331939.0,117.834,2639
6,2023-10-16,119.03,119.19,117.62,118.73,538767.0,118.721,3856
7,2023-10-17,118.81,119.55,118.44,119.14,480885.0,119.009,3774
8,2023-10-18,118.95,119.23,117.8,118.27,662003.0,118.477,4509
9,2023-10-19,118.51,119.63,117.53,118.19,736490.0,118.338,4932
10,2023-10-20,118.19,118.38,115.9,116.0,933299.0,116.89,6211
11,2023-10-23,116.08,117.95,115.67,116.63,757481.0,117.126,5299
12,2023-10-24,117.16,117.65,115.57,117.12,553221.0,116.824,4311
13,2023-10-25,115.94,115.94,111.35,112.19,1696530.0,112.819,12016
14,2023-10-26,112.23,113.28,111.65,111.75,970570.0,112.349,7473
15,2023-10-27,111.57,111.57,109.02,109.57,721735.0,109.907,5844
16,2023-10-30,110.56,111.02,109.24,110.57,572488.0,110.305,4112
17,2023-10-31,110.68,111.31,110.0,111.05,534025.0,110.837,4057
18,2023-11-01,109.36,109.36,106.27,108.86,1626098.0,107.807,11833
19,2023-11-02,109.65,112.53,109.5,112.47,644713.0,111.562,4776
20,2023-11-03,113.31,114.1,108.58,110.46,1553484.0,110.29,10990
21,2023-11-06,110.67,111.54,109.97,111.49,690052.0,110.984,5391
22,2023-11-07,111.78,112.68,110.82,112.53,822779.0,111.85,5452
23,2023-11-08,113.06,114.42,112.34,114.05,623568.0,113.738,4143
24,2023-11-09,114.65,115.16,113.7,114.02,682851.0,114.21,4611
25,2023-11-10,114.76,115.83,114.25,115.43,657599.0,115.152,4320
26,2023-11-13,114.16,114.87,113.87,114.48,646786.0,114.405,4398
27,2023-11-14,116.12,116.93,115.33,116.26,711591.0,116.031,5335
28,2023-11-15,116.69,117.88,116.59,117.14,704442.0,117.302,4711
29,2023-11-16,118.31,118.88,115.43,116.49,647290.0,116.462,4611
30,2023-11-17,117.19,117.68,116.56,117.52,643674.0,117.213,4605
31,2023-11-20,117.05,119.03,117.04,118.77,753804.0,118.375,5119
32,2023-11-21,118.8,119.06,118.13,118.36,1082074.0,118.439,7279
33,2023-11-22,119.17,119.89,118.25,118.95,1384237.0,118.992,9920
34,2023-11-24,119.31,119.32,118.23,118.5,263357.0,118.703,1637
35,2023-11-27,118.19,119.1,117.74,118.95,676811.0,118.713,5133
36,2023-11-28,119.06,119.69,118.6,119.58,1081580.0,119.21,7625
37,2023-11-29,119.83,121.91,119.67,121.15,967662.0,121.322,6936
38,2023-11-30,121.59,122.17,120.82,121.97,922947.0,121.647,7090
39,2023-12-01,121.96,124.14,121.63,123.92,729568.0,123.272,5668
40,2023-12-04,122.96,124.4,122.48,124.18,644463.0,123.734,4720
41,2023-12-05,124.01,124.27,122.53,123.04,757801.0,123.412,5688
42,2023-12-06,123.37,124.56,123.0,124.42,731122.0,124.019,5457
43,2023-12-07,124.85,125.34,123.55,124.83,607941.0,124.795,4417
44,2023-12-08,124.44,125.16,123.84,124.02,619618.0,124.296,4483
45,2023-12-11,124.79,126.13,124.72,125.2,914275.0,125.514,6960
46,2023-12-12,125.8,126.66,124.61,126.56,556113.0,126.021,4390
47,2023-12-13,126.89,128.19,125.73,128.12,663312.0,127.307,4589
48,2023-12-14,128.71,128.86,126.54,126.83,1398833.0,127.512,10347
49,2023-12-15,126.83,127.84,126.33,126.84,1322885.0,126.901,5438
50,2023-12-18,127.83,128.0,126.81,127.74,905752.0,127.69,6546
51,2023-12-19,127.9,129.37,127.02,128.79,1347902.0,128.889,9929
52,2023-12-20,128.26,129.66,127.78,127.86,1389999.0,128.68,10289
53,2023-12-21,122.25,122.25,118.59,118.9,3807394.0,120.109,23952
54,2023-12-22,118.7,121.1,118.58,119.86,1311138.0,120.163,9664
55,2023-12-26,119.33,120.6,119.12,120.18,670559.0,119.894,5360
56,2023-12-27,120.11,120.11,118.9,119.07,613119.0,119.252,4751
57,2023-12-28,119.36,120.07,119.06,119.5,711289.0,119.604,5207
58,2023-12-29,119.13,119.56,118.33,119.11,487054.0,118.891,3606
59,2024-01-02,118.84,119.09,117.32,117.87,997582.0,117.923,6901
60,2024-01-03,118.46,118.69,116.77,116.84,750484.0,117.221,4964
61,2024-01-04,117.24,118.46,117.15,117.85,665641.0,118.0,4582
62,2024-01-05,117.49,118.66,117.43,117.98,564436.0,118.031,4199
63,2024-01-08,117.96,119.58,117.44,119.47,866949.0,118.772,6840
64,2024-01-09,118.55,118.85,117.5,118.67,603030.0,118.514,4219
65,2024-01-10,118.7,119.26,118.16,118.89,424214.0,118.684,3051
66,2024-01-11,118.97,119.23,117.78,119.14,907904.0,118.564,7533
67,2024-01-12,119.98,120.37,118.79,119.72,460489.0,119.463,3607
68,2024-01-16,119.36,119.85,118.63,119.81,759275.0,119.447,5942
69,2024-01-17,119.37,120.37,119.36,120.11,642290.0,120.008,4637
70,2024-01-18,120.2,120.51,118.9,120.37,827303.0,119.716,6489
71,2024-01-19,121.05,122.75,119.79,122.09,841992.0,121.801,5788
72,2024-01-22,121.99,123.09,121.8,122.79,503917.0,122.679,3955
73,2024-01-23,122.64,123.5,122.51,122.82,1333000.0,123.038,4117
74,2024-01-24,123.55,124.39,121.5,121.89,1472818.0,122.695,11226
75,2024-01-25,121.84,123.2,120.49,121.01,705316.0,121.265,5767
76,2024-01-26,121.25,121.42,120.34,120.94,547079.0,120.966,4167
77,2024-01-29,120.57,121.53,120.46,121.36,618253.0,120.885,4926
78,2024-01-30,120.49,122.54,120.24,122.42,652309.0,121.878,5168
79,2024-01-31,123.09,123.82,121.47,121.73,1245965.0,122.469,9196
80,2024-02-01,121.77,122.01,119.23,121.1,1029355.0,120.41,7790
81,2024-02-02,121.19,122.09,120.19,121.77,1079176.0,121.304,8443
82,2024-02-05,121.32,121.34,119.42,119.89,773116.0,119.847,5939
83,2024-02-06,120.35,122.61,119.96,122.19,910116.0,121.834,6338
84,2024-02-07,122.95,123.19,121.65,122.1,642410.0,121.98,3858
85,2024-02-08,122.0,122.81,121.1,122.75,522052.0,122.092,3615
86,2024-02-09,123.01,123.25,121.84,123.03,1006544.0,122.64,5889
87,2024-02-12,122.12,122.54,121.56,122.1,894376.0,121.961,5982
88,2024-02-13,121.77,121.84,120.35,121.39,1161279.0,121.132,5639
89,2024-02-14,121.66,122.78,121.6,121.67,231208.0,122.292,1261
