,date,open,high,low,close,volume,average,barCount
0,2023-10-06,48.45,49.85,47.51,48.93,331772.0,48.956,2032
1,2023-10-09,48.79,49.38,48.31,49.14,130935.0,48.961,964
2,2023-10-10,49.14,50.65,48.65,49.77,202418.0,50.012,1349
3,2023-10-11,50.22,50.45,47.91,48.07,189325.0,48.543,1394
4,2023-10-12,48.06,49.51,45.17,45.35,497984.0,45.917,3046
5,2023-10-13,45.22,47.21,44.2,46.0,193823.0,45.302,1578
6,2023-10-16,46.37,47.67,45.87,46.88,158335.0,46.874,1307
7,2023-10-17,46.23,47.66,46.14,46.49,210682.0,46.712,1602
8,2023-10-18,46.37,46.49,45.22,46.03,289916.0,45.911,1331
9,2023-10-19,46.14,47.31,45.74,46.5,203930.0,46.559,1659
10,2023-10-20,46.82,47.53,45.0,46.79,209450.0,46.953,1466
11,2023-10-23,46.57,47.58,45.76,46.9,177113.0,47.029,1507
12,2023-10-24,47.31,48.31,47.09,48.13,170365.0,47.868,1324
13,2023-10-25,47.57,48.87,47.57,47.98,358691.0,48.158,1970
14,2023-10-26,47.94,49.01,45.61,48.27,271654.0,48.436,2202
15,2023-10-27,48.22,48.22,46.62,47.0,344691.0,47.038,2351
16,2023-10-30,47.44,48.24,46.77,47.61,232124.0,47.327,1300
17,2023-10-31,47.37,48.59,46.94,48.1,229112.0,48.048,1988
18,2023-11-01,48.09,48.15,46.94,47.99,198315.0,47.556,1493
19,2023-11-02,48.47,49.41,46.73,47.8,157077.0,47.462,1334
20,2023-11-03,48.72,51.37,48.3,50.75,608217.0,50.573,3404
21,2023-11-06,50.43,51.0,48.08,48.25,422925.0,48.575,3311
22,2023-11-07,48.0,51.55,48.0,50.25,547240.0,50.2,3768
23,2023-11-08,50.35,51.27,48.2,50.6,426034.0,50.38,2430
24,2023-11-09,50.9,51.22,47.66,48.04,260809.0,48.555,1641
25,2023-11-10,48.34,48.58,46.89,48.14,186073.0,47.952,1514
26,2023-11-13,47.53,48.81,46.16,48.42,199333.0,47.973,1516
27,2023-11-14,48.97,50.97,48.89,49.55,524671.0,49.835,2510
28,2023-11-15,49.01,51.74,48.95,50.8,330337.0,51.134,2116
29,2023-11-16,50.84,51.14,49.84,50.09,179269.0,50.494,1353
30,2023-11-17,50.32,51.84,49.95,51.46,250728.0,51.0,1213
31,2023-11-20,51.46,52.13,50.72,51.41,269584.0,51.179,1671
32,2023-11-21,51.25,51.77,50.75,50.76,223263.0,51.223,1563
33,2023-11-22,51.18,51.18,48.7,49.0,171089.0,49.522,1387
34,2023-11-24,48.74,50.07,48.24,49.33,169746.0,49.213,1382
35,2023-11-27,49.26,50.4,48.35,50.13,168723.0,49.797,1354
36,2023-11-28,49.22,50.16,48.81,50.08,195028.0,49.663,925
37,2023-11-29,50.38,51.67,49.57,49.71,223026.0,50.491,1182
38,2023-11-30,50.25,52.6,50.03,51.77,236351.0,51.923,1609
39,2023-12-01,51.77,53.94,50.91,53.81,214745.0,53.001,1613
40,2023-12-04,53.78,54.98,52.74,54.18,241054.0,54.075,1646
41,2023-12-05,54.1,54.99,53.26,53.71,172564.0,54.001,1374
42,2023-12-06,54.0,56.47,53.41,56.25,597219.0,55.585,2154
43,2023-12-07,56.5,57.42,55.56,56.78,267236.0,56.781,1785
44,2023-12-08,56.79,57.21,55.78,56.67,415434.0,56.563,2088
45,2023-12-11,56.98,58.56,55.84,57.83,597646.0,57.601,2398
46,2023-12-12,58.01,58.34,56.26,57.3,218382.0,57.24,1401
47,2023-12-13,57.34,59.39,55.76,59.24,542611.0,57.732,2470
48,2023-12-14,60.16,62.06,59.13,60.59,835925.0,60.404,6022
49,2023-12-15,61.04,61.54,59.69,60.56,955297.0,60.897,5521
50,2023-12-18,60.3,60.85,59.66,60.35,180802.0,60.351,1465
51,2023-12-19,60.63,61.78,60.28,61.26,233934.0,60.928,1619
52,2023-12-20,61.06,62.23,59.27,59.53,375495.0,60.361,2597
53,2023-12-21,59.7,60.66,59.13,59.36,240876.0,59.433,1668
54,2023-12-22,60.25,61.82,59.69,61.05,413196.0,61.083,2547
55,2023-12-26,61.37,62.83,60.87,62.31,377901.0,61.876,2460
56,2023-12-27,62.51,63.48,62.2,63.41,430419.0,62.915,2041
57,2023-12-28,63.13,64.04,61.21,63.31,366938.0,63.121,2044
58,2023-12-29,63.04,63.56,62.32,62.8,233987.0,63.073,1864
59,2024-01-02,62.01,65.97,60.61,62.94,490154.0,63.496,2643
60,2024-01-03,63.25,63.61,61.69,62.47,249804.0,62.841,1722
61,2024-01-04,62.88,64.52,61.74,64.34,189258.0,63.707,1514
62,2024-01-05,62.71,63.06,53.83,59.79,1798972.0,59.365,10308
63,2024-01-08,59.47,61.01,58.63,60.71,420096.0,60.166,2952
64,2024-01-09,60.12,61.24,59.38,60.7,248221.0,60.45,1780
65,2024-01-10,60.53,61.66,59.66,61.62,206635.0,61.088,1533
66,2024-01-11,60.4,60.84,59.17,60.0,321641.0,60.068,2616
67,2024-01-12,60.95,61.47,60.23,60.72,364187.0,60.674,2138
68,2024-01-16,60.1,61.81,59.45,61.75,301712.0,61.045,2051
69,2024-01-17,60.66,62.89,59.86,62.87,497669.0,62.014,3783
70,2024-01-18,63.35,63.35,59.68,60.84,418055.0,60.719,3173
71,2024-01-19,61.05,61.05,59.72,60.57,231426.0,60.372,1270
72,2024-01-22,61.01,63.31,61.01,63.25,332794.0,62.233,2164
73,2024-01-23,63.51,65.24,62.55,65.11,432431.0,64.131,3158
74,2024-01-24,65.26,65.48,63.19,63.22,145362.0,64.291,864
75,2024-01-25,64.14,65.53,62.31,63.4,560335.0,64.05,2416
76,2024-01-26,64.02,65.52,63.25,64.31,395026.0,64.724,2878
77,2024-01-29,64.48,68.73,63.93,68.5,493388.0,67.28,3325
78,2024-01-30,68.45,68.45,65.8,67.35,266174.0,67.192,1720
79,2024-01-31,70.47,73.61,67.52,71.42,2148988.0,70.759,15199
80,2024-02-01,71.69,75.84,71.57,75.53,1210193.0,74.309,8951
81,2024-02-02,75.1,75.72,72.37,75.27,754123.0,74.151,4866
82,2024-02-05,74.38,75.05,72.74,74.15,757429.0,73.988,4474
83,2024-02-06,74.76,76.72,73.24,74.83,571531.0,74.337,3767
84,2024-02-07,74.94,75.37,73.37,73.46,368225.0,74.052,3021
85,2024-02-08,73.46,75.11,73.06,74.14,377147.0,74.189,1953
86,2024-02-09,74.28,75.59,74.28,74.81,416709.0,74.864,2587
87,2024-02-12,75.16,76.5,74.68,76.41,492681.0,75.784,3715
88,2024-02-13,74.14,75.75,73.21,73.91,585709.0,74.388,3203
89,2024-02-14,74.84,75.32,73.87,74.44,40605.0,74.326,329
