,date,open,high,low,close,volume,average,barCount
0,2023-09-25,17.47,17.57,17.33,17.36,938661.0,17.459,2309
1,2023-09-26,17.38,17.38,16.94,17.03,1500930.0,17.171,3665
2,2023-09-27,17.12,17.21,16.9,16.92,1429757.0,17.033,3687
3,2023-09-28,16.95,17.01,16.77,16.89,1331321.0,16.889,3693
4,2023-09-29,16.97,17.3,16.96,17.28,1152875.0,17.081,3243
5,2023-10-02,17.3,17.34,16.86,16.92,1554055.0,17.058,4336
6,2023-10-03,16.9,17.35,16.66,16.78,2032707.0,16.98,6661
7,2023-10-04,17.05,17.05,16.87,16.96,1186628.0,16.954,3232
8,2023-10-05,17.0,17.1,16.86,16.9,1285234.0,16.923,2951
9,2023-10-06,16.81,16.94,16.72,16.91,1295680.0,16.838,3273
10,2023-10-09,16.9,17.04,16.83,17.02,848390.0,16.977,2021
11,2023-10-10,17.0,17.2,16.98,17.15,884990.0,17.122,2177
12,2023-10-11,16.99,17.03,16.85,16.91,939193.0,16.92,2070
13,2023-10-12,16.88,16.89,16.6,16.71,1077709.0,16.726,2475
14,2023-10-13,16.76,16.83,16.55,16.6,901951.0,16.635,2239
15,2023-10-16,16.69,16.7,16.17,16.19,2046018.0,16.39,5034
16,2023-10-17,16.02,16.09,15.55,15.67,3271399.0,15.734,8001
17,2023-10-18,15.6,16.14,15.49,16.07,2131873.0,15.82,5872
18,2023-10-19,16.18,16.23,15.63,15.79,1469531.0,15.946,3405
19,2023-10-20,15.85,16.04,15.76,15.89,1262018.0,15.87,3712
20,2023-10-23,15.67,15.9,15.56,15.59,1634745.0,15.721,4577
21,2023-10-24,15.62,15.83,15.61,15.74,1215142.0,15.725,3384
22,2023-10-25,15.65,15.67,15.45,15.53,1312537.0,15.571,3029
23,2023-10-26,15.55,15.71,15.52,15.57,1104196.0,15.603,3111
24,2023-10-27,15.7,15.76,15.58,15.75,1089863.0,15.681,2604
25,2023-10-30,15.8,16.13,15.78,16.09,1204157.0,16.01,3391
26,2023-10-31,16.1,16.38,16.09,16.34,1008565.0,16.288,2689
27,2023-11-01,16.51,16.87,16.44,16.86,1820481.0,16.742,4869
28,2023-11-02,17.28,17.43,17.14,17.4,2561087.0,17.305,7788
