,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.14,12.15,11.97,12.02,362886.0,12.045,1015
1,2023-09-26,12.02,12.06,11.9,11.9,499504.0,11.945,1684
2,2023-09-27,11.94,11.98,11.89,11.92,383509.0,11.918,1122
3,2023-09-28,11.93,11.98,11.85,11.89,583669.0,11.889,1519
4,2023-09-29,11.93,11.98,11.86,11.88,466009.0,11.903,1728
5,2023-10-02,11.89,11.92,11.68,11.69,788451.0,11.778,1990
6,2023-10-03,11.66,11.9,11.55,11.56,839021.0,11.737,3030
7,2023-10-04,11.6,11.81,11.58,11.74,814628.0,11.662,1785
8,2023-10-05,11.78,11.8,11.6,11.6,398351.0,11.651,1391
9,2023-10-06,11.54,11.7,11.51,11.67,506189.0,11.609,1888
10,2023-10-09,11.67,11.81,11.65,11.73,394598.0,11.722,1428
11,2023-10-10,11.72,11.83,11.67,11.69,443140.0,11.747,1471
12,2023-10-11,11.63,11.7,11.53,11.56,394042.0,11.613,1574
13,2023-10-12,11.56,11.62,11.3,11.33,541080.0,11.438,2088
14,2023-10-13,11.37,11.43,11.02,11.17,753884.0,11.208,3151
15,2023-10-16,11.22,11.22,10.97,11.02,714915.0,11.08,2517
16,2023-10-17,10.99,11.02,10.82,10.88,819717.0,10.904,2993
17,2023-10-18,10.86,11.01,10.86,10.95,453523.0,10.939,1374
18,2023-10-19,10.95,11.04,10.72,10.8,604014.0,10.872,2071
19,2023-10-20,10.71,10.83,10.65,10.75,581553.0,10.732,2097
20,2023-10-23,10.67,10.94,10.66,10.85,447323.0,10.841,1306
21,2023-10-24,10.84,11.0,10.84,10.91,376424.0,10.932,1347
22,2023-10-25,10.91,10.96,10.68,10.73,747533.0,10.766,3406
23,2023-10-26,10.69,10.82,10.68,10.68,423863.0,10.737,1763
24,2023-10-27,10.74,10.8,10.67,10.74,443901.0,10.721,1377
25,2023-10-30,10.77,10.95,10.76,10.87,605465.0,10.831,1680
26,2023-10-31,10.85,10.99,10.81,10.94,592257.0,10.909,1792
27,2023-11-01,11.04,11.45,11.01,11.4,638036.0,11.247,2291
28,2023-11-02,11.52,11.83,11.52,11.77,848317.0,11.707,2912
29,2023-11-03,11.85,12.04,11.79,11.91,806881.0,11.883,2887
30,2023-11-06,12.04,12.04,11.9,11.94,631379.0,11.984,2278
31,2023-11-07,12.01,12.02,11.91,12.0,504079.0,11.991,1909
32,2023-11-08,12.0,12.15,11.93,12.05,495548.0,12.06,1715
33,2023-11-09,12.15,12.15,11.67,11.7,717975.0,11.965,1838
34,2023-11-10,11.66,11.66,11.41,11.51,431494.0,11.524,1785
35,2023-11-13,11.43,11.43,11.22,11.32,506706.0,11.326,1596
