,date,open,high,low,close,volume,average,barCount
0,2023-09-25,22.35,22.73,22.22,22.38,699173.0,22.443,3693
1,2023-09-26,22.11,22.51,21.63,21.82,1231107.0,21.87,5877
2,2023-09-27,21.98,22.3,21.75,22.0,813034.0,21.984,4731
3,2023-09-28,21.9,22.54,21.67,22.39,401887.0,22.261,3115
4,2023-09-29,22.53,22.91,22.25,22.49,446055.0,22.511,3002
5,2023-10-02,22.38,22.63,22.16,22.5,463253.0,22.437,3376
6,2023-10-03,21.97,22.38,21.44,21.63,672227.0,21.743,3840
7,2023-10-04,21.7,22.02,21.35,21.93,469004.0,21.769,3137
8,2023-10-05,21.8,21.92,21.26,21.28,683969.0,21.412,3796
9,2023-10-06,21.0,21.99,20.95,21.88,916385.0,21.712,4735
10,2023-10-09,21.47,21.96,21.41,21.83,328099.0,21.77,2175
11,2023-10-10,20.2,21.76,20.13,21.45,2388091.0,21.281,11318
12,2023-10-11,21.43,21.56,20.67,20.79,3260209.0,20.959,12551
13,2023-10-12,20.93,21.07,20.27,20.5,916215.0,20.542,5550
14,2023-10-13,20.56,20.69,20.28,20.59,666758.0,20.457,4074
15,2023-10-16,20.76,21.44,20.5,20.73,816408.0,20.935,5399
16,2023-10-17,20.5,21.24,20.47,20.89,689361.0,20.975,4671
17,2023-10-18,20.65,20.75,20.34,20.41,579327.0,20.502,4006
18,2023-10-19,20.6,20.87,20.25,20.3,545548.0,20.451,3337
19,2023-10-20,20.3,20.31,19.59,19.65,790232.0,19.864,4702
20,2023-10-23,19.39,19.96,19.19,19.72,622930.0,19.69,4151
21,2023-10-24,19.98,20.71,19.9,20.68,833315.0,20.474,5232
22,2023-10-25,20.44,20.58,19.94,19.96,728797.0,20.152,4965
23,2023-10-26,20.23,20.6,19.68,19.85,881955.0,19.905,5001
24,2023-10-27,19.92,20.03,19.37,19.64,611360.0,19.599,4183
25,2023-10-30,19.88,20.3,19.65,19.96,603546.0,20.01,3662
26,2023-10-31,19.94,20.25,19.71,20.17,373046.0,20.1,2551
27,2023-11-01,20.14,20.14,19.18,19.67,739824.0,19.577,4179
28,2023-11-02,20.0,20.72,19.98,20.44,707769.0,20.432,5071
29,2023-11-03,20.87,21.58,20.5,21.43,1022922.0,21.217,7011
30,2023-11-06,21.55,21.64,20.93,21.22,678237.0,21.186,4520
31,2023-11-07,21.58,22.18,21.45,21.63,796430.0,21.713,5492
32,2023-11-08,21.6,21.75,20.97,21.18,677708.0,21.162,4095
33,2023-11-09,21.51,21.62,20.68,20.7,434244.0,20.995,3259
34,2023-11-10,20.58,21.83,20.49,21.69,2569989.0,21.411,14286
35,2023-11-13,21.77,21.77,20.8,21.18,2317950.0,21.184,15231
36,2023-11-14,22.23,22.43,21.55,21.79,919657.0,21.862,6026
37,2023-11-15,21.99,22.4,21.71,21.87,741539.0,22.044,4944
38,2023-11-16,21.74,21.78,21.12,21.17,932398.0,21.303,5890
39,2023-11-17,21.3,21.79,21.2,21.77,623708.0,21.595,3935
40,2023-11-20,21.7,22.4,21.65,22.16,590320.0,22.141,4219
41,2023-11-21,21.9,22.01,21.26,21.26,721598.0,21.437,4331
42,2023-11-22,21.44,21.83,21.24,21.31,695908.0,21.458,4908
43,2023-11-24,21.29,21.84,21.23,21.81,251293.0,21.69,1828
44,2023-11-27,21.56,21.81,21.4,21.54,453406.0,21.616,2968
45,2023-11-28,21.46,21.9,21.34,21.61,737817.0,21.68,4358
46,2023-11-29,22.04,22.52,21.89,22.0,1011665.0,22.191,6773
47,2023-11-30,22.33,22.47,21.57,21.8,1466706.0,21.812,8690
48,2023-12-01,22.93,23.23,20.72,21.73,5092892.0,21.6,22243
49,2023-12-04,21.63,22.6,21.63,22.2,1985188.0,22.136,10216
50,2023-12-05,21.92,22.13,21.5,21.72,1347116.0,21.754,6924
51,2023-12-06,21.95,22.51,21.75,21.93,1030884.0,22.14,5071
