,date,open,high,low,close,volume,average,barCount
0,2023-10-06,55.74,57.53,55.07,57.32,2071674.0,56.739,12818
1,2023-10-09,57.27,58.42,57.26,58.41,1460446.0,58.01,8826
2,2023-10-10,58.42,59.32,58.38,59.05,1386036.0,59.024,9324
3,2023-10-11,59.23,60.83,59.08,60.77,1548729.0,60.219,11299
4,2023-10-12,60.5,61.43,59.95,60.57,2457937.0,60.589,16356
5,2023-10-13,61.0,61.3,60.46,60.8,1718930.0,60.751,12721
6,2023-10-16,61.12,61.33,60.49,60.89,1108000.0,60.945,8009
7,2023-10-17,60.56,61.09,60.4,60.81,1018652.0,60.703,7285
8,2023-10-18,60.62,60.85,59.78,60.19,1359397.0,60.246,9909
9,2023-10-19,59.95,60.75,59.77,59.83,1206268.0,60.175,8245
10,2023-10-20,59.77,60.45,59.28,59.3,1508862.0,59.779,10758
11,2023-10-23,58.44,59.89,58.23,59.16,1706030.0,59.393,11963
12,2023-10-24,59.73,60.91,59.56,60.48,1843242.0,60.536,12293
13,2023-10-25,60.18,60.77,60.11,60.59,1364821.0,60.491,10455
14,2023-10-26,60.82,61.58,60.62,61.2,1620142.0,61.253,11512
15,2023-10-27,61.0,61.17,59.83,60.11,1227367.0,60.287,8482
16,2023-10-30,60.52,61.08,59.78,60.16,1431616.0,60.208,9993
17,2023-10-31,61.43,61.87,60.43,61.65,2461847.0,61.373,14417
18,2023-11-01,61.33,62.86,61.17,62.38,1879006.0,62.295,13074
19,2023-11-02,62.19,63.7,62.19,63.42,1436486.0,63.379,10726
20,2023-11-03,64.25,64.31,63.54,63.59,1435721.0,63.773,10310
21,2023-11-06,63.61,63.83,62.78,63.02,2010914.0,63.252,12747
22,2023-11-07,63.16,63.16,62.0,62.3,1332272.0,62.342,9528
23,2023-11-08,61.93,62.28,60.99,61.69,1626562.0,61.468,11141
24,2023-11-09,61.85,62.17,60.93,61.03,1051874.0,61.298,7321
25,2023-11-10,61.39,61.65,61.01,61.61,1089620.0,61.37,7899
26,2023-11-13,61.5,61.67,60.87,61.34,1250091.0,61.263,6972
27,2023-11-14,62.48,63.31,62.21,63.25,2346278.0,62.764,12427
28,2023-11-15,63.1,63.71,62.53,62.88,1417669.0,62.937,9732
29,2023-11-16,63.27,63.77,63.22,63.46,1694701.0,63.535,10694
30,2023-11-17,63.74,64.01,63.33,63.75,1085373.0,63.83,7288
31,2023-11-20,63.41,64.04,62.88,64.01,2155364.0,63.762,13810
32,2023-11-21,64.24,64.47,63.67,64.14,1815301.0,64.038,11621
33,2023-11-22,64.4,64.68,63.89,64.65,1066248.0,64.492,7787
34,2023-11-24,64.88,65.19,64.57,65.09,677923.0,64.975,4520
35,2023-11-27,65.19,65.22,64.36,64.44,1831094.0,64.528,10215
36,2023-11-28,64.62,65.17,64.38,64.4,1531361.0,64.659,9557
37,2023-11-29,64.4,64.58,63.22,63.29,2348275.0,63.592,13613
38,2023-11-30,63.18,63.41,62.29,62.43,6491069.0,62.749,30980
39,2023-12-01,62.41,63.61,62.25,63.42,2038782.0,63.179,13265
40,2023-12-04,62.86,63.97,62.65,63.28,1467814.0,63.447,8816
41,2023-12-05,63.26,63.26,62.3,62.6,1732136.0,62.575,11268
42,2023-12-06,62.95,63.34,62.65,63.19,2365259.0,63.059,15138
43,2023-12-07,62.86,63.29,62.29,62.42,2059017.0,62.752,12353
44,2023-12-08,62.38,62.58,61.81,62.57,1809083.0,62.265,8615
45,2023-12-11,62.36,63.09,62.18,62.98,1169482.0,62.85,8225
46,2023-12-12,63.12,63.12,62.34,62.49,790299.0,62.629,5857
47,2023-12-13,62.73,64.74,62.25,64.52,1798116.0,63.881,10771
48,2023-12-14,64.86,64.95,62.78,62.98,2824893.0,63.575,15576
49,2023-12-15,62.34,62.59,60.92,61.54,3597901.0,61.799,16377
50,2023-12-18,61.59,61.76,61.18,61.7,1782352.0,61.565,11415
51,2023-12-19,61.82,62.18,61.42,62.17,1211041.0,61.938,7730
52,2023-12-20,61.97,62.27,60.72,60.74,1497445.0,61.345,9212
53,2023-12-21,60.8,61.11,60.03,60.35,1286663.0,60.367,8323
54,2023-12-22,60.71,61.25,60.63,60.65,1301624.0,60.877,9256
55,2023-12-26,60.5,60.99,60.5,60.72,683533.0,60.821,4746
56,2023-12-27,60.64,60.9,60.42,60.66,932835.0,60.626,5959
57,2023-12-28,60.45,61.09,60.45,60.97,647323.0,60.926,4526
58,2023-12-29,60.67,61.19,60.6,61.15,1068363.0,60.913,7065
59,2024-01-02,60.86,61.81,60.73,61.54,1257598.0,61.482,7691
60,2024-01-03,61.61,61.84,61.19,61.81,1558776.0,61.566,9631
61,2024-01-04,61.77,62.21,61.36,61.79,1462254.0,61.888,9543
62,2024-01-05,61.57,61.9,61.21,61.73,1482270.0,61.538,9782
63,2024-01-08,61.77,62.31,61.46,62.18,1167381.0,61.914,7623
64,2024-01-09,61.89,62.03,61.46,61.82,899818.0,61.832,6228
65,2024-01-10,61.73,62.2,61.34,62.01,1253852.0,61.78,7129
66,2024-01-11,61.77,61.8,59.88,60.31,1397158.0,60.374,8200
67,2024-01-12,60.8,60.97,60.09,60.32,3668820.0,60.396,13448
68,2024-01-16,60.08,60.22,59.16,59.37,1647510.0,59.522,11162
69,2024-01-17,59.0,59.77,58.32,58.81,1577120.0,58.928,9271
70,2024-01-18,58.44,58.6,57.81,58.33,1611061.0,58.159,9819
71,2024-01-19,58.62,58.64,57.97,58.55,1466639.0,58.366,8522
72,2024-01-22,58.21,58.8,57.98,58.03,1404281.0,58.211,8688
73,2024-01-23,57.89,58.24,57.72,58.15,1079972.0,58.014,7233
74,2024-01-24,58.43,58.48,56.85,56.98,1561533.0,57.254,9214
