,date,open,high,low,close,volume,average,barCount
0,2023-10-06,68.59,70.37,68.31,69.89,464300.0,69.72,3853
1,2023-10-09,69.19,70.1,68.82,69.74,453058.0,69.446,3748
2,2023-10-10,70.11,70.88,70.03,70.41,456341.0,70.46,3786
3,2023-10-11,70.4,70.99,69.67,70.65,445178.0,70.255,3463
4,2023-10-12,70.66,70.66,69.35,69.91,322456.0,69.99,2471
5,2023-10-13,70.49,70.9,69.41,69.76,388144.0,69.932,3086
6,2023-10-16,70.41,71.79,70.22,71.2,344299.0,71.184,2724
7,2023-10-17,70.93,72.92,70.67,72.45,323127.0,72.298,2741
8,2023-10-18,71.82,71.94,70.4,70.61,511082.0,70.869,4079
9,2023-10-19,70.42,71.07,69.44,69.51,398024.0,70.171,3227
10,2023-10-20,69.54,69.68,67.59,68.07,546855.0,68.589,3745
11,2023-10-23,67.78,68.29,67.39,67.45,402188.0,67.803,2829
12,2023-10-24,67.57,68.12,66.72,67.06,1058023.0,67.152,6990
13,2023-10-25,66.75,67.14,66.21,66.88,865888.0,66.781,5652
14,2023-10-26,66.96,68.75,66.88,68.35,1133914.0,68.356,8318
15,2023-10-27,72.29,73.2,66.73,67.67,1489615.0,68.314,10799
16,2023-10-30,68.24,69.02,66.77,67.75,565446.0,67.837,4140
17,2023-10-31,67.68,68.52,67.06,67.68,845221.0,67.522,6600
18,2023-11-01,67.81,68.12,66.71,67.26,2005735.0,67.212,10007
19,2023-11-02,68.02,70.6,67.79,70.53,2655239.0,69.195,13928
20,2023-11-03,71.31,72.32,71.04,71.69,1170078.0,71.577,8384
21,2023-11-06,71.89,71.89,69.98,70.47,498665.0,70.369,3970
22,2023-11-07,70.28,70.39,68.93,69.44,590584.0,69.42,4763
23,2023-11-08,69.62,69.73,68.93,69.06,552886.0,69.182,3495
24,2023-11-09,69.48,69.8,68.81,68.9,613553.0,69.081,3591
25,2023-11-10,69.19,69.66,68.69,69.57,499957.0,69.298,3464
26,2023-11-13,69.14,69.71,68.96,69.24,539992.0,69.326,4240
27,2023-11-14,70.28,71.91,70.22,71.62,808340.0,71.46,4068
28,2023-11-15,71.56,72.81,71.56,71.67,520650.0,71.967,3715
29,2023-11-16,71.84,72.27,71.37,71.48,824874.0,71.661,5380
30,2023-11-17,72.12,72.69,71.88,72.54,483622.0,72.442,3175
31,2023-11-20,72.0,72.74,71.39,72.59,379910.0,72.375,2895
32,2023-11-21,72.33,72.73,72.11,72.21,723800.0,72.383,3984
33,2023-11-22,72.45,72.54,71.87,72.25,449341.0,72.208,3488
34,2023-11-24,72.41,72.89,72.16,72.65,178299.0,72.585,1296
35,2023-11-27,72.23,72.28,71.51,72.1,569191.0,71.969,3672
36,2023-11-28,71.9,72.35,71.39,72.3,568610.0,71.986,4518
37,2023-11-29,72.65,75.06,72.6,74.17,1081649.0,74.463,8214
38,2023-11-30,73.71,74.54,73.21,73.83,765019.0,73.853,5873
39,2023-12-01,73.68,74.83,73.68,74.53,583505.0,74.388,3992
40,2023-12-04,74.11,75.25,73.98,75.1,508219.0,74.954,3842
41,2023-12-05,74.75,75.07,74.24,74.57,568154.0,74.701,4518
42,2023-12-06,75.08,75.91,74.39,74.6,442244.0,74.854,3296
43,2023-12-07,74.78,74.95,74.37,74.65,400279.0,74.657,2973
44,2023-12-08,74.55,75.45,74.55,75.15,279498.0,75.054,2290
45,2023-12-11,75.34,76.29,75.23,75.98,364017.0,75.948,2618
46,2023-12-12,76.02,76.39,75.67,76.31,286759.0,76.184,2209
47,2023-12-13,76.47,78.39,76.17,78.08,360308.0,77.394,2809
48,2023-12-14,79.13,80.25,79.09,79.58,514710.0,79.552,4067
49,2023-12-15,79.2,79.29,78.33,78.45,532656.0,78.886,2692
50,2023-12-18,78.97,78.97,77.75,77.79,391830.0,78.126,2835
51,2023-12-19,77.49,79.61,77.25,79.48,470708.0,79.188,3475
52,2023-12-20,79.03,80.0,78.34,78.36,600660.0,79.343,4317
53,2023-12-21,78.54,78.97,77.74,78.71,413905.0,78.434,2779
54,2023-12-22,79.08,79.65,78.54,78.9,304988.0,79.026,2347
55,2023-12-26,78.83,79.54,78.67,79.28,210762.0,79.267,1583
56,2023-12-27,78.98,79.47,78.69,79.2,335159.0,79.175,2618
57,2023-12-28,79.1,79.65,78.85,79.25,287245.0,79.209,2107
58,2023-12-29,79.32,79.45,78.48,78.67,212246.0,78.794,1618
59,2024-01-02,78.47,79.42,78.32,79.11,332206.0,78.988,2197
60,2024-01-03,78.7,79.35,78.16,78.67,342241.0,78.842,2630
61,2024-01-04,78.95,79.95,78.78,79.39,431342.0,79.555,3417
62,2024-01-05,79.33,81.1,79.33,80.82,508545.0,80.646,3683
63,2024-01-08,80.5,80.84,80.04,80.48,341147.0,80.425,2420
64,2024-01-09,79.74,80.06,78.52,78.61,305618.0,78.914,2200
65,2024-01-10,78.53,79.05,78.22,79.0,267780.0,78.652,2020
66,2024-01-11,78.78,79.05,77.74,78.97,393750.0,78.49,3097
67,2024-01-12,79.14,79.82,78.4,78.75,260204.0,78.801,1958
68,2024-01-16,78.27,78.27,77.59,78.14,350950.0,77.949,2654
