,date,open,high,low,close,volume,average,barCount
0,2023-09-25,32.99,33.52,32.89,33.25,320853.0,33.288,2504
1,2023-09-26,33.28,34.34,33.01,34.21,849145.0,33.899,4706
2,2023-09-27,34.49,35.06,34.02,34.6,619503.0,34.578,3980
3,2023-09-28,34.45,35.11,34.27,34.39,381741.0,34.677,2599
4,2023-09-29,34.71,34.98,33.99,34.02,312132.0,34.282,2191
5,2023-10-02,33.91,34.2,33.51,33.92,283099.0,33.828,2203
6,2023-10-03,33.71,33.84,33.11,33.26,179025.0,33.415,1496
7,2023-10-04,33.32,33.5,32.72,33.21,160645.0,33.098,1395
8,2023-10-05,32.85,33.36,32.56,33.33,244962.0,32.977,1912
9,2023-10-06,33.02,33.99,33.0,33.59,170254.0,33.609,1278
10,2023-10-09,33.62,33.88,32.95,33.77,177789.0,33.486,1212
11,2023-10-10,33.64,35.17,33.64,34.95,250709.0,34.759,1817
12,2023-10-11,34.96,35.11,33.37,33.8,188897.0,33.843,1324
13,2023-10-12,33.92,33.92,32.44,32.47,207303.0,32.947,1342
14,2023-10-13,32.58,33.37,32.39,33.11,196566.0,33.068,1607
15,2023-10-16,33.3,33.38,32.28,32.33,509333.0,32.758,1902
16,2023-10-17,32.08,33.38,32.02,32.9,556542.0,32.975,2427
17,2023-10-18,32.64,32.64,31.82,31.96,202729.0,32.095,1517
18,2023-10-19,31.89,32.52,31.28,31.97,213195.0,31.896,1742
19,2023-10-20,32.04,32.04,31.29,31.67,375537.0,31.657,2218
20,2023-10-23,31.83,31.93,31.09,31.74,268673.0,31.621,2116
21,2023-10-24,31.83,32.27,31.6,31.77,280618.0,31.882,2289
22,2023-10-25,31.42,31.63,30.92,31.33,229287.0,31.368,1981
23,2023-10-26,31.33,31.53,29.97,30.05,240904.0,30.34,1926
24,2023-10-27,30.24,30.51,29.59,30.49,336878.0,30.248,2518
25,2023-10-30,30.77,31.18,30.25,31.01,281918.0,30.84,1882
26,2023-10-31,30.96,31.49,30.59,30.86,570426.0,30.947,2771
27,2023-11-01,30.87,31.0,30.0,30.43,357372.0,30.375,2895
28,2023-11-02,31.0,31.06,29.84,30.81,574593.0,30.577,4022
29,2023-11-03,31.37,32.4,31.1,31.9,504083.0,31.883,3270
30,2023-11-06,31.95,32.24,30.75,30.83,660171.0,31.117,4449
31,2023-11-07,31.02,32.34,31.02,32.0,1157507.0,31.894,6835
32,2023-11-08,32.0,33.6,29.46,29.51,1410293.0,30.711,8915
33,2023-11-09,29.78,30.37,29.44,29.6,572889.0,29.722,4169
34,2023-11-10,29.65,30.44,29.54,30.18,420154.0,30.099,3242
35,2023-11-13,30.16,30.64,29.76,30.47,265699.0,30.393,2018
36,2023-11-14,31.47,32.35,31.47,31.84,368939.0,31.877,2795
37,2023-11-15,31.78,32.95,31.78,32.62,385188.0,32.643,2956
38,2023-11-16,32.6,32.6,31.39,31.4,383225.0,31.685,2784
39,2023-11-17,31.63,32.22,30.96,32.2,457895.0,31.844,3080
40,2023-11-20,32.34,33.2,32.24,33.09,526847.0,32.965,3878
41,2023-11-21,32.75,33.06,32.29,32.86,417013.0,32.684,2299
42,2023-11-22,33.19,34.14,33.04,33.77,525921.0,33.823,3530
43,2023-11-24,33.66,34.74,33.5,34.48,219889.0,34.429,1690
44,2023-11-27,34.26,34.36,33.69,34.18,502618.0,34.095,2565
45,2023-11-28,34.18,34.36,33.81,33.88,283200.0,34.035,2273
46,2023-11-29,34.08,34.55,33.79,33.99,225468.0,34.038,1808
47,2023-11-30,34.22,34.66,34.09,34.36,478657.0,34.362,2588
48,2023-12-01,34.13,34.97,34.13,34.59,452895.0,34.619,2486
49,2023-12-04,34.49,35.2,34.49,35.19,210197.0,34.964,1470
50,2023-12-05,35.0,35.36,34.78,35.35,453454.0,35.064,3040
51,2023-12-06,35.63,36.84,35.63,36.45,825582.0,36.466,5478
52,2023-12-07,36.49,36.65,35.83,36.31,542971.0,36.284,2878
53,2023-12-08,36.34,36.96,36.06,36.26,254994.0,36.441,1944
54,2023-12-11,36.26,36.42,35.67,35.96,267266.0,35.924,2046
55,2023-12-12,36.06,36.24,35.32,35.53,640866.0,35.553,4158
56,2023-12-13,35.53,36.18,34.44,36.12,616293.0,35.213,3773
57,2023-12-14,36.74,37.7,35.72,35.88,523853.0,36.433,3468
58,2023-12-15,36.09,36.14,34.46,34.5,571010.0,35.233,2781
59,2023-12-18,34.65,35.32,34.19,35.11,318675.0,34.899,2563
60,2023-12-19,35.55,37.0,35.52,36.98,386345.0,36.454,2667
61,2023-12-20,36.97,37.6,36.27,36.37,455404.0,37.012,2932
