,date,open,high,low,close,volume,average,barCount
0,2023-09-25,26.96,27.65,26.96,27.26,150871.0,27.36,773
1,2023-09-26,27.1,27.61,26.89,26.91,248500.0,27.119,822
2,2023-09-27,27.3,27.89,27.3,27.44,128843.0,27.565,976
3,2023-09-28,27.36,28.03,27.36,27.86,145788.0,27.832,1018
4,2023-09-29,28.21,28.29,27.38,27.75,195064.0,27.675,1306
5,2023-10-02,27.45,27.74,26.99,27.04,178827.0,27.211,1295
6,2023-10-03,26.89,27.12,26.58,26.93,144555.0,26.92,1003
7,2023-10-04,27.0,27.15,26.32,26.35,236599.0,26.581,1809
8,2023-10-05,26.32,26.66,26.04,26.19,174470.0,26.246,1263
9,2023-10-06,26.0,26.45,25.76,26.28,164874.0,26.208,1232
10,2023-10-09,26.31,26.45,25.94,26.2,168627.0,26.209,1178
11,2023-10-10,30.65,32.78,30.07,31.95,2758775.0,31.871,10972
12,2023-10-11,32.36,32.36,31.15,31.46,526125.0,31.569,2930
13,2023-10-12,31.75,31.75,30.78,31.61,249456.0,31.366,1435
14,2023-10-13,31.93,32.17,30.99,31.07,144106.0,31.371,930
15,2023-10-16,31.47,31.74,31.07,31.48,189546.0,31.39,1121
16,2023-10-17,31.3,32.03,31.27,31.83,415933.0,31.805,1683
17,2023-10-18,31.49,31.64,30.87,31.01,78422.0,31.299,563
18,2023-10-19,30.83,31.48,30.4,30.43,126067.0,30.912,911
19,2023-10-20,30.54,31.21,30.54,30.6,107685.0,30.753,652
20,2023-10-23,30.39,30.92,30.16,30.2,123389.0,30.492,851
21,2023-10-24,30.53,30.53,29.9,30.2,95602.0,30.19,648
22,2023-10-25,29.88,30.31,29.74,29.96,78266.0,30.073,596
23,2023-10-26,30.22,30.6,29.97,29.97,81550.0,30.21,564
24,2023-10-27,29.95,30.13,29.69,29.81,164230.0,29.912,1219
25,2023-10-30,30.13,30.29,29.48,29.6,227046.0,29.679,1805
26,2023-10-31,29.66,30.18,29.66,29.94,154726.0,29.985,1155
27,2023-11-01,29.82,30.79,29.72,30.77,226332.0,30.343,1662
28,2023-11-02,30.77,31.39,29.82,30.31,277010.0,30.229,1691
29,2023-11-03,30.86,31.2,30.14,30.84,217618.0,30.616,1498
30,2023-11-06,31.0,31.24,30.77,31.06,140233.0,31.064,973
31,2023-11-07,31.08,31.56,30.68,31.35,204201.0,31.364,1294
32,2023-11-08,31.2,31.46,30.05,30.07,202129.0,30.475,1168
33,2023-11-09,30.33,30.48,29.75,29.85,143341.0,30.018,1125
34,2023-11-10,30.1,30.47,29.99,30.26,109999.0,30.193,711
35,2023-11-13,30.16,30.99,30.05,30.86,130407.0,30.677,859
36,2023-11-14,31.87,32.33,31.77,32.15,315952.0,31.997,2084
37,2023-11-15,31.96,32.42,31.73,31.87,128873.0,31.978,878
38,2023-11-16,32.04,32.28,31.64,31.7,113188.0,31.784,768
39,2023-11-17,31.93,32.05,31.49,31.86,165266.0,31.749,1001
40,2023-11-20,31.95,32.04,31.54,31.9,98583.0,31.759,622
41,2023-11-21,31.7,32.15,31.63,31.63,60134.0,31.866,424
42,2023-11-22,31.85,32.25,31.83,32.2,66712.0,32.081,441
43,2023-11-24,32.15,33.92,32.15,33.54,490395.0,33.371,2136
44,2023-11-27,33.39,33.52,32.82,32.85,220872.0,33.055,1182
45,2023-11-28,32.94,33.11,32.07,32.18,136435.0,32.499,792
