,date,open,high,low,close,volume,average,barCount
0,2023-10-06,143.6,144.56,141.45,144.09,4224749.0,143.323,27728
1,2023-10-09,143.36,143.97,141.6,143.36,2752827.0,142.624,18319
2,2023-10-10,143.98,145.22,143.72,144.78,3125468.0,144.717,19970
3,2023-10-11,145.14,145.56,142.56,143.0,2812613.0,143.424,18733
4,2023-10-12,142.79,143.93,141.66,143.32,3375783.0,143.09,21880
5,2023-10-13,143.19,145.03,143.19,144.69,3344978.0,144.265,22224
6,2023-10-16,145.86,147.06,145.46,146.07,3924637.0,146.297,25668
7,2023-10-17,146.11,146.83,145.24,146.26,3390345.0,145.999,23594
8,2023-10-18,150.06,151.3,148.77,150.03,6354931.0,149.969,37444
9,2023-10-19,149.61,150.28,147.18,148.25,4490697.0,148.404,26596
10,2023-10-20,149.05,149.88,147.92,148.05,3032686.0,148.774,16847
11,2023-10-23,147.86,149.5,147.56,148.15,3228141.0,148.582,22822
12,2023-10-24,148.12,150.07,148.07,149.9,3010517.0,149.245,20827
13,2023-10-25,149.64,151.19,149.12,150.6,3732567.0,150.419,25004
14,2023-10-26,151.05,151.38,149.74,149.8,3589023.0,150.471,25308
15,2023-10-27,148.98,149.95,146.28,147.16,4380806.0,147.851,25181
16,2023-10-30,147.9,149.55,147.54,149.26,3027148.0,148.577,19369
17,2023-10-31,149.46,150.26,148.64,150.03,2791244.0,149.562,19491
18,2023-11-01,150.68,150.68,149.21,149.61,2910588.0,149.786,20088
19,2023-11-02,149.54,151.65,148.91,151.44,3212262.0,150.764,21752
20,2023-11-03,151.79,152.29,149.61,150.07,3570933.0,150.692,23944
21,2023-11-06,150.36,151.25,150.1,150.94,3599657.0,150.782,22898
22,2023-11-07,150.92,151.25,150.12,150.59,2954490.0,150.595,19735
23,2023-11-08,150.96,151.2,149.51,150.01,2523072.0,150.114,17030
24,2023-11-09,149.74,150.35,149.12,150.35,3626976.0,149.838,21265
25,2023-11-10,150.84,151.44,149.92,151.41,2479093.0,150.863,17369
26,2023-11-13,151.44,152.9,151.44,152.46,2928787.0,152.394,19996
27,2023-11-14,152.55,153.5,151.68,152.12,4242734.0,152.496,25191
28,2023-11-15,152.06,152.39,150.38,151.42,4164662.0,151.184,26502
29,2023-11-16,151.99,152.89,151.31,152.83,4511538.0,152.421,25724
30,2023-11-17,152.72,152.84,150.89,151.07,4955152.0,151.531,25654
31,2023-11-20,150.21,151.03,149.66,150.27,2942124.0,150.255,16532
32,2023-11-21,149.85,150.01,148.83,149.61,4054155.0,149.53,26918
33,2023-11-22,149.95,151.48,149.95,151.02,2106637.0,150.941,13849
34,2023-11-24,151.18,151.74,151.03,151.38,1153573.0,151.279,6661
35,2023-11-27,151.52,151.64,150.74,151.24,2404240.0,151.266,15677
36,2023-11-28,151.15,152.78,151.14,152.29,2559992.0,152.275,14619
37,2023-11-29,152.29,152.45,150.99,151.13,2590743.0,151.376,17213
38,2023-11-30,150.9,153.63,150.08,153.52,3214967.0,152.32,19731
39,2023-12-01,153.33,153.49,152.23,152.66,2976988.0,152.742,20106
40,2023-12-04,151.77,152.54,151.66,152.06,3185814.0,152.027,20944
41,2023-12-05,152.14,152.61,146.18,146.76,6351383.0,147.729,38499
42,2023-12-06,147.01,147.16,145.64,146.65,4168637.0,146.37,27940
43,2023-12-07,146.57,147.1,146.02,146.5,2879428.0,146.555,16424
44,2023-12-08,145.92,146.24,144.52,145.15,3525321.0,145.135,23060
45,2023-12-11,144.8,145.87,144.65,145.82,4780757.0,145.261,31374
46,2023-12-12,145.86,146.23,145.08,145.94,2820098.0,145.763,17813
