,date,open,high,low,close,volume,average,barCount
0,2023-10-06,95.49,97.52,95.12,96.77,76355.0,96.469,658
1,2023-10-09,96.0,97.33,95.48,96.82,123480.0,96.666,1105
2,2023-10-10,91.98,93.45,91.88,92.61,235065.0,92.735,1723
3,2023-10-11,95.0,95.44,94.57,95.32,123839.0,95.029,1035
4,2023-10-12,96.58,96.67,94.13,94.96,81882.0,95.232,640
5,2023-10-13,95.32,95.32,93.62,94.1,43587.0,94.226,389
6,2023-10-16,94.0,94.86,93.55,94.16,78139.0,94.339,619
7,2023-10-17,92.77,93.8,92.64,93.52,67450.0,93.318,577
8,2023-10-18,92.34,92.61,91.25,91.51,59837.0,91.812,485
9,2023-10-19,88.08,90.37,87.73,89.1,142229.0,89.044,988
10,2023-10-20,84.0,84.75,83.33,83.34,230602.0,84.003,1700
11,2023-10-23,83.34,85.39,83.2,84.57,111874.0,84.581,888
12,2023-10-24,87.91,89.07,87.9,88.56,213983.0,88.505,1707
13,2023-10-25,82.87,83.0,81.15,81.32,289548.0,81.744,2194
14,2023-10-26,77.96,78.86,77.68,78.1,196472.0,78.133,1604
15,2023-10-27,78.13,78.94,77.79,77.97,145123.0,78.163,1286
16,2023-10-30,80.32,80.84,80.06,80.37,117447.0,80.423,1016
17,2023-10-31,76.32,76.69,75.9,76.51,200001.0,76.304,1707
18,2023-11-01,74.7,76.86,74.68,76.47,236860.0,76.132,1956
19,2023-11-02,80.24,80.88,80.09,80.64,127006.0,80.616,1004
20,2023-11-03,83.08,83.89,83.02,83.44,124153.0,83.528,981
21,2023-11-06,96.73,98.0,95.36,97.0,425430.0,96.737,3127
22,2023-11-07,89.4,89.44,87.8,89.38,248183.0,88.765,1938
23,2023-11-08,87.82,88.44,87.17,87.63,58664.0,87.644,484
24,2023-11-09,88.34,88.57,87.0,87.09,48066.0,87.799,379
25,2023-11-10,85.51,86.47,85.5,86.47,84152.0,85.842,754
26,2023-11-13,86.22,86.3,85.51,85.89,89958.0,85.908,706
27,2023-11-14,89.81,92.16,89.81,92.03,123436.0,91.465,1057
28,2023-11-15,91.96,91.96,90.75,90.87,97083.0,91.267,819
29,2023-11-16,90.36,90.5,89.66,90.07,52031.0,90.099,418
30,2023-11-17,90.02,90.04,89.51,89.87,50019.0,89.776,415
31,2023-11-20,91.74,92.75,91.56,92.43,83903.0,92.373,699
32,2023-11-21,91.96,92.22,91.19,91.3,56388.0,91.715,506
33,2023-11-22,91.11,91.48,90.66,91.19,27165.0,90.997,227
34,2023-11-24,90.77,91.29,90.77,91.11,12596.0,90.996,110
35,2023-11-27,90.22,90.75,90.09,90.58,59524.0,90.494,489
36,2023-11-28,92.39,93.33,92.34,92.99,33521.0,92.856,272
37,2023-11-29,94.0,94.38,93.65,93.79,41077.0,94.013,341
38,2023-11-30,93.52,93.55,92.75,93.2,59493.0,93.157,516
39,2023-12-01,90.97,93.54,90.87,93.42,72864.0,92.7,587
40,2023-12-04,91.02,91.71,90.44,90.64,64154.0,90.827,502
41,2023-12-05,87.99,88.88,87.89,88.69,72333.0,88.449,651
42,2023-12-06,86.5,86.97,85.38,85.5,86572.0,86.167,756
43,2023-12-07,85.02,86.47,84.8,86.31,90167.0,85.906,731
44,2023-12-08,89.81,90.35,89.36,89.85,80863.0,89.919,575
45,2023-12-11,88.48,89.53,88.48,89.46,64495.0,89.263,402
46,2023-12-12,89.35,89.35,88.38,89.13,21484.0,88.862,170
47,2023-12-13,86.52,89.51,85.88,89.31,139662.0,87.215,1007
48,2023-12-14,89.84,91.29,89.79,90.61,157209.0,90.597,1201
49,2023-12-15,92.14,92.58,91.36,91.41,67592.0,92.096,439
50,2023-12-18,94.11,94.54,93.76,94.24,96975.0,94.225,590
51,2023-12-19,94.52,95.76,94.46,95.51,89009.0,95.21,561
52,2023-12-20,95.02,95.39,93.65,93.71,47560.0,94.618,365
53,2023-12-21,94.62,94.75,93.65,94.48,45784.0,94.299,342
54,2023-12-22,93.56,94.06,93.25,93.73,49306.0,93.738,388
55,2023-12-26,92.1,92.57,91.92,92.32,40855.0,92.243,334
56,2023-12-27,95.21,96.18,95.03,95.27,51408.0,95.5,345
57,2023-12-28,96.42,96.99,95.52,95.56,56797.0,96.304,357
58,2023-12-29,95.0,95.34,94.43,95.11,25829.0,94.946,207
59,2024-01-02,93.03,93.19,91.64,92.28,72107.0,92.369,516
60,2024-01-03,90.22,90.67,89.83,89.97,72243.0,90.352,594
61,2024-01-04,89.67,90.24,89.46,89.72,44708.0,89.809,311
62,2024-01-05,91.18,92.42,91.1,91.46,42197.0,91.827,356
63,2024-01-08,89.63,90.64,89.3,90.35,53551.0,90.098,404
64,2024-01-09,87.51,87.51,86.51,86.51,78272.0,87.005,560
65,2024-01-10,85.76,85.93,85.37,85.51,49309.0,85.642,361
66,2024-01-11,86.02,86.02,84.62,85.02,30802.0,85.154,262
67,2024-01-12,85.69,86.29,85.13,85.18,26798.0,85.658,210
68,2024-01-16,82.4,82.4,81.13,81.4,48945.0,81.499,342
69,2024-01-17,78.18,78.74,77.81,78.19,148841.0,78.205,1129
70,2024-01-18,79.29,79.49,78.93,79.13,36526.0,79.207,246
71,2024-01-19,77.8,78.88,77.55,78.85,51425.0,78.32,396
72,2024-01-22,75.65,77.01,75.46,75.8,143473.0,76.194,1130
73,2024-01-23,73.9,75.0,73.32,73.8,159325.0,73.978,1160
74,2024-01-24,74.86,76.05,74.75,75.29,109634.0,75.306,657
75,2024-01-25,75.4,75.4,74.28,74.85,47652.0,74.769,419
76,2024-01-26,77.78,77.8,76.7,77.28,67324.0,77.436,541
77,2024-01-29,78.65,79.22,78.37,79.11,50691.0,78.77,402
78,2024-01-30,79.99,80.3,79.66,79.9,38882.0,79.933,290
79,2024-01-31,79.69,80.01,77.69,78.0,76604.0,78.569,634
80,2024-02-01,81.15,82.04,80.88,81.5,202822.0,81.457,1454
81,2024-02-02,83.59,83.72,82.67,83.39,96930.0,83.159,780
82,2024-02-05,82.77,83.04,81.96,83.0,115208.0,82.668,900
83,2024-02-06,82.05,82.25,81.69,81.9,22729.0,81.976,161
84,2024-02-07,84.18,84.7,83.88,84.4,82065.0,84.336,626
85,2024-02-08,83.83,84.83,83.83,84.33,34830.0,84.339,240
86,2024-02-09,84.57,85.05,84.18,85.03,35058.0,84.59,251
87,2024-02-12,85.04,86.52,85.04,86.1,46142.0,86.076,384
88,2024-02-13,80.83,81.64,79.59,80.01,71120.0,80.596,581
89,2024-02-14,80.93,81.6,80.9,81.55,13840.0,81.266,117
