,date,open,high,low,close,volume,average,barCount
0,2023-10-06,108.01,109.75,106.95,108.91,1140591.0,108.67,7386
1,2023-10-09,107.92,110.06,107.72,109.46,977535.0,109.352,6385
2,2023-10-10,109.32,111.38,108.7,110.33,1337843.0,110.573,9533
3,2023-10-11,111.34,112.61,111.11,112.4,1730875.0,111.911,11944
4,2023-10-12,112.02,112.39,109.52,109.65,1195802.0,110.541,8147
5,2023-10-13,110.14,110.53,108.85,109.65,1267545.0,109.387,8125
6,2023-10-16,110.53,110.97,109.02,110.92,1431997.0,110.553,9574
7,2023-10-17,110.24,113.16,107.49,108.13,3049241.0,109.83,20450
8,2023-10-18,107.62,108.19,104.21,104.38,2016043.0,105.498,13633
9,2023-10-19,103.47,104.53,102.07,102.58,4084119.0,102.952,20471
10,2023-10-20,102.75,104.96,102.0,102.43,3281541.0,103.549,20679
11,2023-10-23,101.33,102.6,100.57,100.81,2525170.0,101.599,15674
12,2023-10-24,101.2,102.28,100.86,101.7,1769555.0,101.649,11586
13,2023-10-25,100.69,100.89,98.25,98.74,2407945.0,98.912,15751
14,2023-10-26,98.82,100.49,98.7,99.63,2020250.0,99.768,12665
15,2023-10-27,99.21,99.27,96.64,97.32,2394664.0,97.746,15558
16,2023-10-30,98.19,99.08,96.96,98.88,2079677.0,98.365,13593
17,2023-10-31,99.79,100.84,98.82,100.75,2013389.0,100.232,11489
18,2023-11-01,101.06,101.94,100.36,101.6,1174384.0,101.246,8100
19,2023-11-02,103.97,105.48,103.76,104.72,2345028.0,104.721,15345
20,2023-11-03,107.1,108.4,106.32,106.55,2646951.0,107.476,17326
21,2023-11-06,106.36,107.56,103.83,104.93,1464309.0,104.591,9282
22,2023-11-07,105.0,105.3,103.48,104.23,1586853.0,104.003,10536
23,2023-11-08,104.47,105.48,104.35,105.13,1091870.0,105.051,6503
24,2023-11-09,105.67,105.67,103.15,103.28,1900586.0,104.025,10534
25,2023-11-10,104.41,104.75,102.56,104.55,1270426.0,103.848,7130
26,2023-11-13,103.92,103.93,102.12,102.48,1357220.0,102.712,8728
27,2023-11-14,106.0,109.95,105.66,109.33,3081829.0,108.904,15087
28,2023-11-15,109.24,111.08,109.05,110.51,2296095.0,110.508,15058
29,2023-11-16,110.72,111.22,110.03,110.27,1914007.0,110.592,11759
30,2023-11-17,111.37,111.48,109.55,110.07,1483494.0,110.285,9034
31,2023-11-20,109.85,111.08,108.69,111.0,1587187.0,110.47,8926
32,2023-11-21,110.71,111.03,110.1,110.61,1464195.0,110.597,10227
33,2023-11-22,112.17,112.17,110.77,111.54,1230198.0,111.441,8148
34,2023-11-24,111.88,112.03,110.79,112.0,762633.0,111.573,4691
35,2023-11-27,111.79,112.5,111.26,111.87,1388147.0,112.025,8434
36,2023-11-28,110.94,112.14,110.28,112.11,1691101.0,111.382,10637
37,2023-11-29,113.26,113.93,112.99,113.04,1920332.0,113.525,13208
38,2023-11-30,113.07,115.23,112.3,114.93,2154201.0,114.153,13868
39,2023-12-01,115.05,118.47,114.77,118.26,2083883.0,117.206,13371
40,2023-12-04,117.51,120.38,117.39,120.33,2000472.0,119.443,11426
41,2023-12-05,119.0,119.33,117.73,118.65,1664497.0,118.478,9724
42,2023-12-06,119.59,119.99,118.52,119.05,1268781.0,119.254,8218
43,2023-12-07,119.19,119.72,118.46,118.95,1239964.0,119.247,8226
44,2023-12-08,118.57,119.92,118.04,119.85,1821247.0,119.188,9556
45,2023-12-11,119.44,122.53,119.4,122.0,3149120.0,121.706,19123
46,2023-12-12,121.63,123.05,121.32,122.07,2170321.0,122.218,14810
47,2023-12-13,122.36,129.43,122.13,129.24,3207004.0,126.159,20338
48,2023-12-14,132.46,137.52,131.6,137.12,5937309.0,135.36,32501
49,2023-12-15,136.24,136.76,133.39,134.26,4076362.0,135.159,19146
50,2023-12-18,134.58,135.01,132.39,132.68,2136334.0,133.289,13330
51,2023-12-19,133.9,134.61,133.19,133.75,1454589.0,134.04,7984
52,2023-12-20,133.96,134.48,130.39,130.47,1477948.0,132.611,9627
53,2023-12-21,131.89,132.37,129.22,130.96,1830297.0,130.391,11770
54,2023-12-22,131.07,133.22,130.81,132.4,1376752.0,132.548,7234
55,2023-12-26,132.46,133.88,132.46,133.46,518340.0,133.228,3229
56,2023-12-27,133.86,134.19,132.77,134.18,1095372.0,133.631,7678
57,2023-12-28,134.1,135.22,133.48,135.19,1017419.0,134.255,7003
58,2023-12-29,134.08,135.04,133.07,133.3,1023776.0,133.981,6680
59,2024-01-02,132.84,134.71,132.1,134.62,1607739.0,133.618,10040
60,2024-01-03,133.0,133.02,130.12,130.52,1394656.0,131.337,9661
61,2024-01-04,130.02,131.1,129.02,130.29,1652529.0,130.109,11329
62,2024-01-05,129.21,132.0,128.29,130.56,1146541.0,130.649,7426
63,2024-01-08,130.83,133.67,130.31,133.17,1774864.0,132.934,9618
64,2024-01-09,131.71,134.33,130.65,133.07,1653390.0,133.201,9461
65,2024-01-10,134.37,134.99,133.1,133.55,1250113.0,133.866,7363
66,2024-01-11,132.68,132.99,130.59,131.32,1389312.0,131.472,9295
67,2024-01-12,132.65,132.97,130.59,131.55,1176177.0,131.292,8360
68,2024-01-16,130.27,131.53,129.17,129.97,1851890.0,130.098,13117
69,2024-01-17,127.94,129.54,125.37,126.86,2183857.0,126.947,14146
70,2024-01-18,126.79,127.25,124.66,126.26,1716335.0,125.8,11620
71,2024-01-19,126.92,128.87,126.06,128.44,1989872.0,127.503,8413
72,2024-01-22,128.76,130.4,128.68,128.74,1029538.0,129.202,6855
73,2024-01-23,129.79,129.99,127.92,128.01,1615081.0,128.76,9272
74,2024-01-24,129.83,129.83,125.31,125.44,1514032.0,126.325,10063
75,2024-01-25,126.88,127.42,125.5,126.2,1274578.0,126.284,8764
76,2024-01-26,126.89,127.34,125.76,126.87,1051688.0,126.724,7162
77,2024-01-29,126.92,128.35,126.27,127.89,1274549.0,127.259,8709
78,2024-01-30,127.03,127.71,125.57,126.53,1357821.0,126.629,8532
79,2024-01-31,127.33,129.09,125.93,126.69,2038210.0,127.468,15251
80,2024-02-01,126.61,130.46,126.2,130.44,1956704.0,128.63,12916
81,2024-02-02,128.21,130.27,126.5,129.25,2095011.0,128.642,15132
82,2024-02-05,127.47,128.08,126.08,126.91,1697901.0,127.221,12459
83,2024-02-06,127.53,130.75,126.92,130.5,1873050.0,129.746,12715
84,2024-02-07,130.31,131.05,128.75,129.09,1530511.0,130.158,11682
85,2024-02-08,129.03,132.37,128.78,131.66,1407313.0,131.364,10647
86,2024-02-09,131.38,132.77,130.44,132.48,1420312.0,131.586,10353
87,2024-02-12,133.0,134.23,131.8,132.05,1244852.0,132.404,8786
88,2024-02-13,128.75,130.99,127.23,130.88,1790852.0,129.154,13582
89,2024-02-14,130.94,131.82,129.23,130.02,480821.0,130.233,3192
