,date,open,high,low,close,volume,average,barCount
0,2023-09-25,63.05,64.08,63.0,63.74,12720.0,63.676,96
1,2023-09-26,63.49,63.74,61.97,62.29,43275.0,62.883,297
2,2023-09-27,62.88,63.76,62.74,63.34,18617.0,63.347,154
3,2023-09-28,63.56,65.48,63.56,64.81,37467.0,64.918,286
4,2023-09-29,65.27,65.27,63.38,63.52,31224.0,63.876,256
5,2023-10-02,63.28,65.23,63.28,64.64,177966.0,64.56,485
6,2023-10-03,64.39,64.97,63.25,63.38,33708.0,63.689,259
7,2023-10-04,63.47,64.19,62.95,63.86,22667.0,63.685,178
8,2023-10-05,63.64,64.17,62.81,63.8,39226.0,63.472,282
9,2023-10-06,63.8,64.9,63.7,64.25,63733.0,64.443,403
10,2023-10-09,64.05,66.3,64.05,66.0,45897.0,65.75,335
11,2023-10-10,66.25,67.21,65.99,66.08,36513.0,66.489,264
12,2023-10-11,66.5,68.61,66.25,68.3,58191.0,67.719,431
13,2023-10-12,68.28,68.34,66.14,67.13,48857.0,67.328,420
14,2023-10-13,66.86,67.67,66.24,67.21,83801.0,66.951,698
15,2023-10-16,67.71,68.87,67.4,67.68,36463.0,68.023,272
16,2023-10-17,67.64,68.84,67.55,67.85,46576.0,68.061,316
17,2023-10-18,67.73,67.73,65.95,66.19,54021.0,66.799,397
18,2023-10-19,66.28,66.28,64.41,64.42,27767.0,65.16,217
19,2023-10-20,64.65,64.72,63.47,63.52,43990.0,64.151,254
20,2023-10-23,63.5,63.56,62.13,62.13,33837.0,62.877,245
21,2023-10-24,62.64,62.64,60.83,62.24,59506.0,61.672,490
22,2023-10-25,62.33,62.86,61.62,61.65,27353.0,62.245,222
23,2023-10-26,61.84,62.35,61.36,61.73,29576.0,61.865,164
24,2023-10-27,61.55,61.55,60.52,60.91,16309.0,60.977,116
25,2023-10-30,61.84,62.1,60.8,61.81,17099.0,61.613,137
26,2023-10-31,61.73,63.0,61.04,62.5,22251.0,62.386,178
27,2023-11-01,62.34,63.55,61.59,63.5,18239.0,62.717,138
28,2023-11-02,63.76,64.57,62.91,63.71,27381.0,63.703,206
29,2023-11-03,64.7,65.43,64.68,65.01,27231.0,65.03,234
30,2023-11-06,64.76,64.81,63.75,64.39,32434.0,64.417,256
31,2023-11-07,64.29,64.74,63.45,63.99,38741.0,64.255,341
32,2023-11-08,60.54,60.54,53.53,58.43,191354.0,56.955,1333
33,2023-11-09,59.0,59.73,58.28,59.05,73797.0,58.989,633
34,2023-11-10,59.22,60.18,58.01,59.7,27816.0,59.291,224
35,2023-11-13,59.47,61.05,59.47,60.73,75101.0,60.422,561
36,2023-11-14,62.05,63.4,62.03,63.08,60688.0,62.847,485
37,2023-11-15,63.42,64.37,62.48,62.73,63918.0,63.432,489
38,2023-11-16,62.65,62.65,60.22,60.94,37491.0,60.975,288
39,2023-11-17,61.46,61.8,61.08,61.17,31503.0,61.369,149
40,2023-11-20,61.49,62.4,61.11,62.38,33244.0,61.899,282
41,2023-11-21,62.22,63.15,62.19,62.44,39421.0,62.579,331
42,2023-11-22,62.94,63.67,62.08,62.91,45377.0,62.803,231
43,2023-11-24,62.9,63.3,62.47,62.74,20610.0,62.859,83
44,2023-11-27,62.22,63.74,62.22,63.54,42593.0,62.954,230
45,2023-11-28,63.7,63.88,62.74,63.02,35130.0,63.207,314
46,2023-11-29,63.53,64.06,62.49,62.76,24612.0,62.933,222
47,2023-11-30,63.32,63.69,62.28,63.48,60072.0,63.148,450
48,2023-12-01,63.66,66.21,61.48,65.67,102701.0,65.278,775
49,2023-12-04,65.33,66.66,65.07,66.21,62586.0,65.936,422
50,2023-12-05,66.1,66.64,65.64,66.55,38585.0,66.327,287
51,2023-12-06,67.21,67.67,66.49,67.2,55171.0,67.192,424
52,2023-12-07,67.02,67.8,66.91,67.77,81892.0,67.3,331
53,2023-12-08,67.77,69.81,67.77,69.26,43509.0,69.153,320
54,2023-12-11,69.55,70.48,69.18,70.16,33376.0,69.779,237
55,2023-12-12,70.49,72.18,70.01,71.91,102736.0,71.15,601
56,2023-12-13,71.91,74.12,71.15,73.73,55320.0,72.476,415
57,2023-12-14,74.72,75.37,73.07,75.24,66985.0,74.564,471
58,2023-12-15,75.57,76.57,74.51,76.36,132157.0,75.6,549
59,2023-12-18,76.86,76.95,75.68,76.62,84058.0,76.475,607
60,2023-12-19,77.21,79.06,77.15,78.07,132773.0,78.422,643
61,2023-12-20,78.23,80.19,77.15,77.15,176434.0,79.001,606
62,2023-12-21,77.91,80.02,77.64,79.93,141057.0,78.618,762
63,2023-12-22,80.44,81.3,79.24,79.31,76865.0,79.982,523
64,2023-12-26,79.88,80.74,79.66,80.59,71483.0,80.091,493
65,2023-12-27,80.86,81.38,80.36,80.52,29979.0,80.776,238
66,2023-12-28,80.63,81.14,79.97,81.08,73584.0,80.524,547
67,2023-12-29,80.98,81.28,79.41,79.84,101175.0,79.87,707
68,2024-01-02,79.65,81.45,75.98,80.35,210081.0,79.962,1655
69,2024-01-03,80.0,80.29,78.81,79.15,121755.0,79.311,841
70,2024-01-04,79.42,80.1,78.52,79.0,103965.0,79.055,422
71,2024-01-05,78.36,79.3,75.25,75.4,94426.0,76.97,747
72,2024-01-08,74.11,76.19,73.87,76.14,70770.0,75.417,447
73,2024-01-09,75.26,76.1,75.07,75.45,74173.0,75.455,485
74,2024-01-10,75.21,76.57,74.94,76.47,142652.0,75.559,452
75,2024-01-11,76.56,76.95,75.25,76.87,26767.0,76.324,226
76,2024-01-12,77.36,78.03,76.38,76.82,33343.0,76.996,215
77,2024-01-16,76.24,76.8,75.22,75.4,54728.0,75.827,371
78,2024-01-17,75.05,76.07,74.77,74.96,201174.0,75.361,729
79,2024-01-18,75.64,76.28,74.76,75.65,90148.0,75.405,563
80,2024-01-19,76.25,77.03,75.29,76.86,96731.0,76.239,685
81,2024-01-22,77.9,78.8,77.35,77.99,100089.0,77.983,756
82,2024-01-23,78.48,79.84,76.03,76.21,41378.0,76.735,276
83,2024-01-24,76.64,77.15,75.37,76.37,59108.0,76.397,381
84,2024-01-25,77.28,77.43,75.94,76.55,35840.0,76.61,275
85,2024-01-26,77.03,77.82,75.48,76.01,23487.0,76.158,172
86,2024-01-29,76.29,77.94,75.3,76.54,34247.0,75.952,266
87,2024-01-30,76.72,77.75,76.23,77.63,36336.0,77.101,277
88,2024-01-31,77.64,78.51,75.39,75.54,37722.0,76.813,293
89,2024-02-01,76.31,77.59,75.62,77.41,37594.0,76.795,286
