,date,open,high,low,close,volume,average,barCount
0,2023-10-06,92.45,94.0,92.45,93.29,22451.0,93.418,200
1,2023-10-09,92.77,94.86,91.9,94.74,35890.0,94.111,297
2,2023-10-10,95.1,95.77,93.8,95.12,46400.0,95.255,389
3,2023-10-11,95.13,96.14,94.51,95.5,28376.0,95.373,256
4,2023-10-12,95.63,95.63,93.63,94.97,54461.0,94.79,350
5,2023-10-13,94.86,94.86,92.79,93.74,35745.0,93.76,290
6,2023-10-16,94.37,95.38,93.76,94.5,29332.0,94.808,214
7,2023-10-17,94.12,95.31,93.97,94.97,31159.0,94.883,276
8,2023-10-18,94.61,94.63,92.89,93.82,25326.0,94.046,218
9,2023-10-19,93.82,93.98,91.14,91.27,26027.0,92.137,235
10,2023-10-20,91.65,91.65,89.47,90.3,59790.0,90.698,396
11,2023-10-23,90.11,90.43,89.03,89.27,62109.0,89.826,549
12,2023-10-24,89.96,90.26,88.6,88.87,35940.0,89.265,298
13,2023-10-25,88.77,89.6,87.2,87.46,29532.0,87.719,249
14,2023-10-26,92.22,95.36,88.57,94.09,115062.0,93.541,841
15,2023-10-27,94.58,96.29,93.21,94.68,114613.0,94.351,631
16,2023-10-30,95.43,98.09,95.43,97.19,67956.0,97.33,522
17,2023-10-31,97.12,98.89,96.08,98.32,48751.0,98.102,401
18,2023-11-01,97.88,98.98,96.96,98.64,49696.0,97.946,386
19,2023-11-02,99.77,99.77,96.73,97.5,65823.0,97.336,472
20,2023-11-03,98.7,100.33,98.45,99.06,45464.0,99.064,355
21,2023-11-06,98.94,99.55,97.99,99.41,38280.0,98.563,287
22,2023-11-07,98.73,98.86,97.81,98.19,41062.0,98.209,314
23,2023-11-08,98.25,99.14,96.67,97.57,34924.0,97.148,276
24,2023-11-09,97.87,98.5,97.27,98.26,51397.0,98.136,427
25,2023-11-10,98.8,101.43,98.16,101.18,39484.0,100.665,350
26,2023-11-13,101.35,102.1,100.14,101.61,38307.0,101.543,321
27,2023-11-14,104.06,106.41,104.04,106.33,80738.0,105.595,583
28,2023-11-15,106.33,108.86,102.93,106.77,69998.0,107.241,509
29,2023-11-16,106.17,107.12,104.72,106.03,49914.0,105.898,388
30,2023-11-17,106.93,108.19,105.67,106.37,56702.0,106.673,303
31,2023-11-20,106.94,107.82,106.31,106.88,37807.0,106.999,354
32,2023-11-21,106.25,108.87,105.74,106.0,32389.0,106.265,227
33,2023-11-22,106.88,108.05,104.09,104.36,41913.0,104.894,357
34,2023-11-24,104.49,104.74,104.02,104.67,20053.0,104.496,159
35,2023-11-27,103.87,104.98,103.69,104.72,23336.0,104.441,201
36,2023-11-28,104.48,104.48,102.61,102.81,15958.0,103.091,137
37,2023-11-29,102.89,105.46,101.0,101.83,47202.0,101.873,383
38,2023-11-30,101.64,102.55,101.09,101.89,25794.0,101.909,177
39,2023-12-01,101.47,103.61,101.35,103.16,45757.0,102.975,401
40,2023-12-04,103.37,104.01,102.4,103.82,45516.0,103.127,365
41,2023-12-05,103.82,104.03,101.14,102.1,32588.0,102.055,286
42,2023-12-06,103.15,103.19,101.07,101.19,33131.0,101.843,275
43,2023-12-07,101.7,101.78,100.57,100.91,53605.0,101.05,380
44,2023-12-08,101.05,102.27,96.46,101.73,48283.0,101.164,427
45,2023-12-11,102.17,103.98,101.44,102.41,30638.0,102.487,264
46,2023-12-12,102.76,102.84,101.01,102.06,36049.0,101.984,311
47,2023-12-13,102.08,104.4,101.59,104.07,39190.0,103.404,338
48,2023-12-14,105.31,109.01,105.31,109.01,56959.0,107.888,408
49,2023-12-15,109.53,111.97,108.77,109.35,88580.0,109.655,299
50,2023-12-18,110.22,110.91,107.79,109.41,32412.0,109.588,269
51,2023-12-19,109.78,112.2,108.92,111.1,23767.0,111.317,203
52,2023-12-20,111.1,114.06,107.5,109.36,85695.0,111.074,508
53,2023-12-21,110.54,110.54,106.72,108.28,35997.0,107.742,321
54,2023-12-22,109.29,110.52,108.46,108.97,20294.0,109.439,163
55,2023-12-26,109.5,109.99,108.94,109.47,13069.0,109.645,115
56,2023-12-27,109.92,110.0,108.01,108.2,28389.0,108.879,219
57,2023-12-28,107.45,109.55,107.45,109.55,27746.0,108.888,222
58,2023-12-29,109.54,109.54,107.45,108.13,13078.0,108.082,102
59,2024-01-02,106.36,108.36,100.37,106.35,28789.0,106.355,214
60,2024-01-03,106.01,107.12,104.62,106.04,40497.0,106.259,358
61,2024-01-04,106.41,106.41,104.86,104.95,22872.0,105.589,179
62,2024-01-05,104.06,105.7,103.86,104.65,26205.0,104.873,200
63,2024-01-08,104.81,105.95,104.81,105.79,31311.0,105.625,189
64,2024-01-09,103.15,104.19,101.94,103.92,37035.0,103.53,302
65,2024-01-10,103.92,104.13,102.44,104.03,43026.0,103.495,348
66,2024-01-11,103.79,103.85,102.13,103.84,15325.0,103.345,132
67,2024-01-12,105.24,105.24,102.72,102.93,20558.0,103.312,179
68,2024-01-16,101.94,103.61,101.33,101.52,32608.0,102.239,282
69,2024-01-17,96.51,99.08,94.57,96.18,79194.0,95.848,632
70,2024-01-18,96.58,97.62,95.26,96.89,35033.0,96.795,294
