,date,open,high,low,close,volume,average,barCount
0,2023-10-06,71.36,72.72,69.56,72.36,497680.0,71.851,3623
1,2023-10-09,71.95,73.1,71.75,73.04,312456.0,72.624,2320
2,2023-10-10,73.2,74.32,73.01,74.17,466943.0,73.912,2756
3,2023-10-11,74.52,75.74,74.31,75.44,399654.0,75.045,2953
4,2023-10-12,75.2,75.93,74.06,74.8,507739.0,74.781,3045
5,2023-10-13,75.43,75.98,75.17,75.69,385199.0,75.563,2985
6,2023-10-16,75.92,76.71,75.65,76.53,259590.0,76.374,1936
7,2023-10-17,76.05,76.86,75.76,76.18,351811.0,76.247,2285
8,2023-10-18,76.15,76.29,75.27,75.72,510730.0,75.77,3811
9,2023-10-19,75.78,76.36,75.25,75.3,247442.0,75.658,1756
10,2023-10-20,75.48,75.8,74.22,74.23,299759.0,75.029,2148
11,2023-10-23,73.17,74.21,72.88,73.07,475941.0,73.409,3591
12,2023-10-24,73.84,74.6,73.65,74.35,526102.0,74.23,3451
13,2023-10-25,74.06,74.91,74.06,74.37,468536.0,74.366,3635
14,2023-10-26,74.6,75.87,74.31,75.09,490671.0,75.112,3880
15,2023-10-27,75.01,75.01,73.38,73.77,293234.0,73.969,2441
16,2023-10-30,74.42,74.94,73.58,74.35,322209.0,74.073,2479
17,2023-10-31,73.81,74.52,73.55,74.18,367625.0,74.105,2899
18,2023-11-01,74.3,75.91,73.79,75.57,477152.0,75.344,3823
19,2023-11-02,74.3,76.27,74.16,75.17,701522.0,75.458,5071
20,2023-11-03,75.9,76.1,73.82,73.92,683954.0,74.379,4651
21,2023-11-06,73.92,73.92,72.76,72.84,654793.0,73.233,4579
22,2023-11-07,72.96,73.01,72.2,72.21,339438.0,72.57,2662
23,2023-11-08,71.78,71.78,70.1,70.95,390913.0,70.719,3028
24,2023-11-09,71.14,71.84,70.6,71.02,448740.0,71.041,3257
25,2023-11-10,71.28,71.28,70.04,70.46,479801.0,70.459,3577
26,2023-11-13,70.54,70.7,68.55,68.94,589289.0,69.128,4561
27,2023-11-14,70.31,72.44,70.16,72.42,741919.0,71.783,5154
28,2023-11-15,72.26,73.21,72.0,72.37,899773.0,72.385,7119
29,2023-11-16,72.86,73.14,72.25,72.39,826254.0,72.715,4588
