,date,open,high,low,close,volume,average,barCount
0,2023-10-06,74.42,74.72,72.71,74.2,225263.0,74.193,1453
1,2023-10-09,73.9,75.14,73.71,74.9,260149.0,74.635,1994
2,2023-10-10,75.05,75.87,74.66,74.84,159820.0,75.222,1133
3,2023-10-11,74.99,75.72,74.3,74.61,101419.0,74.59,798
4,2023-10-12,74.85,75.36,73.5,73.75,150650.0,74.11,1099
5,2023-10-13,74.0,74.12,72.52,72.71,97261.0,73.051,845
6,2023-10-16,73.16,74.26,72.39,72.53,131730.0,73.186,1081
7,2023-10-17,72.32,73.74,72.15,73.51,148224.0,73.466,1154
8,2023-10-18,73.44,73.68,72.86,73.02,144613.0,73.253,1054
9,2023-10-19,73.16,73.77,72.63,73.02,119406.0,73.186,956
10,2023-10-20,73.11,73.11,71.67,71.79,89787.0,72.468,643
11,2023-10-23,71.97,72.27,71.31,71.51,54053.0,71.907,472
12,2023-10-24,71.96,72.83,71.76,72.21,167460.0,72.229,1326
13,2023-10-25,71.78,72.74,71.62,72.51,180688.0,72.45,1407
14,2023-10-26,72.56,73.3,72.38,72.68,134774.0,72.794,974
15,2023-10-27,72.74,73.11,71.54,72.17,64985.0,72.27,557
16,2023-10-30,72.76,72.83,71.52,71.67,80174.0,71.906,670
17,2023-10-31,68.04,68.48,61.94,62.49,674956.0,64.053,4788
18,2023-11-01,62.8,64.47,61.82,64.05,191831.0,63.59,1480
19,2023-11-02,64.41,66.5,64.41,66.5,137820.0,65.795,1076
20,2023-11-03,67.38,67.38,66.03,66.82,65635.0,66.99,556
21,2023-11-06,66.64,67.72,66.57,67.71,69235.0,67.242,611
22,2023-11-07,67.8,67.8,66.97,67.41,50913.0,67.276,414
23,2023-11-08,67.66,67.66,66.79,67.43,58526.0,67.152,439
24,2023-11-09,67.94,67.94,65.48,65.62,75092.0,66.489,528
25,2023-11-10,65.73,66.1,65.05,65.55,133732.0,65.47,770
26,2023-11-13,65.18,66.27,64.94,65.76,25157.0,65.742,221
27,2023-11-14,67.01,68.77,67.01,68.7,42864.0,68.16,347
28,2023-11-15,68.6,70.01,68.28,68.75,93063.0,69.159,586
29,2023-11-16,68.27,68.71,67.14,67.38,59056.0,67.532,421
30,2023-11-17,67.86,67.9,67.14,67.26,51688.0,67.541,324
31,2023-11-20,67.09,67.73,66.98,67.63,56296.0,67.502,381
32,2023-11-21,67.5,67.5,66.79,67.1,40469.0,67.147,308
33,2023-11-22,67.56,68.0,67.19,67.57,23622.0,67.531,192
34,2023-11-24,67.49,68.01,67.37,67.83,7204.0,67.7,67
35,2023-11-27,67.93,68.19,67.58,67.87,19428.0,67.82,163
36,2023-11-28,67.68,68.49,67.52,68.28,28865.0,68.082,240
37,2023-11-29,68.53,69.25,67.59,67.61,36434.0,68.018,307
38,2023-11-30,68.0,68.8,66.94,67.39,62157.0,67.445,467
