,date,open,high,low,close,volume,average,barCount
0,2023-10-06,167.48,173.82,165.76,172.71,944070.0,171.564,6045
1,2023-10-09,171.57,174.09,170.22,173.89,572725.0,173.015,4241
2,2023-10-10,174.2,178.86,174.01,177.63,724619.0,177.467,5502
3,2023-10-11,178.09,180.08,177.58,179.32,428237.0,179.036,3391
4,2023-10-12,180.55,181.45,176.77,177.91,568315.0,178.86,4424
5,2023-10-13,178.88,179.52,172.06,173.53,495628.0,174.313,3821
6,2023-10-16,175.7,176.87,173.6,176.38,323633.0,175.997,2444
7,2023-10-17,175.21,179.93,174.74,179.4,382937.0,178.989,2961
8,2023-10-18,177.47,177.49,171.74,172.04,415141.0,173.134,3151
9,2023-10-19,171.47,173.17,168.61,168.74,879264.0,170.333,6392
10,2023-10-20,169.33,169.97,163.89,164.7,1083272.0,165.521,8070
11,2023-10-23,164.21,166.8,162.97,165.47,711906.0,165.197,5122
12,2023-10-24,169.75,174.14,167.24,167.25,697141.0,169.348,5435
13,2023-10-25,167.91,170.65,167.62,168.23,560091.0,168.957,4208
14,2023-10-26,168.9,169.7,166.38,167.25,447480.0,167.847,3594
15,2023-10-27,167.37,167.43,163.83,164.87,448443.0,165.015,3544
16,2023-10-30,166.32,167.59,162.56,164.76,623576.0,163.913,4754
17,2023-10-31,164.83,167.68,164.05,167.12,830802.0,166.456,5903
18,2023-11-01,164.06,164.85,153.74,159.62,2552582.0,157.173,18316
19,2023-11-02,170.0,175.25,166.24,175.08,1653793.0,171.878,12162
20,2023-11-03,176.54,178.0,167.35,169.18,988768.0,170.372,6966
21,2023-11-06,169.05,169.27,165.37,168.46,585452.0,168.112,4183
22,2023-11-07,167.02,167.51,163.93,165.08,607097.0,165.097,4570
23,2023-11-08,170.18,171.02,167.11,169.76,1160928.0,169.23,7624
24,2023-11-09,171.72,174.99,168.09,169.57,1053686.0,170.561,7038
25,2023-11-10,171.31,174.47,169.71,174.07,810863.0,172.837,5934
26,2023-11-13,174.03,177.54,173.61,176.24,714406.0,176.125,5490
27,2023-11-14,180.0,184.78,179.57,182.85,844446.0,182.794,5939
28,2023-11-15,184.14,187.3,183.6,183.72,791030.0,185.201,6210
29,2023-11-16,183.19,185.48,182.2,183.3,442031.0,183.569,3239
30,2023-11-17,184.28,185.2,182.2,183.11,265974.0,183.206,1873
31,2023-11-20,183.21,185.05,181.77,184.13,358469.0,184.241,2500
32,2023-11-21,183.82,184.95,183.07,183.36,374481.0,183.905,2732
33,2023-11-22,183.51,184.49,182.21,183.81,423925.0,183.341,3421
34,2023-11-24,183.65,184.29,182.0,182.58,149555.0,182.792,1223
35,2023-11-27,182.13,185.88,181.45,185.71,597661.0,184.65,4200
36,2023-11-28,185.43,186.43,180.97,181.34,611516.0,183.358,4151
37,2023-11-29,183.02,186.43,182.63,185.61,875865.0,185.109,6278
38,2023-11-30,187.09,188.78,186.17,188.31,911990.0,187.626,6669
39,2023-12-01,187.81,192.88,186.58,190.55,530585.0,190.762,4043
40,2023-12-04,189.17,190.63,188.33,189.64,326067.0,189.715,2431
41,2023-12-05,189.15,190.92,187.15,189.43,467224.0,189.226,3306
42,2023-12-06,191.14,193.16,190.18,191.85,579696.0,191.617,4114
43,2023-12-07,191.81,194.75,191.81,194.38,698462.0,194.014,5352
44,2023-12-08,195.0,199.59,194.72,199.25,848510.0,198.516,5868
45,2023-12-11,199.25,201.77,199.13,201.76,496113.0,200.937,3665
46,2023-12-12,201.79,206.58,201.5,205.27,576222.0,204.791,3992
47,2023-12-13,205.32,211.56,205.32,210.28,852112.0,208.656,5782
48,2023-12-14,212.37,217.25,212.29,215.8,855764.0,215.278,5299
49,2023-12-15,215.47,216.96,212.99,215.02,803503.0,215.141,4190
50,2023-12-18,215.16,216.1,213.96,215.0,473195.0,215.03,3523
51,2023-12-19,216.02,218.5,215.0,217.71,279416.0,217.62,2082
52,2023-12-20,216.61,219.17,212.74,212.9,840985.0,214.987,5134
53,2023-12-21,214.12,215.73,211.13,212.45,455186.0,212.66,3377
54,2023-12-22,213.62,214.16,210.93,214.04,433648.0,212.861,3182
55,2023-12-26,214.3,215.48,214.08,214.66,203438.0,214.857,1447
56,2023-12-27,215.14,216.03,214.51,215.95,227567.0,215.273,1605
57,2023-12-28,217.0,217.25,215.35,216.47,241730.0,216.559,1775
58,2023-12-29,215.69,216.88,214.54,215.8,173032.0,215.624,1325
