,date,open,high,low,close,volume,average,barCount
0,2023-10-06,29.4,30.61,29.34,30.46,8251258.0,30.191,39564
1,2023-10-09,29.79,30.48,29.63,30.21,5268422.0,30.189,23684
2,2023-10-10,30.33,31.18,30.33,30.91,4800970.0,30.928,24217
3,2023-10-11,31.07,31.92,31.05,31.76,5789713.0,31.642,28506
4,2023-10-12,31.87,31.96,31.35,31.63,5142429.0,31.701,25026
5,2023-10-13,31.46,31.92,30.41,30.51,6183088.0,30.803,33537
6,2023-10-16,30.55,30.86,29.85,30.41,8609349.0,30.394,40943
7,2023-10-17,30.07,31.21,30.0,31.0,6762381.0,30.738,36018
8,2023-10-18,30.64,30.81,30.0,30.19,4889872.0,30.34,24255
9,2023-10-19,30.41,32.07,30.02,31.67,9674264.0,31.306,43073
10,2023-10-20,31.13,31.93,30.82,31.75,6901573.0,31.484,37474
11,2023-10-23,31.25,31.63,30.5,30.57,5994796.0,31.11,29048
12,2023-10-24,30.98,33.19,30.98,32.72,10635535.0,32.478,40833
13,2023-10-25,32.24,32.55,30.58,31.1,8024564.0,31.437,38902
14,2023-10-26,30.98,31.4,30.17,30.55,5742310.0,30.644,30401
15,2023-10-27,31.75,32.07,30.87,30.99,5013699.0,31.305,23552
16,2023-10-30,31.14,31.8,30.97,31.74,5083726.0,31.504,25101
17,2023-10-31,31.65,32.29,31.23,31.81,4275807.0,31.91,20980
18,2023-11-01,31.83,32.12,31.32,31.84,3681509.0,31.759,18617
19,2023-11-02,33.0,33.82,32.81,33.56,6276447.0,33.485,32703
20,2023-11-03,33.4,35.13,33.4,34.9,8266205.0,34.714,41003
21,2023-11-06,35.61,35.7,33.37,33.85,8056987.0,34.037,37037
22,2023-11-07,34.05,35.3,33.45,35.07,11690023.0,34.825,60311
23,2023-11-08,40.19,42.2,39.1,39.22,49286426.0,40.547,174438
24,2023-11-09,38.86,39.08,37.29,38.05,12460574.0,37.976,53737
25,2023-11-10,38.05,39.48,37.91,38.42,11060301.0,38.63,48145
26,2023-11-13,38.05,38.84,37.11,38.75,7963672.0,38.277,36323
27,2023-11-14,40.14,40.35,39.21,39.24,8183111.0,39.662,40096
28,2023-11-15,39.11,41.89,38.87,39.76,16736965.0,40.123,75194
29,2023-11-16,39.41,39.49,37.27,38.36,10982610.0,37.966,54037
30,2023-11-17,38.72,38.72,37.5,37.91,8982997.0,37.935,43815
31,2023-11-20,37.85,38.27,37.47,37.86,6894163.0,37.893,33142
32,2023-11-21,37.39,37.43,36.33,36.72,9701589.0,36.708,48289
33,2023-11-22,37.11,37.95,36.64,37.82,5656662.0,37.401,27683
34,2023-11-24,37.48,38.32,37.48,38.14,3492045.0,38.039,16601
35,2023-11-27,37.84,39.08,37.84,38.6,4562641.0,38.655,21099
36,2023-11-28,38.5,39.26,38.37,39.02,3948036.0,38.949,18273
37,2023-11-29,39.32,39.69,38.51,38.68,4097272.0,38.917,20912
38,2023-11-30,38.68,39.55,38.68,39.31,5477504.0,39.189,25526
39,2023-12-01,39.13,40.48,38.99,40.45,6359841.0,40.05,30522
40,2023-12-04,40.09,41.6,39.81,41.23,6221119.0,40.853,29948
41,2023-12-05,40.91,41.33,40.34,40.67,4658189.0,40.841,22671
42,2023-12-06,40.79,41.46,39.78,39.96,6302476.0,40.415,31879
43,2023-12-07,39.86,40.49,39.32,39.86,5236783.0,39.782,25175
44,2023-12-08,41.95,42.28,40.02,40.83,12358706.0,41.056,53244
45,2023-12-11,40.78,41.03,40.12,40.49,4205669.0,40.507,21967
46,2023-12-12,40.59,42.18,40.31,42.04,6023621.0,41.591,28963
47,2023-12-13,43.0,43.99,42.24,43.31,10721456.0,43.151,45309
48,2023-12-14,43.8,44.62,43.61,44.52,8989055.0,44.201,47432
49,2023-12-15,44.87,45.05,43.33,43.92,7329520.0,43.966,36796
50,2023-12-18,43.84,45.08,43.38,44.49,5615540.0,44.499,27074
51,2023-12-19,44.58,44.9,44.26,44.73,4649041.0,44.57,23211
52,2023-12-20,44.72,45.18,43.69,43.83,5832093.0,44.554,24907
53,2023-12-21,44.18,44.52,43.26,44.48,4255299.0,43.928,21375
54,2023-12-22,43.47,46.12,43.47,45.97,7964763.0,45.454,35985
55,2023-12-26,46.02,46.88,45.88,46.38,6032956.0,46.512,27131
56,2023-12-27,46.43,46.92,46.15,46.85,4345404.0,46.623,22273
57,2023-12-28,46.72,47.2,46.3,46.43,4089833.0,46.719,19809
58,2023-12-29,46.43,47.03,45.69,45.72,5554934.0,46.152,28515
59,2024-01-02,44.65,44.96,42.8,42.99,5291448.0,43.641,26628
