,date,open,high,low,close,volume,average,barCount
0,2023-09-25,25.95,26.06,25.82,25.97,122081.0,25.964,958
1,2023-09-26,25.95,26.26,25.91,25.97,125045.0,26.046,953
2,2023-09-27,25.98,26.09,25.74,25.94,90880.0,25.946,699
3,2023-09-28,25.96,26.08,25.76,25.86,110212.0,25.926,795
4,2023-09-29,25.93,25.99,25.59,25.63,100894.0,25.707,801
5,2023-10-02,25.58,25.66,25.27,25.28,129786.0,25.409,1005
6,2023-10-03,25.72,26.08,25.55,25.59,307486.0,25.707,2438
7,2023-10-04,25.56,25.93,25.48,25.52,213556.0,25.601,1676
8,2023-10-05,25.42,25.52,25.18,25.27,107131.0,25.31,949
9,2023-10-06,25.16,25.51,24.92,25.25,155191.0,25.208,1124
10,2023-10-09,25.22,25.42,24.88,25.4,115426.0,25.235,863
11,2023-10-10,25.42,25.81,25.41,25.54,115489.0,25.603,870
12,2023-10-11,25.49,25.74,25.15,25.24,95929.0,25.261,785
13,2023-10-12,25.27,25.27,24.8,25.11,171778.0,25.046,1195
14,2023-10-13,25.11,25.44,25.06,25.26,98983.0,25.297,811
15,2023-10-16,25.27,25.84,25.27,25.77,126493.0,25.711,1080
16,2023-10-17,25.68,26.07,25.56,25.63,162062.0,25.763,1130
17,2023-10-18,25.72,25.89,25.58,25.75,102184.0,25.754,838
18,2023-10-19,25.75,25.9,25.65,25.77,144827.0,25.776,1061
19,2023-10-20,25.9,25.99,25.6,25.65,319475.0,25.761,1284
20,2023-10-23,25.53,25.73,25.27,25.34,144686.0,25.458,1080
21,2023-10-24,25.36,25.45,25.22,25.29,117347.0,25.316,871
22,2023-10-25,25.25,25.59,25.19,25.3,263851.0,25.324,2121
23,2023-10-26,25.22,25.53,25.11,25.32,311074.0,25.316,2130
24,2023-10-27,25.35,25.46,24.85,24.97,140835.0,25.012,1192
25,2023-10-30,25.11,25.41,25.07,25.38,119156.0,25.276,926
26,2023-10-31,25.43,25.58,25.31,25.43,95911.0,25.444,686
27,2023-11-01,25.46,25.46,25.08,25.19,73881.0,25.218,537
28,2023-11-02,25.29,25.6,25.29,25.58,79694.0,25.509,623
29,2023-11-03,25.72,25.9,25.65,25.68,72137.0,25.74,535
30,2023-11-06,25.71,25.92,25.64,25.77,91928.0,25.811,688
31,2023-11-07,25.69,25.81,25.6,25.71,135605.0,25.703,1025
32,2023-11-08,26.76,26.79,26.05,26.76,273744.0,26.545,2123
33,2023-11-09,27.12,27.38,26.98,27.08,170596.0,27.118,1387
34,2023-11-10,27.16,27.25,26.23,27.15,102796.0,27.134,866
35,2023-11-13,27.04,27.13,26.64,26.66,82569.0,26.804,662
36,2023-11-14,26.86,27.08,26.83,27.05,105792.0,26.98,784
37,2023-11-15,26.91,26.99,26.64,26.86,128473.0,26.842,992
38,2023-11-16,27.03,27.03,26.74,26.86,169759.0,26.837,1111
39,2023-11-17,26.96,26.96,26.61,26.63,164271.0,26.725,1053
40,2023-11-20,26.69,26.73,26.33,26.46,127349.0,26.523,862
41,2023-11-21,26.39,26.8,26.25,26.57,114517.0,26.544,795
42,2023-11-22,26.06,26.25,25.79,26.01,214687.0,25.976,1566
43,2023-11-24,26.2,26.21,25.97,26.08,58271.0,26.093,400
44,2023-11-27,26.23,26.23,25.97,26.06,131790.0,26.084,917
45,2023-11-28,26.03,26.27,25.81,26.21,133015.0,26.11,912
46,2023-11-29,26.15,26.64,25.96,26.34,271224.0,26.351,1706
47,2023-11-30,26.45,26.56,26.06,26.24,151683.0,26.277,1176
48,2023-12-01,26.22,26.6,26.2,26.48,126757.0,26.455,898
49,2023-12-04,26.47,26.75,26.47,26.63,157662.0,26.599,1177
50,2023-12-05,26.54,26.58,26.25,26.47,156894.0,26.432,1226
51,2023-12-06,26.54,26.59,26.44,26.56,166626.0,26.513,1296
