,date,open,high,low,close,volume,average,barCount
0,2023-10-06,9.03,9.26,9.03,9.16,2206057.0,9.174,7753
1,2023-10-09,9.1,9.34,9.1,9.29,1643318.0,9.258,5286
2,2023-10-10,9.3,9.42,9.29,9.33,1850659.0,9.358,7330
3,2023-10-11,9.36,9.47,9.36,9.46,1960049.0,9.422,6638
4,2023-10-12,9.41,9.44,9.26,9.33,2187754.0,9.334,7346
5,2023-10-13,9.36,9.42,9.18,9.19,3456108.0,9.27,9731
6,2023-10-16,9.27,9.43,9.2,9.4,2237079.0,9.337,6955
7,2023-10-17,9.33,9.48,9.33,9.44,1946697.0,9.426,6265
8,2023-10-18,9.35,9.38,9.2,9.26,2223137.0,9.262,6359
9,2023-10-19,9.2,9.3,9.06,9.08,3728133.0,9.174,11395
10,2023-10-20,9.05,9.17,9.0,9.01,2827398.0,9.064,9244
11,2023-10-23,8.95,9.07,8.87,9.02,3191652.0,9.0,10185
12,2023-10-24,9.05,9.1,8.95,9.03,3252457.0,9.03,10285
13,2023-10-25,8.96,9.09,8.89,8.95,5482931.0,8.962,14550
14,2023-10-26,9.07,9.41,9.06,9.19,7026179.0,9.257,18066
15,2023-10-27,9.46,9.51,9.08,9.14,5068468.0,9.236,15621
16,2023-10-30,9.2,9.3,9.13,9.2,3874785.0,9.207,12501
17,2023-10-31,9.27,9.37,9.2,9.33,3062291.0,9.291,10236
18,2023-11-01,9.35,9.53,9.28,9.52,3002799.0,9.447,9195
19,2023-11-02,9.64,9.75,9.61,9.73,3228444.0,9.702,9330
20,2023-11-03,9.87,9.96,9.87,9.89,3312044.0,9.911,9078
21,2023-11-06,9.9,9.9,9.76,9.8,2071014.0,9.807,6059
22,2023-11-07,9.81,9.89,9.74,9.85,2137617.0,9.849,6169
23,2023-11-08,9.85,9.91,9.78,9.86,1790419.0,9.869,5875
24,2023-11-09,9.9,9.93,9.68,9.69,2005130.0,9.78,5860
25,2023-11-10,9.78,9.81,9.72,9.78,1627935.0,9.779,5417
26,2023-11-13,9.73,9.81,9.68,9.72,1601022.0,9.741,6005
27,2023-11-14,9.92,10.09,9.92,10.08,2804289.0,10.039,9215
28,2023-11-15,10.06,10.15,10.03,10.12,2526518.0,10.107,7892
29,2023-11-16,10.1,10.15,9.94,9.96,2361821.0,10.006,8500
30,2023-11-17,9.99,10.09,9.98,10.07,2305107.0,10.04,7561
31,2023-11-20,10.08,10.14,10.02,10.11,2066548.0,10.095,6683
32,2023-11-21,10.07,10.14,10.07,10.11,1712413.0,10.109,6175
33,2023-11-22,10.15,10.2,10.08,10.19,2079210.0,10.145,6171
