,date,open,high,low,close,volume,average,barCount
0,2023-10-06,7.67,8.03,7.65,7.94,1612939.0,7.922,6644
1,2023-10-09,7.81,8.15,7.79,8.13,1025076.0,8.037,5420
2,2023-10-10,8.16,8.29,8.08,8.1,2159946.0,8.173,8483
3,2023-10-11,8.16,8.38,8.1,8.19,1570552.0,8.241,6975
4,2023-10-12,8.19,8.19,7.8,7.82,2805726.0,7.944,7993
5,2023-10-13,7.84,7.85,7.59,7.75,1500555.0,7.702,7469
6,2023-10-16,7.82,7.98,7.73,7.86,1044903.0,7.892,5510
7,2023-10-17,7.62,7.9,7.62,7.86,962254.0,7.821,4773
8,2023-10-18,7.75,7.79,7.47,7.5,1537715.0,7.549,7451
9,2023-10-19,7.5,7.6,7.42,7.43,1887727.0,7.499,8979
10,2023-10-20,7.38,7.5,7.29,7.31,1550791.0,7.35,8360
11,2023-10-23,7.25,7.47,7.19,7.36,908170.0,7.36,4754
12,2023-10-24,7.45,7.57,7.3,7.34,742976.0,7.385,3672
13,2023-10-25,7.23,7.3,7.17,7.21,1565284.0,7.229,7334
14,2023-10-26,7.19,7.42,7.18,7.3,1093921.0,7.291,5682
15,2023-10-27,7.3,7.38,7.2,7.3,1070696.0,7.283,5500
16,2023-10-30,7.4,7.49,7.23,7.31,1210827.0,7.312,5899
17,2023-10-31,7.34,7.45,7.3,7.39,689225.0,7.363,3595
18,2023-11-01,7.31,7.58,7.2,7.52,2044294.0,7.434,9402
19,2023-11-02,7.75,8.12,7.67,8.1,3143863.0,7.926,12898
20,2023-11-03,8.32,8.95,8.09,8.63,4388996.0,8.601,19241
21,2023-11-06,8.59,8.59,7.96,8.15,2155770.0,8.148,10532
22,2023-11-07,8.14,8.28,8.04,8.16,1269697.0,8.154,6504
23,2023-11-08,8.16,8.45,8.09,8.41,1183872.0,8.329,5575
24,2023-11-09,8.42,8.48,7.85,7.86,1298750.0,8.012,6544
25,2023-11-10,7.93,8.35,7.93,8.33,1287006.0,8.225,6145
26,2023-11-13,8.27,8.28,7.99,7.99,1132410.0,8.076,5492
27,2023-11-14,8.39,9.35,8.39,9.22,2911630.0,9.034,13153
28,2023-11-15,9.02,9.33,9.0,9.03,2052985.0,9.127,9967
29,2023-11-16,8.99,9.17,8.84,8.93,1452815.0,8.957,7036
30,2023-11-17,9.04,9.11,8.93,9.01,835258.0,8.991,4036
