,date,open,high,low,close,volume,average,barCount
0,2023-10-06,98.11,100.12,97.57,98.11,412233.0,98.708,3256
1,2023-10-09,97.55,98.28,96.48,97.85,482198.0,97.616,3645
2,2023-10-10,97.86,99.62,97.62,98.47,322264.0,98.817,2394
3,2023-10-11,98.68,99.8,98.38,99.61,383178.0,99.379,2647
4,2023-10-12,99.76,99.76,96.72,97.24,428250.0,97.44,3204
5,2023-10-13,97.36,97.75,95.65,96.02,455427.0,96.155,3779
6,2023-10-16,97.45,98.82,96.94,97.33,535173.0,97.673,4088
7,2023-10-17,96.05,97.48,96.05,97.33,470057.0,96.954,3546
8,2023-10-18,95.9,96.53,94.77,95.21,384152.0,95.344,2759
9,2023-10-19,94.83,95.85,93.96,94.41,300481.0,94.695,2459
10,2023-10-20,94.6,94.98,92.98,93.23,345110.0,93.476,2602
11,2023-10-23,92.54,93.95,92.49,92.83,429258.0,93.197,2514
12,2023-10-24,93.71,94.14,91.56,91.59,480561.0,92.313,3629
13,2023-10-25,91.27,91.85,89.82,89.86,348602.0,90.422,2661
14,2023-10-26,90.17,90.6,89.66,90.25,323789.0,90.179,2434
15,2023-10-27,90.2,90.54,88.99,89.22,220679.0,89.537,1735
16,2023-10-30,89.89,90.87,88.84,90.66,355432.0,90.342,2877
17,2023-10-31,90.85,91.53,90.33,91.27,305914.0,91.177,2249
18,2023-11-01,91.37,93.08,90.77,93.05,298102.0,92.376,2228
19,2023-11-02,93.15,94.67,93.15,94.03,209804.0,94.178,1592
20,2023-11-03,94.94,97.28,94.94,96.33,220934.0,96.629,1904
21,2023-11-06,96.14,96.58,95.69,96.2,170275.0,96.282,1344
22,2023-11-07,96.13,96.37,95.44,96.04,212929.0,96.037,1758
23,2023-11-08,96.01,97.23,96.01,97.06,160253.0,96.816,1342
24,2023-11-09,97.18,97.22,95.97,96.01,170750.0,96.461,1343
25,2023-11-10,96.24,98.14,96.09,97.75,395573.0,97.537,2034
26,2023-11-13,97.36,97.89,96.72,97.51,144367.0,97.481,1103
27,2023-11-14,99.21,103.38,99.21,102.51,518691.0,102.478,3750
28,2023-11-15,102.3,103.17,100.9,101.56,179407.0,101.83,1445
29,2023-11-16,101.78,102.4,101.51,102.09,144901.0,101.962,1109
30,2023-11-17,102.17,103.12,101.25,101.92,112171.0,101.825,861
31,2023-11-20,101.33,102.31,100.69,102.04,156623.0,101.892,1171
32,2023-11-21,102.18,102.78,101.84,102.2,209055.0,102.211,1432
33,2023-11-22,102.76,102.96,101.47,101.79,129013.0,101.97,1026
34,2023-11-24,101.65,102.42,101.54,102.35,58611.0,102.052,449
35,2023-11-27,101.85,103.03,101.56,102.78,222844.0,102.704,1694
36,2023-11-28,102.41,102.64,100.86,101.32,249290.0,101.585,1919
37,2023-11-29,101.87,102.47,100.56,101.26,320069.0,101.212,2596
38,2023-11-30,101.2,103.09,100.87,102.93,232175.0,102.194,1781
39,2023-12-01,102.85,104.54,102.85,104.29,225092.0,104.093,1392
40,2023-12-04,104.04,105.88,104.04,104.83,239526.0,104.852,1567
41,2023-12-05,104.0,105.08,103.1,104.72,247239.0,104.59,1771
42,2023-12-06,105.33,106.6,105.33,105.88,197845.0,105.967,1523
43,2023-12-07,106.23,107.28,106.17,106.82,157862.0,106.89,1150
44,2023-12-08,106.71,107.37,106.21,107.02,183579.0,106.869,1267
45,2023-12-11,107.6,108.09,107.22,107.65,165562.0,107.601,1119
46,2023-12-12,107.7,107.83,107.05,107.34,228938.0,107.487,1629
47,2023-12-13,107.11,109.63,106.93,109.51,361366.0,108.709,2550
48,2023-12-14,110.65,112.87,110.0,112.22,244480.0,112.241,1806
49,2023-12-15,111.89,112.9,111.18,111.92,417762.0,112.029,2585
50,2023-12-18,112.07,112.07,110.8,111.6,196913.0,111.455,1581
51,2023-12-19,112.37,113.01,112.03,112.77,245141.0,112.549,1898
52,2023-12-20,112.6,113.37,110.91,110.93,281758.0,111.917,2239
53,2023-12-21,111.85,112.01,110.57,111.64,145702.0,111.295,1069
54,2023-12-22,112.06,112.77,111.23,112.27,91922.0,112.282,685
55,2023-12-26,112.55,113.15,112.22,112.7,121238.0,112.744,899
56,2023-12-27,112.39,113.16,112.28,112.63,130207.0,112.655,966
57,2023-12-28,112.29,112.59,111.96,112.11,148652.0,112.247,1234
58,2023-12-29,111.91,112.54,111.52,111.63,197761.0,111.95,1446
59,2024-01-02,110.82,111.08,109.12,109.74,327862.0,109.778,2594
60,2024-01-03,109.03,109.05,106.7,107.14,453870.0,107.637,3387
61,2024-01-04,102.57,105.15,100.82,103.91,999754.0,103.139,7179
62,2024-01-05,103.38,106.26,103.15,104.76,325682.0,104.525,2605
63,2024-01-08,105.32,106.24,104.81,106.22,212304.0,105.622,1636
64,2024-01-09,105.3,106.02,104.66,105.72,213066.0,105.531,1721
65,2024-01-10,105.73,107.17,105.73,107.06,239103.0,106.71,1882
66,2024-01-11,107.81,107.81,106.04,106.35,271831.0,106.488,2076
67,2024-01-12,107.06,107.2,105.24,107.16,303802.0,106.463,2529
68,2024-01-16,106.65,107.66,106.0,107.52,242119.0,107.142,2001
69,2024-01-17,106.65,107.95,106.47,107.69,393996.0,107.586,2536
70,2024-01-18,107.82,109.54,107.61,109.36,244331.0,108.853,1955
71,2024-01-19,109.16,109.16,107.36,108.1,448515.0,108.062,3356
72,2024-01-22,108.44,109.07,107.65,107.95,305422.0,108.152,2521
73,2024-01-23,108.29,108.29,106.69,106.98,203868.0,107.123,1644
74,2024-01-24,107.46,107.46,106.34,106.52,198620.0,106.73,1638
75,2024-01-25,107.0,107.75,106.49,107.52,280177.0,107.095,2149
76,2024-01-26,108.09,108.84,107.08,107.41,240542.0,107.877,1996
77,2024-01-29,107.28,108.24,106.92,108.22,147554.0,107.688,1154
78,2024-01-30,107.96,108.4,107.69,107.92,171126.0,107.962,1415
79,2024-01-31,107.95,108.3,106.3,106.66,399895.0,107.186,2844
80,2024-02-01,107.19,108.03,106.43,107.87,319002.0,107.432,2094
81,2024-02-02,107.06,107.12,106.06,106.45,295691.0,106.553,2350
82,2024-02-05,105.33,105.41,103.63,104.33,256489.0,104.192,1931
83,2024-02-06,104.63,105.29,104.36,104.87,237531.0,104.933,1646
84,2024-02-07,105.43,106.27,104.89,105.98,167433.0,105.903,1347
85,2024-02-08,105.84,106.5,104.42,106.49,218246.0,105.768,1752
86,2024-02-09,106.86,108.08,106.5,107.81,277639.0,107.628,2206
87,2024-02-12,108.17,109.99,108.11,109.53,313343.0,109.477,2553
88,2024-02-13,107.76,109.19,107.38,108.55,376356.0,108.333,3034
89,2024-02-14,109.27,109.36,108.12,108.26,36302.0,108.659,243
