,date,open,high,low,close,volume,average,barCount
0,2023-09-25,35.87,36.09,35.68,36.08,68072.0,35.949,445
1,2023-09-26,35.88,35.97,35.61,35.77,184092.0,35.789,888
2,2023-09-27,35.87,35.92,35.4,35.64,136002.0,35.635,614
3,2023-09-28,36.17,36.74,36.17,36.65,282675.0,36.518,1409
4,2023-09-29,37.36,37.38,36.9,37.05,159475.0,37.16,963
5,2023-10-02,35.99,36.04,35.79,35.96,140783.0,35.919,726
6,2023-10-03,35.74,36.01,35.38,35.66,108348.0,35.672,637
7,2023-10-04,36.47,36.6,35.75,36.36,99471.0,36.129,619
8,2023-10-05,37.0,37.1,36.33,36.33,187452.0,36.579,1117
9,2023-10-06,35.3,36.13,35.2,36.06,96711.0,35.82,634
10,2023-10-09,36.08,36.49,36.03,36.36,47741.0,36.271,310
11,2023-10-10,36.7,37.03,36.57,36.79,131726.0,36.853,863
12,2023-10-11,37.37,37.44,36.79,37.06,159165.0,37.12,1003
13,2023-10-12,37.34,37.35,36.51,36.78,251414.0,37.021,1503
14,2023-10-13,37.26,37.37,36.71,36.89,145394.0,36.988,884
15,2023-10-16,37.07,37.11,36.75,36.96,79565.0,36.978,538
16,2023-10-17,36.5,36.86,36.45,36.52,108045.0,36.606,775
17,2023-10-18,36.14,36.22,35.61,35.71,114755.0,35.927,715
18,2023-10-19,28.66,30.93,28.63,30.42,1859822.0,29.832,9832
19,2023-10-20,28.16,28.47,26.84,27.88,941123.0,27.776,5322
20,2023-10-23,27.77,28.38,27.62,28.33,306997.0,28.161,1939
21,2023-10-24,27.69,28.56,27.62,28.32,497668.0,28.125,2849
22,2023-10-25,27.53,27.73,27.25,27.34,387269.0,27.484,2063
23,2023-10-26,24.67,25.33,23.39,23.69,1917685.0,24.414,10100
24,2023-10-27,25.51,25.74,24.95,25.48,561080.0,25.327,2854
25,2023-10-30,25.61,26.03,25.47,26.0,419745.0,25.78,2050
26,2023-10-31,25.6,25.69,25.28,25.59,496656.0,25.525,2663
27,2023-11-01,25.42,25.63,25.34,25.6,444253.0,25.458,2257
28,2023-11-02,26.22,26.34,25.79,26.13,285408.0,26.072,1575
29,2023-11-03,27.48,27.64,27.2,27.34,423217.0,27.372,2096
30,2023-11-06,27.45,27.46,27.06,27.26,290012.0,27.259,1481
31,2023-11-07,27.39,27.6,27.15,27.36,206729.0,27.397,1009
32,2023-11-08,27.38,27.51,27.03,27.13,312300.0,27.166,1995
33,2023-11-09,27.7,27.7,26.97,27.05,348364.0,27.275,1395
34,2023-11-10,27.26,27.37,27.0,27.33,451233.0,27.196,1776
35,2023-11-13,27.92,28.05,27.8,28.02,750772.0,27.935,3120
36,2023-11-14,29.01,29.15,28.75,29.12,579488.0,28.966,2848
37,2023-11-15,29.13,29.17,28.83,28.85,156407.0,28.974,991
38,2023-11-16,28.78,28.92,28.54,28.68,169424.0,28.702,954
39,2023-11-17,28.88,28.9,28.66,28.86,161399.0,28.798,928
40,2023-11-20,29.09,29.26,29.0,29.2,205465.0,29.162,1178
41,2023-11-21,28.97,29.03,28.77,28.98,169235.0,28.895,881
42,2023-11-22,28.33,28.47,28.21,28.3,189559.0,28.334,1109
43,2023-11-24,28.45,28.73,28.41,28.66,95244.0,28.618,598
44,2023-11-27,28.32,28.59,28.25,28.5,358290.0,28.464,1830
45,2023-11-28,27.87,28.32,27.82,27.95,807310.0,28.085,4504
46,2023-11-29,27.49,27.83,27.4,27.6,293637.0,27.648,1822
47,2023-11-30,27.33,27.42,27.11,27.35,515401.0,27.277,2786
48,2023-12-01,26.81,27.46,26.81,27.43,456577.0,27.145,2511
49,2023-12-04,27.02,27.36,27.02,27.3,382419.0,27.181,2058
50,2023-12-05,26.82,26.98,26.68,26.92,338383.0,26.861,1648
51,2023-12-06,26.72,26.81,26.42,26.57,402736.0,26.578,2248
52,2023-12-07,26.39,26.44,26.1,26.44,401194.0,26.285,2081
53,2023-12-08,26.15,26.53,26.15,26.49,589129.0,26.419,3034
54,2023-12-11,26.27,26.5,26.25,26.38,607466.0,26.384,2736
55,2023-12-12,25.92,26.49,25.75,26.31,813611.0,26.076,4808
56,2023-12-13,26.45,26.82,26.19,26.82,465411.0,26.478,2728
57,2023-12-14,27.03,27.16,26.89,26.98,360335.0,27.016,2120
58,2023-12-15,27.0,27.39,26.93,27.01,441029.0,27.117,2032
59,2023-12-18,26.91,27.33,26.91,27.16,439048.0,27.167,2707
60,2023-12-19,27.78,27.96,27.71,27.72,338929.0,27.839,1690
61,2023-12-20,28.03,28.25,27.81,27.83,306410.0,28.058,2071
62,2023-12-21,27.82,28.26,27.77,28.26,313763.0,27.99,2159
63,2023-12-22,27.95,28.47,27.93,28.4,201619.0,28.323,1174
64,2023-12-26,28.42,28.6,28.3,28.49,260095.0,28.454,1666
65,2023-12-27,28.69,28.72,28.49,28.68,520694.0,28.609,2714
66,2023-12-28,28.58,28.74,28.51,28.7,272196.0,28.636,1467
67,2023-12-29,28.46,28.62,28.26,28.61,366915.0,28.508,2325
68,2024-01-02,27.89,27.93,27.3,27.3,561330.0,27.685,3012
69,2024-01-03,26.31,26.52,25.93,26.36,1148193.0,26.264,5582
70,2024-01-04,26.31,26.88,26.31,26.78,662500.0,26.653,3687
71,2024-01-05,26.58,26.82,26.33,26.45,238194.0,26.562,1245
72,2024-01-08,26.48,26.87,26.48,26.82,364702.0,26.684,2169
73,2024-01-09,26.56,26.67,26.4,26.47,193693.0,26.53,1084
74,2024-01-10,26.49,26.84,26.4,26.64,240588.0,26.64,1309
75,2024-01-11,27.03,27.34,26.76,27.29,353331.0,27.082,1965
76,2024-01-12,27.35,27.43,26.92,26.96,364269.0,27.205,1855
77,2024-01-16,26.62,26.62,26.16,26.24,273914.0,26.367,1470
78,2024-01-17,25.49,25.78,25.29,25.41,795790.0,25.504,4067
79,2024-01-18,25.43,25.76,25.22,25.65,552286.0,25.502,3259
80,2024-01-19,25.6,26.12,25.51,26.1,469173.0,25.825,2522
81,2024-01-22,26.08,26.56,25.98,26.52,649429.0,26.293,3090
82,2024-01-23,26.1,26.23,25.81,26.21,740990.0,26.056,3990
83,2024-01-24,25.66,25.74,25.04,25.18,1148547.0,25.339,5161
84,2024-01-25,25.33,25.49,25.13,25.38,602586.0,25.289,2703
85,2024-01-26,26.23,26.34,26.02,26.17,463401.0,26.127,1946
86,2024-01-29,25.87,26.59,25.84,26.53,422836.0,26.262,2035
87,2024-01-30,26.66,26.73,26.25,26.54,432459.0,26.475,2412
88,2024-01-31,26.44,26.45,26.0,26.05,245639.0,26.212,1468
89,2024-02-01,26.08,26.54,26.0,26.54,381569.0,26.242,2393
