,date,open,high,low,close,volume,average,barCount
0,2023-10-06,9.72,10.65,9.6,10.45,11075923.0,10.192,40249
1,2023-10-09,10.2,10.54,9.92,10.5,8787639.0,10.228,32307
2,2023-10-10,10.51,11.99,10.43,11.93,17854848.0,11.594,70422
3,2023-10-11,12.11,12.44,11.88,12.3,11630550.0,12.194,45066
4,2023-10-12,12.36,12.36,11.5,11.8,10441235.0,11.884,44327
5,2023-10-13,11.85,12.05,11.37,11.52,8823719.0,11.66,38468
6,2023-10-16,11.54,12.08,11.3,11.93,9567517.0,11.764,38857
7,2023-10-17,11.6,12.49,11.51,12.18,9112556.0,12.12,36302
8,2023-10-18,11.95,11.95,11.25,11.56,8702992.0,11.546,38539
9,2023-10-19,11.6,11.6,10.51,10.58,13130575.0,10.993,59729
10,2023-10-20,9.73,10.35,9.55,9.85,16097119.0,9.919,78384
11,2023-10-23,9.66,10.4,9.39,9.88,12587364.0,10.049,51447
12,2023-10-24,10.14,10.6,9.6,9.67,12551313.0,10.067,56505
13,2023-10-25,9.43,9.44,8.43,8.85,22493586.0,8.858,98925
14,2023-10-26,9.12,9.92,9.06,9.71,11850330.0,9.602,54332
15,2023-10-27,9.47,9.52,8.74,8.84,11685426.0,8.974,52110
16,2023-10-30,8.96,9.25,8.66,8.99,8249770.0,8.932,41399
17,2023-10-31,9.07,9.72,9.0,9.65,9700172.0,9.48,43761
18,2023-11-01,9.65,9.68,9.16,9.49,10313403.0,9.398,47614
19,2023-11-02,9.2,10.59,9.16,10.45,18512789.0,10.199,84733
20,2023-11-03,11.12,11.67,10.68,10.84,15482981.0,11.04,72850
21,2023-11-06,10.93,10.96,10.03,10.29,9056367.0,10.276,39823
22,2023-11-07,10.21,10.7,9.98,10.69,7356304.0,10.448,33165
23,2023-11-08,10.63,10.63,10.05,10.45,8282638.0,10.335,36027
24,2023-11-09,10.64,10.7,9.95,10.04,7225741.0,10.317,34966
25,2023-11-10,9.95,10.0,8.82,9.44,14133670.0,9.317,61295
26,2023-11-13,9.31,9.59,9.02,9.23,8245355.0,9.278,40965
27,2023-11-14,10.12,11.06,10.05,10.98,22025538.0,10.726,85695
28,2023-11-15,11.0,12.07,11.0,11.59,15505480.0,11.583,60557
29,2023-11-16,11.48,11.62,10.83,11.19,9400187.0,11.146,40419
30,2023-11-17,11.36,11.69,10.83,11.67,8336912.0,11.249,34142
31,2023-11-20,11.71,12.03,11.28,11.91,8693913.0,11.773,34726
32,2023-11-21,11.83,11.89,11.37,11.57,5736241.0,11.539,26228
33,2023-11-22,11.79,11.92,11.27,11.41,5697632.0,11.505,26711
34,2023-11-24,11.3,11.53,11.08,11.31,3289389.0,11.339,16082
35,2023-11-27,11.38,11.38,10.7,11.15,9532240.0,11.01,40984
36,2023-11-28,11.09,11.95,10.79,11.92,10599306.0,11.551,45189
37,2023-11-29,12.37,13.18,12.32,12.76,15561821.0,12.848,62833
38,2023-11-30,12.81,13.46,12.52,12.9,14069412.0,13.12,53413
39,2023-12-01,12.74,14.37,12.59,14.34,12894132.0,13.757,48824
40,2023-12-04,14.3,15.06,14.25,14.42,12722594.0,14.56,57874
41,2023-12-05,14.08,14.43,13.78,13.94,8974254.0,14.125,36519
42,2023-12-06,14.09,15.13,13.8,13.89,15716548.0,14.364,56015
43,2023-12-07,13.9,14.28,13.74,13.87,9145311.0,13.972,36723
44,2023-12-08,13.72,14.03,12.64,12.89,13822636.0,13.17,54444
45,2023-12-11,12.82,13.69,12.76,13.35,9080308.0,13.312,36866
46,2023-12-12,13.12,13.21,12.22,12.5,9075519.0,12.565,35034
47,2023-12-13,12.39,14.99,12.2,14.96,16408723.0,13.546,66346
48,2023-12-14,16.21,18.54,16.21,17.94,38573567.0,17.732,149489
49,2023-12-15,18.46,18.98,17.78,18.63,22771614.0,18.397,81486
50,2023-12-18,18.18,18.61,17.24,18.03,15565298.0,17.907,65574
51,2023-12-19,19.14,19.95,18.72,19.54,21876275.0,19.288,79480
52,2023-12-20,19.51,19.78,18.07,18.13,17845854.0,19.019,65590
53,2023-12-21,18.72,19.55,18.62,19.39,11331971.0,19.184,42202
54,2023-12-22,19.52,19.98,19.03,19.26,12061436.0,19.45,45480
55,2023-12-26,19.36,20.16,19.22,19.95,8741105.0,19.838,30307
56,2023-12-27,20.24,20.68,19.89,20.32,10261464.0,20.334,44973
57,2023-12-28,20.18,20.59,20.03,20.32,7722620.0,20.268,30893
58,2023-12-29,20.23,20.38,19.58,19.63,7734810.0,19.939,33983
59,2024-01-02,19.09,20.07,18.88,19.46,9057023.0,19.577,42237
60,2024-01-03,18.63,18.77,17.15,18.44,14783391.0,18.071,58058
61,2024-01-04,18.2,18.2,17.02,17.06,13582055.0,17.357,55075
62,2024-01-05,16.58,17.38,16.06,16.16,12957785.0,16.609,53042
63,2024-01-08,16.07,16.89,15.86,16.64,8614245.0,16.494,41535
64,2024-01-09,16.23,16.52,15.71,16.3,8222796.0,16.176,33662
65,2024-01-10,16.31,16.36,15.59,16.31,8520244.0,16.111,35339
66,2024-01-11,16.08,16.09,15.19,15.77,12580138.0,15.689,49846
67,2024-01-12,16.05,16.52,15.0,15.1,11184666.0,15.51,44337
68,2024-01-16,14.81,15.03,14.18,14.21,10952295.0,14.493,48130
69,2024-01-17,13.56,14.09,13.46,13.62,10189203.0,13.676,49451
70,2024-01-18,13.77,13.84,13.19,13.21,9262936.0,13.446,43882
71,2024-01-19,13.14,13.27,12.28,13.17,12057647.0,12.794,52596
72,2024-01-22,13.43,14.65,13.29,13.77,14758622.0,13.827,67973
73,2024-01-23,14.52,14.81,13.71,14.21,14028831.0,14.168,57812
74,2024-01-24,14.74,15.24,13.47,13.54,10284977.0,14.086,40398
75,2024-01-25,13.84,14.45,13.13,14.33,12650583.0,13.961,53972
76,2024-01-26,14.53,15.03,14.22,14.32,10036800.0,14.609,45919
77,2024-01-29,14.34,15.0,13.95,14.98,8501916.0,14.475,34875
78,2024-01-30,14.72,14.92,14.35,14.71,8640959.0,14.605,36420
79,2024-01-31,14.84,16.25,14.39,14.48,20128589.0,15.471,78428
