,date,open,high,low,close,volume,average,barCount
0,2023-09-25,40.12,41.36,40.12,40.93,125256.0,41.037,930
1,2023-09-26,40.77,41.16,40.52,40.7,181035.0,40.873,964
2,2023-09-27,40.82,41.75,40.63,41.64,186497.0,41.434,972
3,2023-09-28,41.59,42.56,41.39,42.15,72358.0,42.301,578
4,2023-09-29,42.26,42.26,40.69,40.83,134366.0,41.083,1032
5,2023-10-02,40.73,40.92,40.3,40.63,122243.0,40.59,781
6,2023-10-03,40.45,40.93,39.92,40.18,156803.0,40.274,896
7,2023-10-04,40.28,40.99,40.1,40.44,109402.0,40.508,991
8,2023-10-05,40.45,40.81,39.84,39.86,150996.0,40.093,1315
9,2023-10-06,39.8,40.88,39.19,39.88,114153.0,39.935,1052
10,2023-10-09,39.71,40.78,39.59,40.61,53922.0,40.365,467
11,2023-10-10,40.91,41.19,40.59,40.59,85434.0,40.891,704
12,2023-10-11,40.82,41.34,40.82,41.17,74652.0,41.185,640
13,2023-10-12,41.36,41.36,40.48,40.67,85863.0,40.819,704
14,2023-10-13,40.67,40.85,39.82,39.83,71587.0,40.067,598
15,2023-10-16,40.31,40.82,39.76,40.28,126636.0,40.325,1004
16,2023-10-17,40.1,41.41,40.1,41.09,107511.0,41.053,838
17,2023-10-18,41.0,41.06,40.26,40.56,124872.0,40.719,1057
18,2023-10-19,40.42,40.6,39.44,39.48,104265.0,39.964,884
19,2023-10-20,39.63,39.98,38.98,39.02,124624.0,39.458,798
20,2023-10-23,39.11,39.38,38.56,38.64,104661.0,38.859,887
21,2023-10-24,38.99,39.18,38.11,38.54,89946.0,38.501,773
22,2023-10-25,36.66,37.96,34.68,34.99,258386.0,35.348,2176
23,2023-10-26,35.17,35.67,34.73,34.91,189493.0,35.094,1656
24,2023-10-27,34.83,35.84,34.77,35.33,151678.0,35.443,1242
25,2023-10-30,35.79,36.36,35.29,35.49,133594.0,35.573,1086
26,2023-10-31,35.4,35.76,35.1,35.58,244809.0,35.46,1293
27,2023-11-01,35.4,36.91,34.98,36.68,315093.0,36.019,1535
28,2023-11-02,37.08,37.43,36.4,37.02,187372.0,36.935,1509
29,2023-11-03,37.62,38.29,37.35,38.08,143879.0,37.946,925
30,2023-11-06,37.88,38.35,37.69,38.28,158664.0,38.117,1295
31,2023-11-07,38.09,38.09,37.29,37.43,139319.0,37.63,1022
32,2023-11-08,37.25,37.34,36.83,37.21,121251.0,37.088,815
33,2023-11-09,37.5,37.77,37.13,37.15,83707.0,37.37,725
34,2023-11-10,37.55,38.22,37.47,37.96,81262.0,37.919,663
35,2023-11-13,37.68,38.22,37.68,37.87,121874.0,37.939,829
36,2023-11-14,38.94,39.59,38.93,39.58,122934.0,39.435,941
37,2023-11-15,39.55,40.27,39.2,39.53,110666.0,39.765,921
38,2023-11-16,39.33,39.45,38.28,38.35,94013.0,38.7,792
39,2023-11-17,38.74,38.9,38.24,38.54,100458.0,38.542,568
40,2023-11-20,38.41,39.24,38.19,39.12,130902.0,38.881,1035
41,2023-11-21,38.93,38.93,38.1,38.28,79128.0,38.284,591
42,2023-11-22,38.46,38.85,38.18,38.66,74167.0,38.664,617
43,2023-11-24,38.66,39.18,38.66,38.8,22287.0,38.933,184
44,2023-11-27,38.76,39.06,38.43,38.78,103237.0,38.829,790
45,2023-11-28,38.69,38.91,38.44,38.49,68469.0,38.663,572
46,2023-11-29,38.78,39.6,38.78,39.47,155086.0,39.4,1340
47,2023-11-30,39.62,39.99,39.25,39.67,123148.0,39.652,1020
48,2023-12-01,39.82,41.06,39.64,40.93,175865.0,40.668,1308
49,2023-12-04,40.58,41.34,40.35,41.23,179306.0,41.049,1290
50,2023-12-05,41.2,41.2,40.03,40.33,167398.0,40.422,951
51,2023-12-06,41.11,41.78,40.36,40.44,154429.0,40.819,1278
52,2023-12-07,40.68,40.68,40.12,40.41,131717.0,40.302,1017
53,2023-12-08,40.19,40.9,40.18,40.6,191713.0,40.605,1110
54,2023-12-11,40.74,41.5,40.59,41.24,165115.0,41.108,1161
55,2023-12-12,41.2,41.27,40.52,40.86,102815.0,40.927,824
56,2023-12-13,41.01,41.98,40.45,41.87,125778.0,41.237,1066
57,2023-12-14,42.51,43.98,42.17,43.4,197224.0,43.479,1557
58,2023-12-15,43.63,43.63,42.76,43.1,288241.0,43.355,1286
59,2023-12-18,43.48,43.53,42.49,42.8,146333.0,42.883,964
60,2023-12-19,43.16,44.14,42.95,43.93,149513.0,43.816,1234
61,2023-12-20,47.02,48.3,46.18,46.74,1329444.0,47.423,8263
62,2023-12-21,47.12,47.55,46.25,46.86,632215.0,46.695,4691
63,2023-12-22,47.22,47.98,47.11,47.41,583263.0,47.56,4631
64,2023-12-26,47.31,48.72,47.03,48.46,454811.0,48.242,3462
65,2023-12-27,48.51,49.14,48.15,48.44,345066.0,48.551,2703
66,2023-12-28,48.38,49.25,48.02,49.07,434833.0,49.012,3203
67,2023-12-29,48.86,50.42,48.86,50.3,1765432.0,49.947,12540
68,2024-01-02,49.92,50.5,48.62,48.89,774999.0,49.338,5763
69,2024-01-03,48.68,48.68,47.08,47.16,406680.0,47.555,3385
70,2024-01-04,47.42,47.79,46.32,46.66,223912.0,46.751,1962
71,2024-01-05,46.36,46.92,46.01,46.15,375005.0,46.394,3047
72,2024-01-08,46.12,46.76,45.94,46.48,252008.0,46.433,1677
73,2024-01-09,45.84,46.09,45.01,45.1,357678.0,45.367,2212
74,2024-01-10,44.96,45.16,44.45,44.59,375738.0,44.661,2576
75,2024-01-11,44.29,44.57,43.71,44.31,213794.0,44.185,1325
76,2024-01-12,44.89,44.98,43.55,43.84,181529.0,43.997,1334
77,2024-01-16,43.36,43.92,43.15,43.63,168622.0,43.584,1314
78,2024-01-17,43.06,43.49,42.77,42.92,161156.0,42.965,1184
79,2024-01-18,43.41,44.27,43.07,44.22,343439.0,43.814,2716
80,2024-01-19,44.47,44.47,43.43,44.13,120799.0,44.027,924
81,2024-01-22,44.63,45.5,44.44,45.31,154219.0,45.154,1219
82,2024-01-23,45.69,45.9,45.23,45.36,107669.0,45.48,943
83,2024-01-24,45.8,45.8,44.3,44.76,139517.0,44.819,991
84,2024-01-25,45.23,46.06,45.02,45.75,182184.0,45.562,925
85,2024-01-26,46.13,46.27,45.25,45.68,195255.0,45.719,1032
86,2024-01-29,45.68,46.46,45.47,46.41,86116.0,46.087,684
87,2024-01-30,46.03,47.11,46.03,46.78,116377.0,46.77,915
88,2024-01-31,46.83,47.23,44.9,44.91,232593.0,45.935,1496
89,2024-02-01,45.17,46.34,45.13,46.23,202946.0,45.827,1411
