,date,open,high,low,close,volume,average,barCount
0,2023-09-25,45.01,45.66,45.01,45.32,7458.0,45.511,52
1,2023-09-26,45.59,45.67,44.8,44.94,6448.0,45.419,48
2,2023-09-27,44.94,46.56,44.39,45.89,15538.0,46.2,120
3,2023-09-28,46.21,46.96,46.21,46.53,11153.0,46.63,66
4,2023-09-29,46.33,46.33,45.21,45.29,12790.0,45.55,101
5,2023-10-02,45.03,45.45,44.95,45.3,5110.0,45.24,49
6,2023-10-03,44.9,45.36,44.54,44.63,5924.0,44.98,56
7,2023-10-04,44.69,45.52,44.62,45.31,8757.0,45.305,67
8,2023-10-05,45.34,45.36,44.86,44.86,9349.0,45.124,85
9,2023-10-06,44.65,45.48,44.39,45.32,7479.0,45.293,53
10,2023-10-09,45.44,46.53,45.44,46.39,6587.0,46.31,55
11,2023-10-10,46.24,47.0,46.24,46.47,4631.0,46.51,27
12,2023-10-11,46.71,46.9,46.71,46.8,3536.0,46.794,32
13,2023-10-12,46.46,46.48,45.73,46.34,4889.0,46.19,45
14,2023-10-13,46.35,46.35,45.62,45.66,9958.0,45.811,73
15,2023-10-16,46.14,46.63,45.5,45.75,8229.0,46.104,74
16,2023-10-17,45.74,47.12,45.74,46.76,4659.0,46.618,34
17,2023-10-18,46.52,46.59,46.11,46.4,5043.0,46.455,43
18,2023-10-19,46.39,46.39,45.38,45.43,5383.0,45.949,52
19,2023-10-20,45.73,45.73,44.82,44.89,12561.0,45.537,83
20,2023-10-23,44.88,44.88,44.3,44.3,4201.0,44.656,32
21,2023-10-24,44.88,44.88,44.05,44.37,8010.0,44.434,65
22,2023-10-25,43.28,43.28,40.17,40.3,17367.0,40.864,145
23,2023-10-26,40.64,40.95,39.89,39.9,14677.0,40.516,109
24,2023-10-27,40.28,40.71,39.81,40.07,15187.0,40.247,133
25,2023-10-30,40.57,40.86,40.18,40.48,9818.0,40.584,73
26,2023-10-31,40.12,40.89,40.03,40.44,10514.0,40.492,66
27,2023-11-01,40.12,41.42,40.05,41.12,4628.0,40.814,32
28,2023-11-02,41.4,41.84,41.24,41.7,3143.0,41.615,26
29,2023-11-03,41.78,42.94,41.78,42.82,4367.0,42.643,35
30,2023-11-06,42.49,42.8,42.41,42.54,6139.0,42.615,50
31,2023-11-07,42.12,42.33,41.81,42.01,3414.0,42.054,32
32,2023-11-08,40.89,41.83,40.89,41.4,9824.0,41.35,48
33,2023-11-09,41.33,42.13,41.33,41.53,7882.0,41.751,55
34,2023-11-10,41.8,42.74,41.8,42.66,3764.0,42.459,34
35,2023-11-13,42.36,42.7,42.1,42.11,6100.0,42.425,54
36,2023-11-14,43.96,44.75,43.89,44.74,9115.0,44.329,85
37,2023-11-15,45.02,45.32,44.4,44.41,4364.0,44.88,34
38,2023-11-16,44.05,44.05,43.5,44.01,4758.0,43.844,39
39,2023-11-17,44.27,44.27,43.54,43.68,5906.0,44.146,13
40,2023-11-20,43.37,44.09,43.37,43.83,2735.0,43.799,25
41,2023-11-21,43.01,43.11,42.92,42.96,1010.0,43.013,8
42,2023-11-22,43.19,43.43,42.95,43.29,2318.0,43.186,20
43,2023-11-24,43.03,44.04,43.03,44.04,1324.0,43.865,13
44,2023-11-27,43.37,43.99,43.3,43.41,5526.0,43.593,40
45,2023-11-28,43.12,43.63,42.54,42.54,4916.0,43.017,42
46,2023-11-29,43.29,43.6,43.23,43.37,4170.0,43.415,37
47,2023-11-30,43.36,43.88,43.28,43.61,2752.0,43.567,27
48,2023-12-01,43.58,45.09,43.4,44.91,6425.0,44.112,37
49,2023-12-04,44.0,45.3,44.0,45.0,5768.0,44.682,26
50,2023-12-05,44.59,45.06,43.46,43.81,5215.0,44.009,47
51,2023-12-06,45.11,45.11,44.22,44.59,3294.0,44.794,25
52,2023-12-07,44.31,44.6,44.05,44.6,1698.0,44.298,15
53,2023-12-08,44.99,45.1,44.51,45.04,3155.0,44.96,29
54,2023-12-11,45.43,46.07,45.0,45.71,4480.0,45.568,34
55,2023-12-12,45.48,45.95,45.16,45.51,5684.0,45.601,48
56,2023-12-13,45.35,46.93,45.06,45.73,12792.0,45.924,102
57,2023-12-14,45.75,47.58,45.44,47.17,26258.0,46.827,164
58,2023-12-15,47.0,47.0,46.41,46.81,22211.0,46.963,32
59,2023-12-18,46.7,46.99,46.24,46.51,4842.0,46.688,40
60,2023-12-19,46.65,47.75,46.65,47.55,7152.0,47.315,62
61,2023-12-20,50.78,51.72,49.55,49.68,54830.0,50.441,434
62,2023-12-21,50.2,50.2,49.28,49.87,2764.0,49.684,24
63,2023-12-22,50.63,50.77,50.24,50.74,12661.0,50.492,106
64,2023-12-26,50.61,52.09,50.61,51.86,7166.0,51.59,66
65,2023-12-27,52.0,52.42,51.71,51.91,1640.0,52.067,13
66,2023-12-28,51.91,52.54,51.77,52.15,5293.0,52.177,47
67,2023-12-29,52.34,53.11,52.32,52.98,8479.0,52.732,75
68,2024-01-02,52.33,52.94,51.81,52.07,3011.0,52.304,27
69,2024-01-03,52.03,52.03,49.91,49.93,15368.0,50.719,141
70,2024-01-04,50.25,50.5,49.43,49.72,2747.0,49.909,22
71,2024-01-05,49.33,49.74,48.53,48.66,5173.0,49.112,37
72,2024-01-08,48.46,49.33,48.46,49.13,9561.0,48.993,65
73,2024-01-09,48.52,48.52,47.59,47.6,5939.0,47.804,49
74,2024-01-10,47.09,47.28,46.91,47.28,3264.0,47.079,32
75,2024-01-11,46.44,46.93,46.43,46.75,3800.0,46.697,35
76,2024-01-12,47.27,47.27,46.08,46.08,3598.0,46.604,17
77,2024-01-16,45.79,46.0,45.64,45.86,5110.0,45.815,48
78,2024-01-17,45.27,45.78,45.0,45.19,2233.0,45.251,22
79,2024-01-18,46.05,46.6,45.83,46.43,3913.0,46.242,31
80,2024-01-19,46.83,46.83,45.76,46.57,2319.0,46.533,9
81,2024-01-22,46.59,47.88,46.59,47.71,3379.0,47.564,27
82,2024-01-23,48.32,48.32,47.41,47.46,9033.0,47.837,83
83,2024-01-24,47.92,48.07,46.68,47.07,4686.0,47.175,43
84,2024-01-25,47.85,48.63,47.66,48.63,624.0,48.121,6
85,2024-01-26,48.63,48.63,47.75,48.16,2833.0,48.276,18
86,2024-01-29,48.63,49.24,48.62,49.24,1100.0,48.95,11
87,2024-01-30,49.3,49.61,49.3,49.4,1486.0,49.379,9
88,2024-01-31,48.03,48.03,47.27,47.27,1500.0,47.592,15
89,2024-02-01,48.7,48.92,47.92,48.92,2300.0,48.306,22
