,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.33,12.9,12.25,12.77,511336.0,12.715,3175
1,2023-09-26,12.68,13.3,12.58,12.91,756647.0,13.014,4971
2,2023-09-27,13.01,13.12,12.68,12.85,601052.0,12.877,3686
3,2023-09-28,12.87,13.37,12.71,13.35,510660.0,13.174,3355
4,2023-09-29,13.62,13.84,13.5,13.61,757338.0,13.647,4644
5,2023-10-02,13.61,13.99,13.46,13.87,725815.0,13.839,4763
6,2023-10-03,13.82,13.98,13.49,13.58,1106089.0,13.68,6686
7,2023-10-04,13.63,14.03,13.53,13.89,672479.0,13.867,4586
8,2023-10-05,13.78,14.02,13.33,13.98,771596.0,13.816,5097
9,2023-10-06,13.76,14.38,13.62,13.99,663184.0,14.071,3932
10,2023-10-09,13.94,14.69,13.76,14.57,786937.0,14.448,5533
11,2023-10-10,14.57,15.27,14.51,14.74,1327554.0,14.925,7223
12,2023-10-11,14.89,15.24,14.44,14.74,1174186.0,14.723,6444
13,2023-10-12,14.7,14.75,14.3,14.69,649336.0,14.584,4249
14,2023-10-13,14.6,14.73,14.27,14.51,611029.0,14.462,4022
15,2023-10-16,14.7,15.31,14.7,15.13,660148.0,15.104,4502
16,2023-10-17,14.87,15.39,14.84,15.04,754900.0,15.143,4891
17,2023-10-18,14.9,14.97,14.51,14.56,403721.0,14.644,2748
18,2023-10-19,14.55,14.69,14.01,14.03,876983.0,14.219,5276
19,2023-10-20,13.77,13.98,13.49,13.59,1447792.0,13.715,8325
20,2023-10-23,13.46,13.81,13.3,13.34,1191624.0,13.513,6998
21,2023-10-24,13.67,13.97,13.37,13.6,963311.0,13.612,5984
22,2023-10-25,13.4,13.56,13.08,13.13,1003636.0,13.303,6262
23,2023-10-26,13.09,13.45,12.66,13.25,734134.0,13.188,4977
24,2023-10-27,13.32,13.45,12.83,12.98,670423.0,13.041,4503
25,2023-10-30,13.11,13.36,12.9,12.99,634011.0,13.016,4037
26,2023-10-31,12.95,13.96,12.95,13.75,996940.0,13.737,6100
27,2023-11-01,13.63,13.81,13.29,13.5,1088500.0,13.545,7156
28,2023-11-02,13.19,13.5,12.42,13.35,2229293.0,13.003,13256
29,2023-11-03,13.73,14.37,13.27,13.35,1130456.0,13.596,7755
30,2023-11-06,13.33,13.4,12.98,13.33,816651.0,13.212,5390
31,2023-11-07,13.24,14.02,13.24,13.92,789912.0,13.838,4888
32,2023-11-08,13.95,13.95,13.53,13.56,583843.0,13.689,3632
33,2023-11-09,13.61,13.69,12.99,13.11,568724.0,13.306,3741
34,2023-11-10,13.12,13.27,12.85,13.15,478600.0,13.097,2993
35,2023-11-13,12.98,13.01,12.63,12.69,655913.0,12.776,4121
36,2023-11-14,13.25,13.76,13.2,13.7,802659.0,13.623,4623
37,2023-11-15,13.84,14.55,13.84,14.28,584321.0,14.295,3860
38,2023-11-16,14.06,14.13,13.61,13.8,444627.0,13.823,2921
39,2023-11-17,13.96,14.25,13.86,14.03,570675.0,14.035,3635
40,2023-11-20,14.01,14.84,13.96,14.84,758839.0,14.56,4679
41,2023-11-21,14.65,14.77,14.4,14.58,700405.0,14.538,4485
42,2023-11-22,14.71,14.99,14.54,14.66,510335.0,14.757,2912
43,2023-11-24,14.62,14.91,14.55,14.82,262494.0,14.773,1783
44,2023-11-27,14.7,14.78,14.25,14.31,826053.0,14.471,5247
45,2023-11-28,14.2,14.35,13.82,14.22,782118.0,14.17,4760
46,2023-11-29,14.45,14.85,13.94,13.96,895148.0,14.257,5613
47,2023-11-30,13.9,14.03,13.24,13.32,687555.0,13.47,4555
48,2023-12-01,13.35,14.57,13.26,14.56,1156242.0,14.231,5374
49,2023-12-04,14.6,14.92,14.17,14.4,893856.0,14.392,5622
50,2023-12-05,14.25,14.47,13.9,13.92,520263.0,14.094,3380
51,2023-12-06,14.1,14.45,13.87,13.93,823667.0,14.059,4914
52,2023-12-07,13.87,15.4,13.76,15.39,1331249.0,15.016,7491
53,2023-12-08,15.57,16.1,15.29,15.48,1058041.0,15.734,6179
54,2023-12-11,15.4,16.16,15.37,16.09,853042.0,15.936,4848
55,2023-12-12,16.01,16.33,15.6,16.11,1030134.0,16.015,5777
56,2023-12-13,16.0,16.56,15.65,16.53,1154994.0,16.099,6823
57,2023-12-14,17.12,17.8,17.0,17.71,1597188.0,17.447,7920
58,2023-12-15,17.83,18.22,17.66,17.88,1043535.0,17.892,5789
59,2023-12-18,17.96,18.22,17.82,17.93,1023526.0,17.974,7058
60,2023-12-19,18.14,18.66,18.01,18.61,583741.0,18.475,3731
61,2023-12-20,18.7,19.11,17.98,17.99,536853.0,18.459,3594
62,2023-12-21,18.3,18.42,17.74,18.13,517820.0,17.98,3352
63,2023-12-22,17.84,18.23,17.58,17.68,582031.0,17.774,3109
64,2023-12-26,17.8,17.86,17.38,17.73,372047.0,17.697,2324
65,2023-12-27,17.81,17.93,17.25,17.59,350160.0,17.481,2533
66,2023-12-28,17.51,17.61,17.24,17.26,420762.0,17.358,2826
67,2023-12-29,17.2,17.35,16.54,16.58,461644.0,16.787,3450
68,2024-01-02,16.56,17.43,16.35,16.66,796620.0,16.86,5321
69,2024-01-03,16.32,16.41,15.49,15.88,927640.0,15.853,6304
70,2024-01-04,15.31,15.61,15.04,15.39,920160.0,15.376,5307
71,2024-01-05,15.23,15.52,14.87,14.89,553599.0,15.085,3553
72,2024-01-08,14.94,15.63,14.8,15.49,516164.0,15.423,3577
73,2024-01-09,15.3,15.47,15.05,15.14,483732.0,15.275,3087
74,2024-01-10,14.41,14.87,14.21,14.81,1077956.0,14.614,6308
75,2024-01-11,14.82,14.89,14.35,14.67,699498.0,14.591,4140
76,2024-01-12,14.98,15.25,14.55,14.55,629475.0,14.786,4184
77,2024-01-16,14.4,14.6,14.22,14.4,479819.0,14.44,3339
78,2024-01-17,15.02,15.1,14.36,14.8,930801.0,14.643,5300
79,2024-01-18,14.8,14.86,14.08,14.45,685033.0,14.351,3922
80,2024-01-19,14.61,14.61,13.96,14.44,634159.0,14.242,4334
81,2024-01-22,14.53,15.1,14.43,14.99,873942.0,14.875,5760
82,2024-01-23,15.28,15.53,14.98,15.11,509167.0,15.161,3447
83,2024-01-24,15.38,15.38,14.8,15.18,582157.0,15.078,3498
84,2024-01-25,15.39,15.53,15.12,15.45,392110.0,15.403,2718
85,2024-01-26,15.62,15.79,15.29,15.35,569942.0,15.511,3493
86,2024-01-29,15.35,15.57,15.18,15.44,502459.0,15.42,3388
87,2024-01-30,15.24,15.33,14.73,14.92,972835.0,14.982,5893
88,2024-01-31,14.82,15.09,14.34,14.41,381188.0,14.681,2734
89,2024-02-01,14.62,14.76,14.04,14.54,343258.0,14.377,2380
