,date,open,high,low,close,volume,average,barCount
0,2023-10-06,128.73,131.47,128.15,130.92,474412.0,130.375,3480
1,2023-10-09,129.0,129.94,128.4,129.91,676763.0,129.348,4601
2,2023-10-10,131.03,131.77,130.57,131.2,577742.0,131.324,4003
3,2023-10-11,131.7,132.57,131.47,132.39,455393.0,132.108,3686
4,2023-10-12,132.54,133.18,131.27,131.66,647974.0,132.17,4997
5,2023-10-13,130.7,130.8,127.8,128.79,733454.0,128.71,5836
6,2023-10-16,129.3,130.87,128.98,130.7,1352891.0,130.142,10100
7,2023-10-17,128.8,131.03,128.43,130.49,656505.0,129.949,5007
8,2023-10-18,128.23,129.12,127.3,127.61,1132761.0,127.863,9213
9,2023-10-19,134.42,135.8,133.14,133.38,1346762.0,134.254,9903
10,2023-10-20,132.67,132.99,130.65,130.7,827637.0,131.52,6667
11,2023-10-23,131.15,132.83,130.08,132.2,456006.0,131.819,3366
12,2023-10-24,133.02,133.83,132.59,133.67,371110.0,133.233,2549
13,2023-10-25,132.44,132.89,130.67,130.71,466433.0,131.455,3666
14,2023-10-26,131.95,132.43,130.63,131.22,656589.0,131.55,4269
15,2023-10-27,132.57,132.96,131.02,131.39,388867.0,131.839,2945
16,2023-10-30,132.77,134.09,132.33,133.65,460115.0,133.291,3374
17,2023-10-31,133.84,134.42,133.46,134.0,454375.0,133.891,3148
18,2023-11-01,134.24,136.09,134.18,136.08,345625.0,135.118,2718
19,2023-11-02,138.87,139.18,137.98,138.58,436167.0,138.593,3301
20,2023-11-03,138.74,139.44,138.14,138.98,424199.0,138.892,3262
21,2023-11-06,138.44,138.79,137.77,138.55,295637.0,138.33,2175
22,2023-11-07,140.09,141.47,139.76,140.66,247718.0,140.643,1812
23,2023-11-08,141.73,142.64,141.71,142.17,380085.0,142.186,2777
24,2023-11-09,143.05,144.32,142.39,142.45,435124.0,143.258,3266
25,2023-11-10,143.34,145.15,143.01,145.1,361930.0,144.217,2545
26,2023-11-13,143.9,145.1,143.71,145.03,207890.0,144.659,1524
27,2023-11-14,148.09,148.25,146.98,147.66,407896.0,147.694,3217
28,2023-11-15,148.1,149.14,147.6,148.52,438253.0,148.471,2686
29,2023-11-16,148.68,149.66,148.1,148.59,470183.0,148.828,2935
30,2023-11-17,149.3,150.09,148.94,149.95,238651.0,149.563,1711
31,2023-11-20,152.61,153.48,152.48,153.3,406110.0,153.016,2900
32,2023-11-21,153.1,153.56,152.23,152.5,335192.0,152.697,2554
33,2023-11-22,154.31,154.48,153.01,153.16,322195.0,153.517,2553
34,2023-11-24,154.27,154.53,153.9,154.19,148497.0,154.236,1106
35,2023-11-27,154.56,155.31,154.44,154.94,368942.0,154.935,2734
36,2023-11-28,155.5,156.72,155.37,156.3,287151.0,156.147,1998
37,2023-11-29,158.28,159.08,158.05,158.63,326007.0,158.621,2305
38,2023-11-30,159.16,159.37,157.97,159.12,436587.0,158.755,3345
39,2023-12-01,158.39,160.36,158.15,160.09,494983.0,159.353,3525
40,2023-12-04,158.77,159.5,157.9,159.27,398556.0,158.826,2636
41,2023-12-05,158.46,159.44,158.26,159.36,319654.0,159.006,2371
42,2023-12-06,159.83,159.94,158.06,158.1,341868.0,158.823,2569
43,2023-12-07,158.58,159.47,158.29,159.34,361487.0,159.055,2701
44,2023-12-08,158.35,160.23,158.24,160.16,278254.0,159.411,2203
45,2023-12-11,156.51,159.18,156.51,159.13,511928.0,158.23,3782
46,2023-12-12,157.79,159.18,157.79,158.26,434848.0,158.453,3242
47,2023-12-13,158.48,159.84,157.44,159.77,542473.0,158.651,3907
48,2023-12-14,156.68,157.15,155.13,156.01,602017.0,156.242,4228
49,2023-12-15,154.4,154.77,153.2,153.5,498449.0,153.999,3478
50,2023-12-18,154.48,155.13,153.64,154.9,545922.0,154.548,3697
51,2023-12-19,155.24,155.52,151.0,155.08,658525.0,154.254,3962
52,2023-12-20,153.45,153.66,150.88,151.14,436415.0,152.121,3358
53,2023-12-21,151.41,152.21,150.84,152.18,436322.0,151.486,3181
54,2023-12-22,152.03,152.89,151.87,152.7,238037.0,152.47,1786
55,2023-12-26,152.52,153.44,152.52,153.18,122123.0,153.122,966
56,2023-12-27,154.86,156.0,154.82,155.9,525467.0,155.623,4145
57,2023-12-28,155.14,155.56,154.33,154.33,475912.0,154.897,3649
58,2023-12-29,154.0,155.06,154.0,154.59,219996.0,154.586,1874
59,2024-01-02,151.14,151.28,149.73,150.21,432426.0,150.266,3125
60,2024-01-03,150.0,150.47,149.43,149.79,531703.0,149.862,3468
61,2024-01-04,149.54,149.75,148.38,148.52,434329.0,148.99,3369
62,2024-01-05,149.47,151.09,149.44,149.85,337282.0,150.079,2547
63,2024-01-08,151.44,152.69,151.36,152.56,325897.0,152.274,2521
64,2024-01-09,151.16,152.45,151.16,152.15,254418.0,152.04,1849
65,2024-01-10,154.86,156.26,154.24,155.84,602290.0,155.693,4184
66,2024-01-11,156.65,157.26,154.96,156.51,268353.0,156.063,2042
67,2024-01-12,157.98,158.93,157.67,158.54,324359.0,158.474,2480
68,2024-01-16,156.8,157.45,156.28,156.82,271855.0,156.843,2137
69,2024-01-17,156.84,157.91,155.82,157.78,310905.0,157.178,2433
70,2024-01-18,159.01,160.53,158.94,160.43,545605.0,159.768,4001
71,2024-01-19,161.18,163.72,161.13,163.45,409676.0,162.671,3213
72,2024-01-22,162.88,163.73,162.69,163.21,402668.0,163.126,3176
73,2024-01-23,161.19,163.39,161.07,163.38,646916.0,162.288,4567
74,2024-01-24,174.55,176.39,173.26,174.61,1365650.0,175.06,9771
75,2024-01-25,175.95,175.97,172.32,173.44,860758.0,173.868,6391
76,2024-01-26,173.31,174.12,173.04,173.68,433319.0,173.618,3250
77,2024-01-29,174.16,176.45,173.94,176.34,347035.0,175.324,2678
78,2024-01-30,176.4,176.6,175.25,175.73,375389.0,175.897,2777
79,2024-01-31,175.67,176.08,173.05,173.1,408837.0,174.514,2648
80,2024-02-01,175.11,177.32,174.95,177.22,358134.0,176.115,2467
81,2024-02-02,176.5,177.55,175.65,177.06,529708.0,176.809,3790
82,2024-02-05,176.28,177.49,175.84,177.04,296934.0,176.808,2167
83,2024-02-06,179.21,179.43,178.04,178.79,334139.0,178.662,2449
84,2024-02-07,180.07,181.57,179.94,181.18,341161.0,180.891,2605
85,2024-02-08,180.5,181.18,180.26,181.16,269113.0,180.778,1879
86,2024-02-09,181.66,181.94,180.84,181.55,250992.0,181.402,1752
87,2024-02-12,179.89,180.83,179.08,179.39,370322.0,179.691,2397
88,2024-02-13,173.25,174.6,173.09,173.98,599338.0,173.913,4124
89,2024-02-14,175.87,177.18,175.83,177.04,109760.0,176.582,649
