,date,open,high,low,close,volume,average,barCount
0,2023-10-06,92.0,93.34,91.67,92.85,4282459.0,92.677,27628
1,2023-10-09,92.45,92.79,91.43,92.68,2516074.0,92.282,17437
2,2023-10-10,92.96,93.97,92.87,93.18,2785650.0,93.399,19506
3,2023-10-11,93.29,93.63,91.84,91.95,2671970.0,92.283,18535
4,2023-10-12,91.81,92.25,90.77,91.42,3589335.0,91.399,24437
5,2023-10-13,91.28,92.06,91.05,91.48,2490528.0,91.548,17215
6,2023-10-16,92.17,93.86,91.85,93.65,2726557.0,93.276,18167
7,2023-10-17,92.75,94.19,92.63,94.18,3664338.0,93.69,25065
8,2023-10-18,93.89,94.53,93.5,93.75,2462822.0,94.058,15902
9,2023-10-19,94.43,95.66,94.17,94.42,3335327.0,94.786,21481
10,2023-10-20,94.62,95.09,94.14,94.19,2709850.0,94.559,16050
11,2023-10-23,93.92,95.03,93.29,94.2,2746424.0,94.248,18416
12,2023-10-24,94.28,94.98,94.06,94.62,1907910.0,94.484,12835
13,2023-10-25,94.32,95.36,93.97,94.0,3206841.0,94.468,18747
14,2023-10-26,93.75,94.48,92.6,92.67,3904642.0,93.322,23726
15,2023-10-27,92.7,93.73,91.77,92.02,5116994.0,92.568,35383
16,2023-10-30,93.07,93.71,92.72,93.15,4854512.0,93.281,32110
17,2023-10-31,93.17,93.32,91.99,92.24,5588485.0,92.62,37730
18,2023-11-01,91.84,91.9,90.55,91.35,9457075.0,91.241,53413
19,2023-11-02,100.98,101.92,99.74,100.01,13986097.0,100.778,80788
20,2023-11-03,100.66,103.77,100.5,102.65,10877839.0,102.691,48751
21,2023-11-06,103.01,104.09,101.97,104.03,4209329.0,103.47,25518
22,2023-11-07,104.2,104.39,103.32,103.68,3221578.0,103.778,21221
23,2023-11-08,103.74,104.82,103.65,104.3,3597401.0,104.408,23024
24,2023-11-09,104.3,104.46,102.03,102.23,4644179.0,102.854,27178
25,2023-11-10,102.6,104.35,101.98,104.33,3949780.0,103.194,25652
26,2023-11-13,103.9,104.23,102.95,103.51,3923084.0,103.595,25805
