,date,open,high,low,close,volume,average,barCount
0,2023-09-25,16.39,16.7,16.33,16.68,194843.0,16.618,1335
1,2023-09-26,16.46,16.87,16.3,16.37,277935.0,16.518,1485
2,2023-09-27,16.52,16.6,16.22,16.29,321932.0,16.365,2360
3,2023-09-28,16.35,16.69,16.34,16.5,329683.0,16.51,2173
4,2023-09-29,16.66,17.14,16.63,16.96,280612.0,16.936,2032
5,2023-10-02,16.94,17.01,16.44,16.56,280338.0,16.593,1829
6,2023-10-03,16.39,16.46,16.19,16.34,204163.0,16.339,1511
7,2023-10-04,16.33,16.54,16.15,16.46,190906.0,16.412,1366
8,2023-10-05,16.46,16.79,16.36,16.72,211721.0,16.624,1368
9,2023-10-06,16.5,16.93,16.27,16.77,196605.0,16.73,1284
10,2023-10-09,16.59,16.81,16.48,16.67,172217.0,16.676,1066
11,2023-10-10,16.77,16.94,16.71,16.77,178600.0,16.799,1398
12,2023-10-11,16.78,17.06,16.61,16.72,193530.0,16.734,1361
13,2023-10-12,16.74,16.74,16.22,16.4,192258.0,16.381,1412
14,2023-10-13,16.58,16.59,15.99,16.08,212318.0,16.147,1358
15,2023-10-16,16.19,16.48,16.19,16.32,263682.0,16.307,1804
16,2023-10-17,16.22,16.79,16.22,16.56,570253.0,16.59,3589
17,2023-10-18,16.41,16.41,16.01,16.16,225781.0,16.174,1711
18,2023-10-19,16.21,16.48,15.94,15.99,271755.0,16.158,1951
19,2023-10-20,16.03,16.03,15.44,15.47,369247.0,15.648,2380
20,2023-10-23,15.44,15.67,15.33,15.35,368156.0,15.469,2823
21,2023-10-24,15.38,15.66,14.33,14.48,396576.0,14.641,2783
22,2023-10-25,14.19,14.39,13.36,14.1,692557.0,13.772,4250
23,2023-10-26,14.2,14.8,14.2,14.62,354895.0,14.526,2480
24,2023-10-27,14.6,14.6,14.08,14.21,226696.0,14.229,1741
25,2023-10-30,14.38,14.56,14.19,14.4,380303.0,14.416,2484
26,2023-10-31,14.41,15.29,14.14,14.21,170973.0,14.241,1159
27,2023-11-01,14.27,14.5,14.07,14.44,190216.0,14.361,1459
28,2023-11-02,14.57,15.15,14.57,15.14,246408.0,15.005,1730
29,2023-11-03,15.64,16.08,15.6,15.71,269889.0,15.781,1880
30,2023-11-06,15.68,15.89,15.47,15.54,171782.0,15.585,1371
31,2023-11-07,15.47,15.78,15.29,15.42,144447.0,15.46,1056
32,2023-11-08,15.4,15.4,14.97,15.1,166060.0,15.083,1082
33,2023-11-09,15.11,15.15,14.67,14.84,371024.0,14.845,2062
34,2023-11-10,15.08,15.08,14.61,14.85,204857.0,14.824,1359
35,2023-11-13,14.72,15.26,14.59,15.19,471765.0,14.975,1485
36,2023-11-14,15.84,16.59,15.73,16.32,305757.0,16.304,2193
37,2023-11-15,16.27,16.7,16.27,16.63,214068.0,16.593,1581
38,2023-11-16,16.64,16.71,16.26,16.41,147390.0,16.392,1098
39,2023-11-17,16.59,16.69,16.42,16.51,385622.0,16.528,1971
40,2023-11-20,16.49,16.5,16.21,16.43,133553.0,16.409,946
41,2023-11-21,16.25,16.4,16.0,16.16,205250.0,16.116,1169
42,2023-11-22,16.34,16.38,16.06,16.2,134251.0,16.19,999
43,2023-11-24,16.26,16.4,16.07,16.16,57660.0,16.179,413
44,2023-11-27,16.03,16.09,15.88,15.99,98713.0,16.01,694
