,date,open,high,low,close,volume,average,barCount
0,2023-09-25,29.95,30.95,29.85,30.5,217305.0,30.604,1728
1,2023-09-26,30.18,30.46,28.95,29.01,411743.0,29.426,1774
2,2023-09-27,29.36,29.82,27.76,28.3,598842.0,28.179,4524
3,2023-09-28,28.35,29.88,28.18,29.28,305984.0,29.36,2156
4,2023-09-29,29.65,29.82,28.94,29.25,241518.0,29.275,1969
5,2023-10-02,29.17,29.48,28.97,29.23,233613.0,29.218,1630
6,2023-10-03,28.9,29.22,27.91,27.98,490052.0,28.51,2974
7,2023-10-04,28.09,28.28,27.16,27.3,652997.0,27.439,3228
8,2023-10-05,27.16,27.52,26.46,27.21,311231.0,27.051,2260
9,2023-10-06,27.01,28.13,26.19,27.71,325900.0,27.462,2276
10,2023-10-09,27.56,27.93,27.15,27.59,434809.0,27.557,2193
11,2023-10-10,27.63,28.82,27.61,28.16,474152.0,28.364,3081
12,2023-10-11,28.2,28.3,25.28,25.76,672997.0,26.097,3582
13,2023-10-12,25.74,25.99,23.5,23.54,713285.0,24.384,3996
14,2023-10-13,23.59,24.29,23.11,23.53,866427.0,23.834,4718
15,2023-10-16,23.71,24.32,23.47,23.89,644883.0,23.963,4123
16,2023-10-17,23.83,25.67,23.66,25.37,759398.0,25.269,5183
17,2023-10-18,25.05,25.54,24.85,25.1,406984.0,25.115,2845
18,2023-10-19,25.11,25.95,24.52,25.71,552198.0,25.53,3722
19,2023-10-20,25.79,25.83,24.45,24.58,881252.0,25.198,5239
20,2023-10-23,24.55,25.25,24.18,24.89,310703.0,24.934,2306
21,2023-10-24,24.68,25.04,24.07,24.28,560444.0,24.352,4082
22,2023-10-25,23.96,24.1,22.65,22.87,451789.0,23.059,3382
23,2023-10-26,22.93,23.16,22.4,22.58,531861.0,22.633,4080
24,2023-10-27,22.87,23.06,22.19,22.42,333376.0,22.579,2501
25,2023-10-30,22.77,22.82,22.05,22.32,452149.0,22.288,3291
26,2023-10-31,22.45,23.3,22.45,23.13,341421.0,23.033,2449
27,2023-11-01,23.02,23.11,22.27,22.65,442640.0,22.706,2990
28,2023-11-02,23.12,23.96,23.12,23.89,397026.0,23.664,2868
29,2023-11-03,24.6,25.6,24.6,24.89,1107726.0,25.143,5525
30,2023-11-06,24.91,25.43,24.36,24.81,1132511.0,24.724,6380
31,2023-11-07,26.5,29.32,26.31,28.28,1282961.0,28.319,7648
32,2023-11-08,28.22,28.94,27.23,27.38,904839.0,27.694,5341
33,2023-11-09,27.73,27.92,25.62,25.62,670615.0,26.322,4902
34,2023-11-10,25.79,26.47,25.16,26.18,734852.0,25.978,4009
35,2023-11-13,26.12,27.25,25.68,26.7,430574.0,26.751,2644
36,2023-11-14,28.83,30.49,28.83,30.18,850336.0,29.989,5629
37,2023-11-15,30.05,31.54,29.74,31.08,795905.0,31.076,5947
38,2023-11-16,30.95,31.34,30.06,30.79,747626.0,30.739,5327
39,2023-11-17,31.4,32.56,31.33,32.24,757924.0,32.135,4168
40,2023-11-20,32.01,32.76,31.89,32.11,484002.0,32.265,3685
41,2023-11-21,31.75,32.38,31.64,32.03,445485.0,32.025,2254
42,2023-11-22,32.58,33.23,32.27,32.84,579478.0,32.721,2197
43,2023-11-24,32.77,33.0,32.35,32.75,115929.0,32.598,893
44,2023-11-27,32.47,32.78,31.58,32.27,284505.0,32.357,2040
45,2023-11-28,32.01,32.49,31.82,32.03,321408.0,32.107,2286
46,2023-11-29,32.39,33.21,32.14,32.31,294782.0,32.565,1638
47,2023-11-30,32.49,33.09,32.08,32.75,473486.0,32.759,3132
48,2023-12-01,32.55,34.12,32.08,34.05,346556.0,33.681,2724
49,2023-12-04,34.03,35.64,33.88,35.51,425031.0,35.109,2993
50,2023-12-05,35.0,35.15,33.66,33.82,639066.0,34.308,3366
51,2023-12-06,34.58,34.84,32.84,32.88,370749.0,33.623,2374
52,2023-12-07,33.26,33.26,31.85,32.48,793799.0,32.207,4657
53,2023-12-08,32.33,32.53,31.95,31.98,450034.0,32.141,3477
54,2023-12-11,31.9,32.66,31.75,32.23,468235.0,32.218,3473
55,2023-12-12,32.18,32.78,31.5,32.55,241716.0,32.27,1704
56,2023-12-13,32.26,34.41,31.92,34.3,518128.0,33.233,3080
57,2023-12-14,35.54,36.92,34.85,35.38,333222.0,35.633,2525
58,2023-12-15,32.95,33.7,32.17,32.45,1746019.0,33.017,10061
59,2023-12-18,32.62,33.15,32.32,32.8,723121.0,32.704,5532
60,2023-12-19,33.0,33.49,32.42,32.54,528369.0,32.747,4056
61,2023-12-20,32.47,33.69,31.99,32.04,1096121.0,32.799,5193
62,2023-12-21,32.73,33.25,32.02,33.09,629700.0,33.01,3905
63,2023-12-22,32.8,33.21,31.97,32.23,401366.0,32.366,3151
64,2023-12-26,32.45,32.61,32.17,32.31,191533.0,32.392,1536
65,2023-12-27,32.52,32.52,31.9,32.33,281475.0,32.129,1856
66,2023-12-28,32.15,32.57,31.95,32.17,316430.0,32.135,2020
67,2023-12-29,32.12,32.12,31.36,31.99,508548.0,31.847,2980
68,2024-01-02,31.6,32.5,31.17,31.63,361369.0,31.748,2633
69,2024-01-03,31.14,31.3,30.14,30.37,484242.0,30.535,3548
70,2024-01-04,30.4,30.95,30.27,30.46,469685.0,30.584,2598
71,2024-01-05,30.21,31.27,30.07,31.06,428995.0,31.033,3087
72,2024-01-08,31.16,34.46,31.08,33.98,1331474.0,33.677,8609
73,2024-01-09,33.93,34.22,33.27,33.28,743997.0,33.69,3922
74,2024-01-10,33.16,33.17,32.33,32.88,273041.0,32.876,1821
75,2024-01-11,32.53,32.72,31.97,32.62,332679.0,32.507,2483
76,2024-01-12,33.16,33.64,32.33,32.46,412151.0,32.603,3041
77,2024-01-16,31.83,32.31,31.64,31.72,320291.0,31.818,2067
78,2024-01-17,31.01,31.82,30.64,30.92,184491.0,30.992,1536
79,2024-01-18,31.47,32.27,31.27,32.22,397967.0,31.929,2547
80,2024-01-19,32.46,32.65,31.66,32.09,415285.0,32.093,2099
81,2024-01-22,32.6,33.85,32.17,32.23,387663.0,32.912,2304
82,2024-01-23,32.95,33.28,31.17,31.23,311833.0,31.43,2508
83,2024-01-24,32.33,32.34,30.35,30.75,386113.0,30.742,2336
84,2024-01-25,31.26,32.08,30.69,31.54,448511.0,31.406,2803
85,2024-01-26,31.74,32.17,31.59,31.67,453011.0,31.827,2328
86,2024-01-29,31.54,32.43,31.28,32.26,453176.0,31.881,3055
87,2024-01-30,32.01,32.22,31.05,31.28,562499.0,31.379,2967
88,2024-01-31,31.33,31.7,30.65,30.69,524635.0,31.082,4019
89,2024-02-01,30.93,32.76,30.79,32.53,706763.0,32.091,4538
