,date,open,high,low,close,volume,average,barCount
0,2023-10-06,11.24,11.72,11.18,11.6,897449.0,11.524,5481
1,2023-10-09,11.35,11.5,11.18,11.27,817027.0,11.31,4838
2,2023-10-10,11.34,11.71,11.34,11.49,544004.0,11.517,3487
3,2023-10-11,11.18,11.25,10.82,11.24,1125502.0,11.098,5682
4,2023-10-12,11.19,11.25,10.84,11.02,707649.0,11.078,4304
5,2023-10-13,11.02,11.16,10.78,10.93,631352.0,10.881,3426
6,2023-10-16,11.0,11.37,10.85,11.23,528628.0,11.203,3567
7,2023-10-17,11.11,11.82,11.11,11.68,559164.0,11.63,3650
8,2023-10-18,11.56,11.63,10.93,10.95,550651.0,11.09,3162
9,2023-10-19,10.95,11.12,10.75,10.92,895565.0,10.962,5981
10,2023-10-20,10.94,11.07,10.71,10.92,488440.0,10.91,2916
11,2023-10-23,10.78,11.02,10.57,10.82,460117.0,10.824,3012
12,2023-10-24,10.95,11.06,10.61,10.9,1004232.0,10.908,4514
13,2023-10-25,10.53,10.68,9.97,10.15,1011714.0,10.188,5464
14,2023-10-26,10.25,10.55,9.83,10.19,741502.0,10.158,4879
15,2023-10-27,10.36,10.55,10.08,10.25,734276.0,10.314,4282
16,2023-10-30,10.44,10.86,10.4,10.7,979746.0,10.661,5830
17,2023-10-31,10.76,10.82,10.31,10.33,1196689.0,10.465,5732
18,2023-11-01,10.27,10.45,10.07,10.44,820294.0,10.236,5272
19,2023-11-02,10.84,11.35,10.8,11.07,2109013.0,11.145,9677
20,2023-11-03,10.9,11.12,9.49,9.73,3146394.0,10.057,16219
21,2023-11-06,9.75,10.16,9.64,10.16,1326694.0,9.974,8703
22,2023-11-07,10.18,10.22,9.43,9.86,1437773.0,9.757,7434
23,2023-11-08,9.86,9.86,9.42,9.51,786646.0,9.565,3961
24,2023-11-09,9.51,9.51,8.93,8.99,1509780.0,9.114,7845
25,2023-11-10,8.98,9.01,8.64,8.92,1277666.0,8.836,7293
26,2023-11-13,8.88,9.36,8.83,9.26,1328408.0,9.156,6196
27,2023-11-14,9.83,10.35,9.69,10.32,1503133.0,10.145,8086
28,2023-11-15,10.35,10.55,9.98,10.18,1199838.0,10.266,7075
29,2023-11-16,10.09,10.09,9.73,9.87,1167064.0,9.874,6740
30,2023-11-17,9.99,9.99,9.72,9.84,1211046.0,9.86,5964
31,2023-11-20,9.9,9.95,9.63,9.9,1397485.0,9.839,7003
32,2023-11-21,9.67,9.81,9.48,9.48,1239323.0,9.56,6050
33,2023-11-22,9.6,9.78,9.41,9.55,1110495.0,9.549,6765
34,2023-11-24,9.48,9.64,9.45,9.6,373295.0,9.554,2564
35,2023-11-27,9.63,9.74,9.21,9.39,1544094.0,9.457,7443
36,2023-11-28,9.4,9.75,9.32,9.6,1063544.0,9.607,5578
37,2023-11-29,9.68,9.76,9.42,9.7,1167042.0,9.584,5956
38,2023-11-30,9.79,9.88,9.4,9.41,931637.0,9.63,4833
39,2023-12-01,9.36,9.99,9.3,9.96,1190513.0,9.695,6762
40,2023-12-04,9.96,10.15,9.8,9.96,1107775.0,9.955,6642
41,2023-12-05,9.87,9.87,9.58,9.79,1221714.0,9.715,4937
42,2023-12-06,9.95,10.88,9.82,10.56,2032360.0,10.546,10047
43,2023-12-07,10.54,10.61,10.24,10.4,703393.0,10.43,4035
44,2023-12-08,10.33,10.47,10.16,10.31,804331.0,10.309,4949
45,2023-12-11,10.28,10.44,10.15,10.35,979350.0,10.313,5882
46,2023-12-12,10.34,10.38,10.05,10.25,807754.0,10.203,4850
47,2023-12-13,10.28,10.97,10.17,10.9,911522.0,10.658,5982
48,2023-12-14,11.05,11.8,11.0,11.76,2031495.0,11.592,10842
49,2023-12-15,11.77,11.88,10.69,10.79,1490229.0,11.112,7900
50,2023-12-18,10.82,11.16,10.53,10.76,747766.0,10.823,4400
51,2023-12-19,10.89,11.35,10.73,11.21,1165037.0,11.076,5412
52,2023-12-20,11.32,11.52,10.78,10.81,1375886.0,11.16,5975
53,2023-12-21,11.01,11.48,10.95,11.42,895875.0,11.245,4943
54,2023-12-22,11.43,11.64,11.38,11.52,616397.0,11.54,3838
55,2023-12-26,11.48,11.72,11.4,11.5,630809.0,11.573,3282
56,2023-12-27,11.56,11.64,11.29,11.39,469048.0,11.421,2829
57,2023-12-28,11.33,11.58,11.22,11.31,571897.0,11.348,2800
58,2023-12-29,11.28,11.42,10.92,11.3,928840.0,11.231,5057
59,2024-01-02,11.08,11.3,10.87,11.07,875566.0,11.071,5570
60,2024-01-03,10.86,10.92,10.24,10.25,903599.0,10.447,5541
61,2024-01-04,10.18,10.43,10.06,10.41,984217.0,10.291,5993
62,2024-01-05,10.37,10.95,10.32,10.38,917522.0,10.538,5221
63,2024-01-08,10.42,10.81,10.32,10.8,725041.0,10.67,4686
64,2024-01-09,10.56,10.89,10.5,10.58,940908.0,10.703,4935
65,2024-01-10,10.54,11.01,10.3,10.66,987230.0,10.724,5882
66,2024-01-11,10.63,10.9,10.2,10.83,1140778.0,10.621,6169
67,2024-01-12,10.92,11.39,10.79,10.97,1014488.0,11.074,5744
68,2024-01-16,10.47,10.71,10.1,10.15,1447942.0,10.332,7805
69,2024-01-17,9.84,10.35,9.66,10.27,1559491.0,10.177,7817
70,2024-01-18,10.5,10.56,10.09,10.33,919846.0,10.338,5116
71,2024-01-19,10.33,10.64,10.07,10.62,1464468.0,10.389,7548
72,2024-01-22,10.81,11.0,10.15,10.36,1417431.0,10.448,8452
73,2024-01-23,10.57,10.57,10.09,10.25,983640.0,10.262,6230
74,2024-01-24,10.4,10.45,10.17,10.25,706879.0,10.274,4351
75,2024-01-25,10.41,10.52,10.21,10.42,701371.0,10.336,4167
76,2024-01-26,10.51,10.69,10.41,10.49,482431.0,10.535,2933
77,2024-01-29,10.54,11.16,10.46,11.15,1111082.0,10.971,5697
78,2024-01-30,11.07,11.14,10.86,10.94,594899.0,10.95,3973
79,2024-01-31,10.95,11.22,10.68,10.68,1069832.0,10.911,6808
80,2024-02-01,10.74,11.09,10.34,11.04,1000126.0,10.782,5884
81,2024-02-02,10.88,11.28,10.77,11.18,758389.0,11.133,4313
82,2024-02-05,10.94,11.19,10.45,10.82,1057162.0,10.853,6161
83,2024-02-06,10.78,11.12,10.73,10.91,676233.0,10.912,4297
84,2024-02-07,10.97,11.24,10.9,11.19,1139257.0,11.12,5764
85,2024-02-08,11.25,11.96,11.16,11.88,1828780.0,11.76,10615
86,2024-02-09,12.0,12.27,11.86,12.09,965399.0,12.073,6044
87,2024-02-12,12.03,12.55,12.03,12.49,1256453.0,12.389,7489
88,2024-02-13,11.75,12.2,11.6,11.8,1273207.0,11.863,7250
89,2024-02-14,12.05,12.26,11.77,12.0,381100.0,12.072,2115
