,date,open,high,low,close,volume,average,barCount
0,2023-09-25,20.0,20.58,19.89,20.24,702877.0,20.216,4454
1,2023-09-26,19.97,20.63,19.93,20.1,1166218.0,20.336,6607
2,2023-09-27,20.36,20.56,19.55,19.64,1592484.0,19.925,7164
3,2023-09-28,19.76,19.76,18.45,18.9,3698295.0,18.877,19884
4,2023-09-29,19.08,19.57,18.12,18.25,2916755.0,18.448,16854
5,2023-10-02,18.2,18.2,16.7,17.14,3785599.0,17.225,20896
6,2023-10-03,16.66,16.88,15.92,16.47,2621657.0,16.347,13833
7,2023-10-04,16.55,16.75,15.4,16.62,3838586.0,16.088,16363
8,2023-10-05,15.69,15.94,15.06,15.1,3718367.0,15.483,16667
9,2023-10-06,15.44,15.73,14.81,15.15,4837555.0,15.377,23706
10,2023-10-09,15.1,15.5,14.83,15.38,4551980.0,15.176,21871
11,2023-10-10,15.5,16.79,15.31,16.74,2404441.0,16.384,14293
12,2023-10-11,18.36,18.46,17.19,17.62,4528379.0,17.666,23767
13,2023-10-12,17.62,17.79,16.56,16.67,2973273.0,17.012,16700
14,2023-10-13,16.6,16.86,15.93,16.07,2136660.0,16.256,11940
15,2023-10-16,16.09,16.38,15.28,15.8,3414822.0,15.691,19351
16,2023-10-17,15.66,16.64,15.61,16.07,2259044.0,16.197,12414
17,2023-10-18,15.78,15.83,15.3,15.52,2105905.0,15.571,12274
18,2023-10-19,15.54,15.89,15.07,15.2,1638609.0,15.41,11401
19,2023-10-20,14.85,15.49,14.67,15.13,3645109.0,15.121,19390
20,2023-10-23,14.84,15.77,14.69,15.58,2504888.0,15.539,13522
21,2023-10-24,15.85,16.52,15.6,15.61,1843669.0,15.946,12171
22,2023-10-25,15.45,15.47,14.64,15.16,1334231.0,15.112,9648
23,2023-10-26,15.63,16.12,15.43,15.55,1184152.0,15.682,8323
24,2023-10-27,15.43,15.46,14.74,15.1,1513551.0,15.024,9310
25,2023-10-30,15.29,15.45,14.53,15.04,1720342.0,14.913,10159
26,2023-10-31,15.13,15.39,14.84,15.36,1364695.0,15.179,9094
27,2023-11-01,15.34,15.34,14.31,14.45,3381679.0,14.537,15573
28,2023-11-02,14.62,15.56,14.53,15.37,2593587.0,15.122,15150
29,2023-11-03,15.87,16.37,15.69,15.85,1478714.0,15.961,9818
30,2023-11-06,15.95,15.95,15.38,15.65,1944121.0,15.602,13280
31,2023-11-07,15.56,16.32,15.4,16.23,3062509.0,16.074,19243
32,2023-11-08,15.76,16.01,13.93,14.6,9063119.0,14.569,49846
33,2023-11-09,14.81,14.96,12.85,12.95,5928211.0,13.21,32464
34,2023-11-10,13.01,13.64,12.11,13.42,4469327.0,13.104,24526
35,2023-11-13,13.27,13.94,12.97,13.53,2357877.0,13.588,14265
36,2023-11-14,14.19,15.1,14.16,15.07,3002308.0,14.777,16386
37,2023-11-15,15.15,16.36,15.15,15.63,2652030.0,15.911,15025
38,2023-11-16,15.37,15.9,15.28,15.35,1310945.0,15.472,7976
39,2023-11-17,15.43,15.43,14.65,14.85,1886042.0,14.865,10924
40,2023-11-20,14.95,15.24,14.56,14.96,3131556.0,14.979,15128
41,2023-11-21,14.87,14.93,14.05,14.08,2516527.0,14.301,15841
42,2023-11-22,14.2,14.63,14.19,14.4,2014555.0,14.421,11724
43,2023-11-24,14.27,14.35,13.98,14.13,714721.0,14.179,5174
44,2023-11-27,14.16,14.2,13.51,13.8,2295735.0,13.798,15431
45,2023-11-28,13.77,14.09,13.33,13.83,2102091.0,13.799,14247
46,2023-11-29,14.1,14.36,13.73,13.74,2493071.0,13.944,14100
47,2023-11-30,13.76,14.14,13.28,13.85,2990601.0,13.808,19704
48,2023-12-01,13.76,14.85,13.55,14.83,2561483.0,14.472,16657
49,2023-12-04,14.65,14.92,14.18,14.46,2557300.0,14.449,14456
50,2023-12-05,14.35,14.45,13.87,14.12,2878453.0,14.151,16724
51,2023-12-06,14.27,14.45,13.56,13.58,1667018.0,13.95,8932
52,2023-12-07,13.59,13.79,13.26,13.61,3411616.0,13.58,13922
53,2023-12-08,13.58,13.65,13.12,13.29,3399467.0,13.291,15469
54,2023-12-11,13.26,14.06,13.24,13.96,1878385.0,13.839,11275
55,2023-12-12,13.78,13.88,13.22,13.61,2088443.0,13.537,12800
56,2023-12-13,13.47,14.73,13.27,14.71,3283953.0,14.089,17340
57,2023-12-14,15.44,17.28,15.37,15.79,7068551.0,16.206,34213
58,2023-12-15,15.96,16.04,15.37,15.83,3622789.0,15.789,17491
59,2023-12-18,16.01,16.18,15.5,15.75,2056524.0,15.758,11825
60,2023-12-19,15.94,16.55,15.49,16.01,2578420.0,15.974,14178
61,2023-12-20,15.96,16.27,15.22,15.32,2202799.0,15.85,12564
62,2023-12-21,15.69,16.16,15.53,15.84,1536322.0,15.817,8763
63,2023-12-22,15.9,16.05,15.54,15.76,1257501.0,15.796,6269
64,2023-12-26,15.74,16.07,15.54,15.96,1880498.0,15.818,9085
65,2023-12-27,16.1,16.12,15.68,15.73,1373617.0,15.857,8508
66,2023-12-28,15.71,15.93,15.6,15.83,1046703.0,15.75,5749
67,2023-12-29,15.76,15.91,15.38,15.54,1020616.0,15.625,6737
68,2024-01-02,15.25,16.17,15.06,15.17,4598587.0,15.63,19227
69,2024-01-03,15.02,15.02,13.91,14.68,3241981.0,14.567,16418
70,2024-01-04,14.77,14.87,14.31,14.33,1592903.0,14.558,8183
71,2024-01-05,14.11,14.53,13.85,13.98,1809141.0,14.156,11219
72,2024-01-08,13.9,14.12,13.55,13.99,2035910.0,13.925,12007
73,2024-01-09,13.79,14.05,13.44,13.96,1465235.0,13.791,8782
74,2024-01-10,13.94,14.02,13.69,13.94,730259.0,13.882,5068
75,2024-01-11,13.89,14.07,13.08,13.7,3725492.0,13.616,21933
76,2024-01-12,13.75,14.12,13.41,13.57,1262960.0,13.626,8310
77,2024-01-16,13.4,13.7,12.99,13.17,2734665.0,13.144,16037
78,2024-01-17,12.8,13.33,12.78,13.1,2409813.0,13.151,13482
79,2024-01-18,13.21,13.46,12.98,13.36,1745995.0,13.27,10961
80,2024-01-19,13.46,13.49,12.99,13.18,3342589.0,13.155,17509
81,2024-01-22,13.69,14.47,13.47,13.87,3968677.0,13.843,22162
82,2024-01-23,14.26,14.44,13.91,14.03,2300896.0,14.156,12505
83,2024-01-24,14.35,14.35,13.44,13.55,1832680.0,13.647,10969
84,2024-01-25,13.75,13.8,13.43,13.44,2067126.0,13.552,12336
85,2024-01-26,13.59,13.82,13.3,13.33,1848752.0,13.527,10530
86,2024-01-29,13.29,13.87,13.09,13.86,1772400.0,13.607,8386
87,2024-01-30,13.69,13.77,13.24,13.46,1831754.0,13.476,10568
88,2024-01-31,13.47,14.36,13.1,13.17,3515451.0,13.652,18592
89,2024-02-01,13.64,14.68,13.62,14.17,5958151.0,14.071,29235
