,date,open,high,low,close,volume,average,barCount
0,2023-09-25,28.5,28.63,27.54,27.76,277180.0,28.028,2057
1,2023-09-26,27.7,28.22,27.68,28.0,247747.0,27.961,1806
2,2023-09-27,28.0,28.23,27.84,28.01,219235.0,28.072,1448
3,2023-09-28,28.03,28.34,27.55,27.93,279408.0,28.11,2034
4,2023-09-29,28.08,28.08,27.29,27.36,73621.0,27.506,603
5,2023-10-02,27.37,27.61,26.81,27.35,156592.0,27.136,1294
6,2023-10-03,27.67,28.16,27.24,28.1,303383.0,27.84,1730
7,2023-10-04,28.02,28.8,27.8,28.8,402081.0,28.341,1796
8,2023-10-05,28.74,28.88,28.36,28.83,326116.0,28.713,2333
9,2023-10-06,29.25,29.5,28.9,29.07,207369.0,29.297,982
10,2023-10-09,28.96,29.55,28.96,29.35,280113.0,29.309,1346
11,2023-10-10,29.59,29.59,28.32,28.33,219192.0,29.061,1089
12,2023-10-11,28.33,28.86,28.17,28.82,215282.0,28.511,1703
13,2023-10-12,28.87,28.98,28.15,28.38,94936.0,28.519,819
14,2023-10-13,28.72,29.29,28.48,29.16,137857.0,28.943,1084
15,2023-10-16,29.16,29.4,28.46,28.73,133159.0,28.81,1013
16,2023-10-17,28.83,29.25,28.6,29.15,109905.0,29.006,893
17,2023-10-18,29.1,29.52,28.74,28.76,79068.0,29.042,513
18,2023-10-19,28.67,28.7,28.12,28.6,110257.0,28.471,792
19,2023-10-20,28.68,28.68,27.64,27.76,124844.0,28.037,901
20,2023-10-23,27.73,27.73,27.12,27.34,92795.0,27.324,738
21,2023-10-24,27.55,28.3,27.2,28.15,83563.0,28.089,623
22,2023-10-25,28.15,29.17,28.15,28.46,172138.0,28.68,1045
23,2023-10-26,28.44,28.58,27.97,28.31,149220.0,28.38,1029
24,2023-10-27,28.31,28.31,27.77,28.02,115746.0,28.013,885
25,2023-10-30,28.3,28.5,28.12,28.21,144391.0,28.274,1060
26,2023-10-31,28.15,28.73,27.79,28.15,149201.0,28.082,963
27,2023-11-01,28.32,28.58,28.12,28.32,214088.0,28.336,1470
28,2023-11-02,28.47,28.47,27.8,27.93,119342.0,28.047,941
29,2023-11-03,28.07,28.19,27.79,27.92,230151.0,27.973,1815
30,2023-11-06,27.87,28.14,27.56,27.7,186019.0,27.714,1315
31,2023-11-07,29.27,30.93,29.13,30.53,1561681.0,30.109,9382
32,2023-11-08,31.1,31.1,30.22,30.99,216552.0,30.662,1365
33,2023-11-09,30.99,31.41,30.12,30.35,220314.0,30.496,1329
34,2023-11-10,30.28,30.92,29.93,30.52,139487.0,30.442,912
35,2023-11-13,30.92,30.94,30.28,30.77,178021.0,30.706,1463
36,2023-11-14,30.2,32.25,29.43,32.17,224292.0,31.226,1380
37,2023-11-15,32.22,32.27,31.11,31.66,330568.0,31.735,2241
38,2023-11-16,31.0,31.28,30.5,30.82,2117718.0,30.88,11610
39,2023-11-17,30.94,30.95,29.95,30.04,548636.0,30.455,3481
40,2023-11-20,30.29,30.29,29.57,30.0,479022.0,29.906,3194
41,2023-11-21,30.08,30.61,29.96,30.49,423820.0,30.362,3275
42,2023-11-22,30.7,30.95,30.31,30.43,265992.0,30.57,1825
43,2023-11-24,30.49,31.72,30.49,31.5,272044.0,31.216,2072
44,2023-11-27,31.67,31.8,31.32,31.75,257761.0,31.61,1891
45,2023-11-28,31.8,33.21,31.62,33.2,556509.0,32.644,3499
46,2023-11-29,33.37,33.58,31.68,32.06,404327.0,32.527,2816
47,2023-11-30,31.97,33.04,31.71,32.7,276669.0,32.712,2104
48,2023-12-01,32.12,33.08,32.12,32.73,204826.0,32.795,1427
49,2023-12-04,32.97,33.52,32.68,32.7,179143.0,33.156,985
50,2023-12-05,32.61,33.5,32.37,33.38,246696.0,33.215,1159
51,2023-12-06,33.43,33.74,32.53,32.77,296251.0,32.892,1092
52,2023-12-07,32.81,33.33,32.4,33.26,214861.0,33.012,1160
53,2023-12-08,33.26,33.5,32.62,32.96,251812.0,32.876,1051
54,2023-12-11,33.01,33.5,32.91,32.97,92934.0,33.151,583
55,2023-12-12,33.24,34.11,33.15,33.55,393914.0,33.633,2319
56,2023-12-13,33.82,34.04,33.49,33.78,233227.0,33.806,1229
57,2023-12-14,33.78,33.9,31.95,32.42,463697.0,32.517,1976
58,2023-12-15,32.41,33.54,32.41,33.34,546525.0,32.98,1778
59,2023-12-18,33.45,34.2,33.14,34.2,166951.0,33.909,984
60,2023-12-19,34.22,34.54,33.64,34.0,173107.0,34.019,909
61,2023-12-20,34.12,34.13,33.46,33.62,226611.0,33.819,1537
62,2023-12-21,33.5,34.02,33.29,34.02,198805.0,33.602,946
63,2023-12-22,34.29,34.33,33.43,33.94,150326.0,33.781,1104
64,2023-12-26,34.41,34.41,33.87,33.93,195033.0,34.024,942
65,2023-12-27,33.87,34.3,33.61,34.12,98945.0,33.993,821
66,2023-12-28,34.26,34.44,33.86,33.9,119464.0,34.041,648
67,2023-12-29,34.09,34.11,33.59,33.88,141427.0,33.873,940
68,2024-01-02,33.84,33.9,33.2,33.71,171409.0,33.566,1190
69,2024-01-03,33.83,34.04,33.54,33.72,195625.0,33.767,1087
70,2024-01-04,33.95,34.2,33.43,33.43,101835.0,33.91,816
71,2024-01-05,33.24,33.73,33.03,33.7,194149.0,33.442,956
72,2024-01-08,33.78,33.89,32.75,33.14,157734.0,33.013,1034
73,2024-01-09,32.93,32.93,32.22,32.43,102910.0,32.55,628
74,2024-01-10,32.25,32.52,31.87,32.11,176176.0,32.149,1141
75,2024-01-11,32.7,33.25,32.01,32.92,274990.0,32.721,1760
76,2024-01-12,33.0,33.05,32.56,32.73,60208.0,32.769,469
77,2024-01-16,32.78,33.06,32.6,32.8,124472.0,32.848,950
78,2024-01-17,33.17,33.17,32.3,32.33,133988.0,32.626,958
79,2024-01-18,32.36,33.0,32.24,32.7,280505.0,32.693,1291
80,2024-01-19,32.71,33.0,31.41,31.69,278383.0,31.765,1715
81,2024-01-22,31.71,32.64,31.59,32.64,116398.0,32.172,906
