,date,open,high,low,close,volume,average,barCount
0,2023-09-25,4.61,4.8599,4.1127,4.43,128927.0,4.51861,528
1,2023-09-26,21.01,30.3,17.32,26.8,22162258.0,23.15863,82061
2,2023-09-27,23.43,25.1699,20.2,20.67,4151556.0,22.89945,15037
3,2023-09-28,22.51,28.0,22.3301,27.59,7118592.0,25.12755,25813
4,2023-09-29,26.62,30.2899,24.25,29.51,2434190.0,27.82774,9645
5,2023-10-02,28.36,30.1072,25.25,26.48,759131.0,27.89125,3296
6,2023-10-03,25.59,26.997,24.51,25.56,433015.0,25.69826,2421
7,2023-10-04,25.52,25.52,23.08,25.37,513094.0,24.41461,2312
8,2023-10-05,25.0,25.505,23.46,23.81,391081.0,24.2009,2130
9,2023-10-06,23.75,23.94,22.73,23.28,228687.0,23.21661,1177
10,2023-10-09,22.91,25.98,22.82,25.75,418408.0,24.76017,2022
11,2023-10-10,25.9,26.42,24.405,25.43,268080.0,25.26379,1347
12,2023-10-11,25.38,26.61,24.69,25.25,233479.0,25.56297,1327
13,2023-10-12,25.25,25.64,23.7,24.47,186285.0,24.44385,1162
14,2023-10-13,24.16,24.47,23.5952,24.25,286151.0,24.05644,1657
15,2023-10-16,23.56,24.1573,22.8,24.08,219396.0,23.46723,1273
16,2023-10-17,23.39,24.37,22.98,23.78,172370.0,23.66669,897
17,2023-10-18,23.17,23.9304,23.07,23.62,112877.0,23.58894,513
18,2023-10-19,23.62,25.46,23.22,23.83,553111.0,24.27591,2642
19,2023-10-20,23.85,24.1802,23.0,23.62,131405.0,23.6213,877
20,2023-10-23,23.06,24.15,22.83,23.94,177541.0,23.65871,929
21,2023-10-24,24.6,24.6,23.1,24.08,195481.0,23.7414,811
22,2023-10-25,23.56,24.65,23.56,24.0,308510.0,24.09108,649
23,2023-10-26,24.11,24.95,23.83,23.99,241132.0,24.44323,537
24,2023-10-27,23.72,23.855,22.09,22.52,220524.0,23.06825,1191
25,2023-10-30,22.85,23.545,22.68,23.15,110860.0,23.08678,751
26,2023-10-31,22.95,24.05,22.95,23.85,123866.0,23.65473,669
27,2023-11-01,23.6,24.2,23.4,24.01,86269.0,23.80717,597
28,2023-11-02,23.9,24.07,23.52,23.77,82423.0,23.8934,384
29,2023-11-03,25.19,25.64,23.03,23.18,167911.0,24.17719,552
30,2023-11-06,22.6,23.24,21.3,23.11,205025.0,22.34978,1389
31,2023-11-07,22.55,23.77,22.07,23.0,347174.0,22.95689,1198
32,2023-11-08,23.49,23.49,21.515,21.93,257059.0,21.93186,1810
