,date,open,high,low,close,volume,average,barCount
0,2023-10-06,26.51,27.35,26.33,26.81,1145174.0,26.834,7833
1,2023-10-09,26.5,27.01,26.5,26.67,1134689.0,26.759,6829
2,2023-10-10,26.99,27.69,26.76,27.46,1035445.0,27.417,5601
3,2023-10-11,27.5,27.94,27.07,27.27,842496.0,27.387,5475
4,2023-10-12,27.42,27.42,26.77,26.98,842700.0,27.024,5696
5,2023-10-13,27.31,27.33,26.38,26.58,1013895.0,26.636,6012
6,2023-10-16,26.96,27.39,26.76,27.27,1143900.0,27.13,5691
7,2023-10-17,27.02,28.14,27.02,27.83,1141247.0,27.826,6648
8,2023-10-18,27.35,27.46,26.84,27.02,1005675.0,27.043,6489
9,2023-10-19,27.84,27.99,26.29,26.46,1601128.0,27.177,9932
10,2023-10-20,26.33,26.56,25.34,25.49,1610227.0,25.622,10123
11,2023-10-23,25.42,26.0,25.28,25.42,823853.0,25.645,4911
12,2023-10-24,25.58,25.67,24.87,25.25,782175.0,25.196,4831
13,2023-10-25,25.11,25.27,24.4,25.12,934509.0,24.949,5418
14,2023-10-26,25.17,26.12,25.17,25.8,866267.0,25.748,5326
15,2023-10-27,25.74,25.74,24.75,25.05,910255.0,25.129,5073
16,2023-10-30,25.38,25.79,25.1,25.76,921412.0,25.581,4934
17,2023-10-31,25.8,26.15,25.52,26.07,784938.0,25.965,4197
18,2023-11-01,25.95,26.22,25.61,26.2,914909.0,25.927,5523
19,2023-11-02,26.6,27.63,26.52,27.54,891022.0,27.282,4511
20,2023-11-03,28.54,28.93,28.28,28.54,1092245.0,28.637,5317
21,2023-11-06,28.56,28.65,27.92,28.2,419756.0,28.182,2517
22,2023-11-07,28.04,28.25,27.79,27.9,661247.0,27.925,3156
23,2023-11-08,27.97,28.02,27.43,27.66,411826.0,27.617,2390
24,2023-11-09,27.71,27.73,26.92,27.12,1061619.0,27.191,6611
25,2023-11-10,27.32,27.4,26.84,27.33,441068.0,27.227,2503
26,2023-11-13,27.11,27.51,26.76,27.48,551012.0,27.337,3217
27,2023-11-14,28.64,29.93,28.5,29.37,1026775.0,29.437,5255
28,2023-11-15,29.41,30.57,29.41,30.44,1477378.0,30.314,6948
29,2023-11-16,30.32,30.5,29.74,30.1,1058132.0,30.05,6047
30,2023-11-17,30.6,30.71,30.17,30.69,703950.0,30.568,3951
31,2023-11-20,30.69,30.75,30.22,30.65,631977.0,30.582,3604
32,2023-11-21,30.46,30.53,29.75,29.88,533685.0,30.005,3040
33,2023-11-22,30.09,30.14,29.4,29.93,504042.0,29.878,3218
34,2023-11-24,30.0,30.15,29.76,29.9,207966.0,29.9,1046
35,2023-11-27,29.64,29.89,29.34,29.86,517724.0,29.739,3183
36,2023-11-28,29.86,29.95,29.48,29.81,538794.0,29.748,3231
37,2023-11-29,30.13,31.02,30.13,30.68,904816.0,30.784,4498
38,2023-11-30,30.85,31.18,30.52,30.79,727078.0,30.929,4486
39,2023-12-01,30.63,33.0,30.52,32.91,1664971.0,32.339,8232
40,2023-12-04,32.59,33.91,32.53,33.71,1306268.0,33.488,7646
41,2023-12-05,33.54,33.54,32.98,33.09,734180.0,33.159,4509
42,2023-12-06,34.4,34.91,33.99,34.22,1917350.0,34.443,10804
43,2023-12-07,34.56,35.36,34.38,35.28,1761642.0,35.026,8926
44,2023-12-08,35.39,35.98,35.11,35.83,1114677.0,35.721,5730
45,2023-12-11,35.47,35.85,35.39,35.48,943659.0,35.601,6108
46,2023-12-12,35.43,35.56,35.14,35.17,542380.0,35.284,3357
47,2023-12-13,35.13,37.69,35.05,37.63,1499649.0,36.458,7279
48,2023-12-14,38.96,40.47,38.96,40.38,2651133.0,39.997,12121
49,2023-12-15,40.44,40.92,39.31,39.63,1265206.0,39.738,8026
50,2023-12-18,39.84,39.94,38.81,38.82,957207.0,39.125,5603
51,2023-12-19,38.85,39.2,38.49,38.51,1658770.0,38.681,8846
52,2023-12-20,38.13,38.44,37.22,37.24,803492.0,37.81,5432
53,2023-12-21,37.82,38.08,37.47,37.75,747512.0,37.718,5581
54,2023-12-22,37.94,38.36,37.73,37.78,547520.0,37.904,3419
55,2023-12-26,37.82,38.46,37.68,38.18,335941.0,38.232,2134
56,2023-12-27,38.19,38.35,37.9,38.04,364382.0,38.069,2475
57,2023-12-28,37.85,38.15,37.75,37.98,441935.0,37.923,2793
58,2023-12-29,37.83,37.95,37.31,37.65,890637.0,37.704,6126
59,2024-01-02,37.26,38.27,37.07,37.52,684379.0,37.642,4374
60,2024-01-03,36.58,36.87,35.78,35.85,1186795.0,36.305,6852
61,2024-01-04,35.8,36.46,35.54,36.1,766254.0,36.11,5520
62,2024-01-05,36.11,37.14,35.79,36.97,1075842.0,36.867,6670
63,2024-01-08,37.03,37.29,36.67,37.25,476967.0,37.093,3153
64,2024-01-09,36.74,37.09,36.64,36.73,500368.0,36.841,3147
65,2024-01-10,36.63,37.0,36.29,36.88,866805.0,36.774,5729
66,2024-01-11,36.63,36.72,35.93,36.58,589079.0,36.354,4389
67,2024-01-12,36.88,37.0,35.65,36.02,1034902.0,36.039,5824
68,2024-01-16,35.37,35.82,34.91,35.45,802018.0,35.476,4534
69,2024-01-17,35.0,35.57,34.68,35.09,853802.0,35.097,5618
70,2024-01-18,35.37,37.06,35.23,36.71,1860220.0,36.491,10956
71,2024-01-19,36.87,37.64,36.45,37.63,863510.0,37.107,4828
72,2024-01-22,37.93,38.5,37.8,38.43,661289.0,38.221,4066
73,2024-01-23,38.74,38.85,38.02,38.14,685422.0,38.248,4299
74,2024-01-24,38.51,38.97,38.32,38.65,914598.0,38.689,5407
75,2024-01-25,38.93,39.15,38.3,38.95,1801431.0,38.768,10881
76,2024-01-26,39.0,39.47,38.69,38.79,656719.0,38.93,4142
77,2024-01-29,38.83,39.64,38.4,39.61,976345.0,39.212,4690
78,2024-01-30,39.48,39.84,39.36,39.38,608930.0,39.561,4057
79,2024-01-31,38.0,38.83,37.59,37.66,631757.0,38.143,4027
80,2024-02-01,37.84,37.93,34.86,36.0,2064757.0,35.996,12582
81,2024-02-02,35.03,36.45,35.03,36.3,985893.0,36.138,6502
82,2024-02-05,35.89,35.89,35.19,35.51,829393.0,35.58,5510
83,2024-02-06,35.48,36.0,35.13,35.35,885896.0,35.373,5580
84,2024-02-07,35.51,35.64,34.28,35.24,827419.0,35.113,5470
85,2024-02-08,34.97,35.44,34.88,35.33,387257.0,35.211,2455
86,2024-02-09,35.27,36.0,34.88,35.97,639152.0,35.707,4006
87,2024-02-12,35.91,37.49,35.91,37.07,929599.0,37.108,5791
88,2024-02-13,35.79,36.01,34.56,35.3,941435.0,35.267,6418
89,2024-02-14,35.81,36.1,35.39,35.71,94753.0,35.711,665
