,date,open,high,low,close,volume,average,barCount
0,2023-10-06,53.82,54.09,53.29,53.9,1323048.0,53.856,8014
1,2023-10-09,53.97,54.57,53.86,54.05,1559063.0,54.091,10261
2,2023-10-10,54.17,54.69,54.06,54.45,1518519.0,54.343,7595
3,2023-10-11,54.86,54.97,54.52,54.79,847637.0,54.751,5463
4,2023-10-12,54.85,54.99,54.52,54.79,816942.0,54.76,4712
5,2023-10-13,54.58,54.85,54.11,54.53,882784.0,54.466,4801
6,2023-10-16,54.55,54.83,54.5,54.64,349896.0,54.671,2316
7,2023-10-17,54.41,54.51,53.7,53.79,1360722.0,54.063,8116
8,2023-10-18,53.76,53.87,52.49,52.61,1903498.0,52.985,11870
9,2023-10-19,52.55,52.58,51.79,52.3,1586682.0,52.241,9177
10,2023-10-20,52.27,52.48,52.05,52.05,651484.0,52.247,4285
11,2023-10-23,52.17,52.38,51.96,52.07,758301.0,52.16,4755
12,2023-10-24,52.21,52.46,52.06,52.33,543885.0,52.313,3614
13,2023-10-25,53.14,53.48,52.64,53.09,661408.0,53.079,4245
14,2023-10-26,53.15,53.75,52.65,53.33,2769781.0,53.304,11248
15,2023-10-27,44.82,44.83,42.63,43.13,8561854.0,43.502,34983
16,2023-10-30,44.4,45.0,44.05,44.86,3187758.0,44.594,13591
17,2023-10-31,45.52,45.57,45.04,45.25,3726196.0,45.295,15140
18,2023-11-01,45.56,46.41,45.53,46.33,2150367.0,46.0,11795
19,2023-11-02,46.93,47.1,46.18,46.51,1868500.0,46.557,8817
20,2023-11-03,45.54,46.15,45.23,45.8,1723751.0,45.744,8497
21,2023-11-06,45.68,45.8,45.16,45.24,1726868.0,45.408,9988
22,2023-11-07,45.11,45.41,45.0,45.24,944846.0,45.215,4250
23,2023-11-08,45.84,46.24,45.62,45.78,933652.0,45.906,5537
24,2023-11-09,46.21,46.23,45.45,45.47,1545979.0,45.821,8368
25,2023-11-10,46.08,46.14,45.32,45.92,1751110.0,45.708,9867
26,2023-11-13,45.36,45.66,45.14,45.52,1529582.0,45.445,8289
27,2023-11-14,45.66,46.07,45.63,45.73,1240778.0,45.759,8006
28,2023-11-15,45.34,46.19,45.13,45.42,1807333.0,45.598,8708
29,2023-11-16,46.09,46.36,45.91,46.35,1402055.0,46.18,7167
30,2023-11-17,46.75,47.02,46.5,47.02,909798.0,46.756,5212
31,2023-11-20,46.59,46.94,46.49,46.5,793694.0,46.706,3609
32,2023-11-21,46.54,46.86,46.52,46.55,631505.0,46.666,3423
33,2023-11-22,46.4,46.49,46.11,46.46,911524.0,46.346,5019
34,2023-11-24,47.06,47.29,47.04,47.18,470889.0,47.196,2308
35,2023-11-27,47.6,47.68,47.25,47.65,1177792.0,47.547,5951
36,2023-11-28,46.98,47.39,46.93,46.98,829270.0,47.138,4586
37,2023-11-29,46.91,46.95,46.4,46.6,825876.0,46.643,4363
38,2023-11-30,46.12,46.79,46.0,46.75,1199840.0,46.477,6366
39,2023-12-01,46.5,46.86,46.28,46.72,891299.0,46.644,4539
40,2023-12-04,46.75,47.15,46.6,47.02,1079916.0,46.919,5349
41,2023-12-05,46.58,46.77,46.34,46.34,931223.0,46.603,4930
42,2023-12-06,46.27,46.56,45.97,45.98,939646.0,46.231,5319
43,2023-12-07,45.77,46.2,45.36,46.06,1426070.0,45.87,6435
44,2023-12-08,46.21,46.48,46.12,46.32,1047443.0,46.269,5258
45,2023-12-11,47.21,47.48,46.96,47.15,1078630.0,47.137,5671
46,2023-12-12,47.57,47.62,47.26,47.33,845638.0,47.396,4352
47,2023-12-13,47.28,48.36,47.23,48.3,1640041.0,47.824,7726
48,2023-12-14,48.3,48.75,48.14,48.24,1829670.0,48.417,9862
49,2023-12-15,47.93,48.12,47.46,47.68,1131786.0,47.784,5756
50,2023-12-18,48.47,48.79,48.24,48.54,1203057.0,48.504,6001
51,2023-12-19,48.67,49.13,48.63,49.06,864048.0,48.944,4535
52,2023-12-20,48.83,49.06,48.18,48.21,959240.0,48.743,5237
53,2023-12-21,48.76,49.08,48.68,48.95,769165.0,48.873,4034
54,2023-12-22,49.17,49.43,48.7,48.74,694743.0,49.087,3666
55,2023-12-26,48.71,49.2,48.59,49.08,625423.0,48.987,3303
56,2023-12-27,49.35,50.01,49.25,49.75,723899.0,49.575,4070
57,2023-12-28,49.55,49.91,49.36,49.38,794379.0,49.553,4092
58,2023-12-29,49.56,49.89,49.44,49.73,474613.0,49.624,2252
59,2024-01-02,49.32,50.11,49.32,50.0,846285.0,49.888,4146
60,2024-01-03,50.0,50.78,49.87,50.61,966026.0,50.434,6128
61,2024-01-04,50.62,51.09,50.51,51.01,723517.0,50.884,3867
62,2024-01-05,50.92,51.59,50.84,51.21,1040824.0,51.289,5503
63,2024-01-08,51.48,51.99,51.46,51.99,1109697.0,51.741,5280
64,2024-01-09,51.9,52.12,51.71,51.76,1466882.0,51.895,6074
65,2024-01-10,51.93,52.52,51.91,52.41,1425876.0,52.244,7123
66,2024-01-11,52.39,52.5,51.95,52.48,1173772.0,52.295,6762
67,2024-01-12,52.36,52.79,52.2,52.21,871737.0,52.44,3991
68,2024-01-16,51.75,52.0,51.5,51.56,1115274.0,51.739,5332
69,2024-01-17,51.9,51.93,51.49,51.64,814852.0,51.674,4499
70,2024-01-18,51.07,51.9,50.89,51.88,902405.0,51.454,5268
71,2024-01-19,51.24,51.27,50.96,51.03,1288114.0,51.089,7069
72,2024-01-22,51.23,51.52,50.82,50.83,1423315.0,51.188,7727
73,2024-01-23,50.0,50.29,49.7,49.89,1778220.0,50.01,9944
74,2024-01-24,50.61,50.8,49.83,49.89,1341649.0,50.173,8959
75,2024-01-25,49.94,50.05,49.59,49.88,1090851.0,49.855,6194
76,2024-01-26,50.16,50.27,49.81,50.14,488692.0,50.109,2867
77,2024-01-29,50.19,50.47,49.97,50.28,657007.0,50.184,3809
78,2024-01-30,50.33,50.39,50.0,50.25,789593.0,50.212,4675
79,2024-01-31,51.05,51.26,49.85,49.9,1729017.0,50.591,8994
80,2024-02-01,48.52,49.04,48.23,48.41,2396239.0,48.528,12626
81,2024-02-02,48.0,48.04,47.2,47.23,1429085.0,47.433,7747
82,2024-02-05,47.12,47.2,46.65,46.95,1305381.0,46.943,6868
83,2024-02-06,46.55,47.14,46.46,47.06,1711918.0,46.933,9655
84,2024-02-07,47.2,47.23,46.87,46.92,873499.0,47.015,5197
85,2024-02-08,46.11,46.59,46.0,46.56,1472457.0,46.268,8777
86,2024-02-09,46.56,46.81,46.39,46.5,1450210.0,46.58,8386
87,2024-02-12,46.27,46.54,46.18,46.34,1116211.0,46.321,6298
88,2024-02-13,46.22,46.34,45.55,45.75,1179692.0,45.78,6895
89,2024-02-14,45.66,45.95,45.57,45.95,370548.0,45.697,1860
