,date,open,high,low,close,volume,average,barCount
0,2023-10-06,164.43,174.13,164.43,173.61,34354.0,172.458,289
1,2023-10-09,172.06,174.41,171.69,173.17,36274.0,173.344,300
2,2023-10-10,172.63,174.55,170.67,171.09,73839.0,171.808,643
3,2023-10-11,170.52,172.67,168.23,170.4,44842.0,170.416,347
4,2023-10-12,170.71,174.47,167.02,167.8,30357.0,169.068,264
5,2023-10-13,166.9,170.96,165.68,167.12,46198.0,166.701,298
6,2023-10-16,167.93,173.13,167.4,171.89,69128.0,171.725,305
7,2023-10-17,170.26,173.44,170.26,171.59,49504.0,172.139,266
8,2023-10-18,170.63,172.14,169.5,170.47,50244.0,170.935,466
9,2023-10-19,170.57,172.2,165.5,166.01,56282.0,169.292,385
10,2023-10-20,166.17,166.17,159.42,159.7,65535.0,162.447,406
11,2023-10-23,159.31,160.27,157.5,157.61,72304.0,158.679,509
12,2023-10-24,159.14,161.27,156.12,157.5,67467.0,157.843,576
13,2023-10-25,155.95,157.93,155.41,156.42,54302.0,156.519,442
14,2023-10-26,156.58,158.28,154.33,155.27,73256.0,155.984,613
15,2023-10-27,158.0,158.76,151.96,154.22,61158.0,154.102,495
16,2023-10-30,156.03,158.4,153.87,157.57,36260.0,156.93,312
17,2023-10-31,157.92,160.77,157.48,160.34,56809.0,159.786,463
18,2023-11-01,159.84,161.52,158.67,161.1,48563.0,160.461,428
19,2023-11-02,163.9,165.96,162.9,163.17,63905.0,164.15,562
20,2023-11-03,164.93,167.8,164.83,166.62,41299.0,166.423,309
21,2023-11-06,165.73,168.4,164.47,168.23,30145.0,167.072,267
22,2023-11-07,168.91,172.69,167.85,170.51,41831.0,170.727,347
23,2023-11-08,171.24,171.24,169.14,170.14,32297.0,169.857,297
24,2023-11-09,170.64,170.64,164.61,165.93,33477.0,167.364,295
25,2023-11-10,167.03,170.64,165.34,169.34,20950.0,169.049,188
26,2023-11-13,168.19,172.28,167.2,171.86,39101.0,171.303,270
27,2023-11-14,175.77,186.46,175.77,186.41,52931.0,182.022,434
