,date,open,high,low,close,volume,average,barCount
0,2023-10-06,52.87,55.04,52.42,54.48,538279.0,54.127,3867
1,2023-10-09,53.99,54.66,52.46,53.04,502859.0,53.09,3450
2,2023-10-10,54.48,56.85,54.18,56.8,1069377.0,56.239,7282
3,2023-10-11,57.2,58.05,56.49,56.95,1010689.0,57.231,6809
4,2023-10-12,58.66,59.99,58.04,58.68,1291343.0,59.023,8410
5,2023-10-13,58.2,59.11,56.39,57.44,1041759.0,57.46,7843
6,2023-10-16,57.0,58.37,56.88,57.12,739992.0,57.549,4699
7,2023-10-17,56.69,59.68,56.67,59.45,911474.0,58.784,6321
8,2023-10-18,57.8,57.98,54.8,55.44,1349305.0,55.827,8375
9,2023-10-19,54.59,54.59,52.35,52.68,1112198.0,53.284,7086
10,2023-10-20,52.09,52.46,51.27,51.69,677041.0,51.93,4876
11,2023-10-23,50.86,51.35,49.74,50.51,883506.0,50.795,6212
12,2023-10-24,51.75,52.38,51.5,51.73,681001.0,51.862,4299
13,2023-10-25,51.2,51.42,50.05,50.9,825955.0,50.598,5694
14,2023-10-26,52.09,52.6,50.86,51.12,845314.0,51.48,5301
15,2023-10-27,51.93,52.43,50.79,51.09,421230.0,51.404,3148
16,2023-10-30,51.57,52.25,48.7,48.73,1064964.0,49.533,6992
17,2023-10-31,48.67,49.56,48.1,48.4,941999.0,48.725,6498
18,2023-11-01,48.05,48.2,46.84,47.47,999412.0,47.564,6803
19,2023-11-02,47.25,49.01,46.47,47.99,1740026.0,47.695,11629
20,2023-11-03,49.46,50.75,49.08,49.78,1388339.0,50.042,9044
21,2023-11-06,50.06,50.13,47.04,47.96,1278508.0,48.082,8125
22,2023-11-07,47.96,48.87,47.25,48.5,799431.0,48.42,5369
23,2023-11-08,48.71,49.25,47.97,48.2,685612.0,48.309,4410
24,2023-11-09,48.66,49.46,47.06,47.29,747697.0,48.087,4992
25,2023-11-10,47.19,47.27,45.94,46.87,896070.0,46.583,5371
26,2023-11-13,45.81,50.99,44.86,48.11,5549735.0,48.595,30469
27,2023-11-14,50.29,52.03,50.04,51.87,1415981.0,51.355,9341
28,2023-11-15,52.57,53.2,51.0,51.5,1323975.0,51.854,8708
29,2023-11-16,50.52,50.71,46.89,47.38,1856004.0,47.746,12333
