,date,open,high,low,close,volume,average,barCount
0,2023-10-06,12.61,12.86,12.61,12.74,1007891.0,12.768,6071
1,2023-10-09,12.89,13.05,12.86,13.0,1045133.0,12.968,5029
2,2023-10-10,13.05,13.13,12.93,13.07,842681.0,13.015,5135
3,2023-10-11,13.23,13.25,13.01,13.25,471503.0,13.153,3227
4,2023-10-12,13.18,13.3,12.91,12.97,887649.0,13.024,5264
5,2023-10-13,13.41,13.75,13.22,13.73,920387.0,13.61,5824
6,2023-10-16,13.61,13.89,13.51,13.66,750327.0,13.733,4561
7,2023-10-17,13.64,13.95,13.63,13.91,523231.0,13.861,3309
8,2023-10-18,14.04,14.28,13.85,13.97,1045641.0,13.987,6785
9,2023-10-19,13.97,14.2,13.87,14.13,1002369.0,14.071,6318
10,2023-10-20,14.17,14.46,14.08,14.14,967728.0,14.248,6286
11,2023-10-23,14.02,14.44,13.79,14.32,983058.0,14.269,6351
12,2023-10-24,14.23,14.48,14.17,14.39,614994.0,14.379,4439
13,2023-10-25,14.25,14.53,14.14,14.14,698636.0,14.31,5041
14,2023-10-26,14.08,14.21,13.52,13.85,1006311.0,13.793,6520
15,2023-10-27,13.88,14.17,13.62,14.14,1075674.0,13.96,7045
16,2023-10-30,14.22,14.32,14.03,14.15,836204.0,14.139,5425
17,2023-10-31,14.11,14.24,13.69,13.88,1267258.0,13.884,8071
18,2023-11-01,13.88,14.06,11.45,11.76,4004829.0,12.191,22989
19,2023-11-02,12.0,12.0,11.14,11.55,2976957.0,11.442,17070
20,2023-11-03,11.68,12.43,11.61,12.25,2265719.0,12.181,13319
21,2023-11-06,12.21,12.63,12.2,12.45,1561472.0,12.478,10502
22,2023-11-07,12.23,12.31,11.87,12.11,904904.0,12.077,6319
23,2023-11-08,12.0,12.14,11.84,11.96,703391.0,11.976,5115
24,2023-11-09,11.95,12.18,11.73,11.77,2894745.0,11.992,22782
25,2023-11-10,11.63,11.72,11.41,11.69,534505.0,11.592,3573
26,2023-11-13,11.65,11.69,11.35,11.39,876104.0,11.464,5238
27,2023-11-14,11.69,12.01,11.62,11.89,1179734.0,11.861,7024
28,2023-11-15,11.88,11.99,11.59,11.66,1133518.0,11.69,5845
29,2023-11-16,11.78,12.0,11.66,11.71,2305516.0,11.817,12739
30,2023-11-17,11.81,11.86,11.58,11.65,1231005.0,11.648,6905
31,2023-11-20,11.33,11.47,11.04,11.22,3996660.0,11.205,16879
32,2023-11-21,11.38,11.66,11.32,11.34,2116224.0,11.446,11169
33,2023-11-22,11.37,11.43,11.23,11.26,1204889.0,11.284,6760
34,2023-11-24,11.31,11.4,11.24,11.32,854551.0,11.312,5782
35,2023-11-27,11.42,11.58,11.24,11.42,1516226.0,11.396,8476
36,2023-11-28,11.57,12.01,11.37,11.85,2298938.0,11.81,10630
37,2023-11-29,11.8,11.86,11.66,11.83,1469110.0,11.758,6945
38,2023-11-30,11.9,11.97,11.56,11.8,1233362.0,11.728,6770
39,2023-12-01,11.75,12.04,11.68,11.99,1267259.0,11.947,6991
40,2023-12-04,11.72,11.91,11.58,11.65,1417168.0,11.695,8030
41,2023-12-05,11.55,11.65,11.38,11.42,1132756.0,11.47,6678
42,2023-12-06,11.54,11.64,11.35,11.39,1076355.0,11.458,5904
43,2023-12-07,11.44,11.52,11.31,11.4,932719.0,11.417,5373
44,2023-12-08,11.26,11.37,10.98,11.23,1834710.0,11.147,9099
45,2023-12-11,11.07,11.08,10.75,10.8,3311425.0,10.866,14097
46,2023-12-12,10.78,10.81,10.51,10.53,1792210.0,10.599,9558
47,2023-12-13,10.51,10.84,10.38,10.84,5635794.0,10.612,21601
48,2023-12-14,10.98,11.02,10.33,10.57,5926904.0,10.648,23581
49,2023-12-15,10.59,10.93,10.54,10.78,2912799.0,10.826,14944
50,2023-12-18,10.81,10.92,10.73,10.87,1590493.0,10.847,8238
51,2023-12-19,10.87,11.36,10.87,11.18,5847191.0,11.095,20673
52,2023-12-20,11.18,11.27,10.84,10.84,2262253.0,11.04,10259
53,2023-12-21,10.95,11.06,10.93,10.98,1456448.0,11.004,7873
54,2023-12-22,11.21,11.22,11.02,11.04,2013885.0,11.127,8591
55,2023-12-26,11.13,11.17,10.93,11.03,688308.0,11.01,3694
56,2023-12-27,11.04,11.15,10.96,11.02,965281.0,11.046,5312
57,2023-12-28,10.96,11.02,10.79,10.82,1319096.0,10.904,7213
58,2023-12-29,10.72,10.81,10.57,10.76,1641238.0,10.739,8965
59,2024-01-02,10.8,10.81,10.62,10.65,2016483.0,10.738,10212
60,2024-01-03,10.46,10.7,10.43,10.6,2733796.0,10.557,11988
61,2024-01-04,10.6,10.63,10.44,10.56,1819074.0,10.558,9681
62,2024-01-05,10.59,10.66,10.43,10.54,1784927.0,10.551,9438
63,2024-01-08,10.41,10.61,10.2,10.45,1870964.0,10.443,9861
64,2024-01-09,10.52,10.52,10.27,10.38,1147910.0,10.377,6388
65,2024-01-10,10.33,10.37,10.17,10.29,1057244.0,10.273,5892
66,2024-01-11,10.3,10.32,10.16,10.26,1637441.0,10.233,7871
67,2024-01-12,10.56,10.63,10.26,10.33,2094515.0,10.418,9396
68,2024-01-16,10.2,10.24,10.04,10.18,2017297.0,10.197,10559
69,2024-01-17,10.04,10.11,9.92,9.99,1295368.0,10.032,6637
70,2024-01-18,10.02,10.04,9.89,9.93,1112389.0,9.938,5731
71,2024-01-19,9.99,9.99,9.77,9.8,1403030.0,9.83,6176
72,2024-01-22,9.68,9.76,9.57,9.72,2099910.0,9.676,8999
73,2024-01-23,9.75,9.89,9.71,9.79,1648512.0,9.787,7984
74,2024-01-24,9.96,9.99,9.51,9.53,1939259.0,9.61,9181
