,date,open,high,low,close,volume,average,barCount
0,2023-10-06,37.27,39.12,37.01,38.51,1031015.0,37.944,3706
1,2023-10-09,38.83,40.97,38.04,40.51,404931.0,39.969,2585
2,2023-10-10,41.04,43.13,40.85,42.2,401859.0,42.305,2967
3,2023-10-11,42.21,42.59,40.45,41.37,286589.0,41.19,2294
4,2023-10-12,41.4,41.52,39.36,39.4,302031.0,40.03,2110
5,2023-10-13,39.34,40.48,39.34,40.41,200743.0,40.078,1563
6,2023-10-16,40.78,42.99,40.19,42.84,678553.0,42.089,4105
7,2023-10-17,42.04,44.26,42.04,43.78,248133.0,43.684,1880
8,2023-10-18,43.53,43.67,42.33,42.59,129903.0,42.749,963
9,2023-10-19,42.57,43.18,42.2,42.63,162189.0,42.664,1173
10,2023-10-20,42.68,42.74,41.72,41.72,141751.0,42.126,1053
11,2023-10-23,41.31,42.55,41.0,41.55,202925.0,41.912,1655
12,2023-10-24,42.18,43.65,42.07,42.87,287086.0,42.929,2258
13,2023-10-25,42.01,42.04,38.17,38.77,672793.0,39.311,4549
14,2023-10-26,38.71,39.66,38.0,38.24,339921.0,38.391,2457
15,2023-10-27,38.34,39.85,38.34,38.55,395056.0,38.982,3124
16,2023-10-30,39.19,41.53,39.18,40.96,617542.0,40.607,4635
17,2023-10-31,41.37,43.45,41.37,41.82,634921.0,42.504,4704
18,2023-11-01,41.82,43.8,41.82,43.32,655033.0,43.192,4984
19,2023-11-02,38.8,38.99,34.31,36.01,1891649.0,35.932,12106
20,2023-11-03,36.61,38.29,36.0,37.81,880239.0,37.327,6819
21,2023-11-06,38.06,38.06,33.76,34.5,943719.0,34.749,6529
22,2023-11-07,35.5,35.75,33.84,34.98,659736.0,34.602,4986
23,2023-11-08,34.72,34.72,33.37,33.77,617873.0,33.744,4238
24,2023-11-09,34.05,34.05,32.55,32.71,595780.0,33.09,4237
25,2023-11-10,33.06,33.66,32.47,33.49,292044.0,33.07,1990
26,2023-11-13,33.36,34.25,32.92,33.97,333662.0,33.826,2240
27,2023-11-14,35.63,36.32,35.28,36.04,474537.0,35.807,2888
28,2023-11-15,36.55,37.48,36.0,36.05,197714.0,36.665,1556
29,2023-11-16,35.82,36.09,34.79,35.26,148928.0,35.3,999
30,2023-11-17,35.67,35.67,34.59,34.83,349320.0,34.956,2430
31,2023-11-20,35.02,35.46,34.55,34.76,369781.0,34.953,2283
32,2023-11-21,34.5,34.69,33.5,33.56,389150.0,33.846,2692
33,2023-11-22,33.96,34.4,33.65,33.71,241852.0,33.928,1896
34,2023-11-24,33.94,34.1,33.3,33.9,143319.0,33.74,1091
35,2023-11-27,33.55,33.6,31.79,31.8,759013.0,32.356,4602
36,2023-11-28,31.59,32.59,31.0,31.97,644465.0,31.915,4557
37,2023-11-29,32.05,33.05,30.91,31.61,604601.0,31.517,4571
38,2023-11-30,31.68,31.92,30.8,31.36,748421.0,31.448,4751
39,2023-12-01,31.87,33.09,31.46,32.99,944165.0,32.653,6245
40,2023-12-04,32.68,33.01,31.36,32.29,491657.0,32.07,3296
41,2023-12-05,31.17,32.13,30.78,30.8,560937.0,31.283,3994
42,2023-12-06,31.02,31.24,30.29,30.6,379179.0,30.622,2848
43,2023-12-07,30.8,31.56,30.53,31.32,260342.0,31.212,1784
44,2023-12-08,30.99,33.86,30.99,33.4,638871.0,33.18,3331
45,2023-12-11,33.22,33.52,31.67,32.14,260330.0,32.204,1649
46,2023-12-12,32.19,32.19,31.11,31.6,334322.0,31.534,2413
47,2023-12-13,31.55,33.66,30.82,33.65,703322.0,31.989,4377
48,2023-12-14,34.37,36.61,34.21,35.31,570106.0,35.786,3900
49,2023-12-15,35.66,35.66,33.21,33.41,372969.0,34.348,1700
50,2023-12-18,33.49,33.55,31.98,32.41,434739.0,32.342,2878
51,2023-12-19,32.83,33.74,31.8,32.13,456311.0,32.208,3361
52,2023-12-20,31.98,32.49,30.96,30.98,345735.0,31.736,2133
53,2023-12-21,31.6,32.27,30.86,32.22,343368.0,31.836,2544
54,2023-12-22,32.24,32.79,31.36,31.63,487467.0,32.008,3314
55,2023-12-26,31.63,32.43,31.38,31.85,303453.0,31.852,1686
56,2023-12-27,31.85,32.21,31.33,31.68,276975.0,31.619,1925
