,date,open,high,low,close,volume,average,barCount
0,2023-09-25,65.26,66.53,64.92,65.96,28168.0,66.079,219
1,2023-09-26,65.42,65.73,64.85,64.93,21097.0,65.124,161
2,2023-09-27,65.06,65.7,64.69,65.12,60472.0,65.256,505
3,2023-09-28,65.08,66.47,65.08,66.01,29375.0,66.042,270
4,2023-09-29,66.34,66.34,64.6,64.87,53587.0,65.069,446
5,2023-10-02,64.66,64.66,63.58,63.66,41663.0,63.943,360
6,2023-10-03,63.62,64.0,62.8,63.33,44119.0,63.369,376
7,2023-10-04,63.3,64.98,63.3,64.77,44028.0,64.375,363
8,2023-10-05,64.52,65.31,64.3,64.75,53578.0,64.804,471
9,2023-10-06,64.29,66.12,64.29,65.71,24333.0,65.493,196
10,2023-10-09,65.23,66.39,65.23,66.08,11383.0,66.01,87
11,2023-10-10,66.14,67.01,65.92,66.42,26534.0,66.546,229
12,2023-10-11,66.72,67.36,66.6,67.0,49002.0,67.093,408
13,2023-10-12,67.03,67.03,65.41,65.67,29555.0,65.996,244
14,2023-10-13,65.86,66.04,64.64,65.01,28591.0,65.207,229
15,2023-10-16,65.28,65.75,64.83,64.98,35918.0,65.122,310
16,2023-10-17,65.08,65.97,64.6,65.53,48172.0,65.465,414
17,2023-10-18,65.26,65.26,62.16,62.23,61586.0,63.066,533
18,2023-10-19,62.04,62.32,61.65,61.83,36845.0,61.975,321
19,2023-10-20,61.95,62.16,60.84,61.4,49774.0,61.376,414
20,2023-10-23,60.96,62.63,60.96,61.98,40473.0,62.096,351
21,2023-10-24,62.18,62.6,61.5,61.67,28945.0,61.875,252
22,2023-10-25,61.29,61.8,60.52,60.81,28670.0,61.017,263
23,2023-10-26,60.7,61.81,60.15,60.19,81792.0,60.931,697
24,2023-10-27,60.13,60.6,59.55,59.96,24855.0,59.967,228
25,2023-10-30,60.47,61.31,60.44,61.22,34229.0,61.01,302
26,2023-10-31,61.22,61.29,60.49,61.17,53671.0,60.947,446
27,2023-11-01,61.41,62.0,60.78,61.91,50923.0,61.336,425
28,2023-11-02,62.39,62.88,62.07,62.47,36362.0,62.462,323
29,2023-11-03,62.77,63.7,62.67,63.67,29513.0,63.385,247
30,2023-11-06,63.74,63.74,62.85,62.88,25885.0,63.121,209
31,2023-11-07,62.66,62.66,61.81,62.21,37187.0,62.135,328
32,2023-11-08,62.18,63.11,62.18,63.01,42829.0,62.719,404
33,2023-11-09,63.72,64.43,62.91,63.04,73746.0,63.702,610
34,2023-11-10,65.0,69.0,64.83,68.7,182291.0,67.819,1397
35,2023-11-13,68.91,71.29,68.91,70.26,126072.0,70.541,989
