,date,open,high,low,close,volume,average,barCount
0,2023-10-06,73.43,77.67,73.43,76.64,171128.0,76.415,1163
1,2023-10-09,76.5,76.67,73.6,73.94,193958.0,74.881,1239
2,2023-10-10,74.58,77.52,74.09,76.53,175224.0,76.544,1265
3,2023-10-11,76.65,78.95,76.65,78.54,292675.0,78.397,1869
4,2023-10-12,78.65,79.09,76.77,77.44,164431.0,77.909,1165
5,2023-10-13,77.47,77.63,65.71,72.0,829968.0,69.959,5272
6,2023-10-16,72.7,74.75,72.25,72.89,203247.0,73.36,1401
7,2023-10-17,72.61,77.21,72.61,76.84,196072.0,76.416,1439
8,2023-10-18,75.89,76.01,72.15,72.49,171330.0,73.129,1158
9,2023-10-19,72.49,73.79,71.17,71.7,149660.0,72.351,988
10,2023-10-20,71.64,71.84,69.37,70.03,156327.0,70.365,1124
11,2023-10-23,69.99,72.22,69.65,71.07,134258.0,71.111,822
12,2023-10-24,72.08,72.74,71.07,71.92,108039.0,71.842,867
13,2023-10-25,71.75,73.18,71.4,71.56,144222.0,72.026,1061
14,2023-10-26,71.44,71.67,69.58,70.95,129061.0,70.787,856
15,2023-10-27,70.91,71.6,69.51,70.88,100121.0,70.869,751
16,2023-10-30,71.26,72.52,70.7,72.25,83622.0,71.71,652
17,2023-10-31,72.29,73.86,71.83,72.85,112097.0,72.934,836
18,2023-11-01,72.83,75.6,72.13,75.16,201593.0,74.263,1608
19,2023-11-02,76.2,76.98,73.8,75.49,218310.0,75.327,1546
20,2023-11-03,76.67,77.74,75.37,75.96,169136.0,76.093,1199
21,2023-11-06,75.8,76.2,73.51,74.53,498549.0,74.342,3740
22,2023-11-07,67.0,67.11,55.45,62.67,1251395.0,62.197,7747
23,2023-11-08,65.73,67.1,64.27,65.75,437397.0,65.44,3119
24,2023-11-09,66.49,67.66,64.05,65.05,169735.0,65.332,1274
25,2023-11-10,65.68,67.31,65.19,66.56,196967.0,66.511,1294
26,2023-11-13,66.3,66.7,65.54,66.36,128206.0,66.164,903
27,2023-11-14,67.94,68.92,66.07,67.0,197210.0,67.07,1549
28,2023-11-15,67.02,67.79,66.32,66.99,128089.0,67.018,928
29,2023-11-16,66.69,67.57,65.2,65.38,131584.0,65.987,907
30,2023-11-17,66.38,67.17,65.97,66.2,116322.0,66.379,655
31,2023-11-20,65.88,66.06,63.91,64.3,175998.0,64.669,1204
32,2023-11-21,64.0,65.04,63.83,64.31,82461.0,64.526,601
33,2023-11-22,64.48,65.28,64.46,64.95,97459.0,64.936,678
34,2023-11-24,65.08,65.6,64.74,65.39,30529.0,65.254,207
35,2023-11-27,65.0,65.48,64.37,64.97,74496.0,64.907,533
36,2023-11-28,64.73,64.99,62.66,62.94,104882.0,63.478,708
37,2023-11-29,63.45,63.67,62.19,62.55,114924.0,62.775,847
38,2023-11-30,63.14,63.68,62.13,63.51,107322.0,63.151,867
39,2023-12-01,63.45,65.62,62.95,64.86,160583.0,64.412,1137
40,2023-12-04,64.76,65.11,62.66,65.04,216630.0,64.119,1471
41,2023-12-05,64.73,65.22,63.49,64.59,99886.0,64.3,748
42,2023-12-06,66.73,69.25,66.63,66.86,308411.0,68.058,1821
43,2023-12-07,66.47,67.99,66.14,67.95,132976.0,67.248,950
44,2023-12-08,67.95,69.72,67.95,69.49,100001.0,69.239,750
45,2023-12-11,69.79,71.01,69.22,70.55,126155.0,70.228,872
46,2023-12-12,70.61,73.73,70.52,73.41,171225.0,72.71,1161
47,2023-12-13,73.55,77.21,73.2,76.83,223734.0,75.562,1604
48,2023-12-14,78.02,79.15,74.41,76.86,201928.0,76.439,1463
49,2023-12-15,77.62,78.92,76.82,77.62,241742.0,77.717,1135
50,2023-12-18,78.04,79.17,77.53,78.58,134661.0,78.589,902
51,2023-12-19,79.46,81.19,79.26,80.58,139824.0,80.162,829
52,2023-12-20,80.59,84.59,80.02,81.3,203379.0,82.629,1226
53,2023-12-21,82.41,84.19,81.24,84.01,196580.0,82.841,1323
54,2023-12-22,84.21,86.13,83.59,85.9,222713.0,85.228,1714
55,2023-12-26,85.83,87.04,84.59,86.77,203051.0,86.293,1251
56,2023-12-27,87.06,89.2,86.81,88.22,250416.0,88.393,1782
57,2023-12-28,88.19,89.66,88.01,89.17,183552.0,89.105,1217
58,2023-12-29,89.31,89.8,87.4,87.93,154714.0,88.311,1047
59,2024-01-02,87.0,87.45,81.67,84.91,549974.0,83.567,2200
60,2024-01-03,83.32,83.54,79.64,79.76,168713.0,81.354,1183
61,2024-01-04,80.1,80.1,78.25,78.25,148163.0,79.13,1079
62,2024-01-05,78.0,79.07,76.84,77.09,106312.0,77.745,843
63,2024-01-08,77.3,79.21,77.27,78.72,134960.0,78.47,935
64,2024-01-09,77.4,77.76,74.71,77.09,147306.0,76.51,909
65,2024-01-10,76.59,78.38,76.16,78.29,128380.0,77.276,956
66,2024-01-11,78.16,78.96,77.32,78.41,82468.0,78.152,516
67,2024-01-12,79.48,79.92,77.69,78.4,77585.0,78.44,494
68,2024-01-16,78.0,79.78,76.43,79.73,176360.0,78.4,1157
69,2024-01-17,78.41,78.43,76.87,78.0,90734.0,77.849,731
70,2024-01-18,78.49,79.26,76.3,77.57,134302.0,77.316,880
71,2024-01-19,77.93,78.12,75.1,76.2,173214.0,76.12,1093
72,2024-01-22,76.75,77.9,75.82,76.61,107660.0,76.539,771
73,2024-01-23,76.89,77.0,69.61,72.04,475378.0,71.598,2721
74,2024-01-24,72.75,72.75,70.59,71.78,201163.0,71.621,1298
75,2024-01-25,73.34,73.51,72.56,73.13,132797.0,73.076,925
76,2024-01-26,73.8,75.25,73.23,75.13,189785.0,74.67,1475
77,2024-01-29,75.04,77.08,74.5,77.03,108823.0,76.118,749
78,2024-01-30,77.0,78.07,75.94,77.17,139557.0,76.703,865
79,2024-01-31,77.41,77.5,74.44,75.1,239661.0,76.46,1248
80,2024-02-01,75.9,78.6,75.11,78.36,167042.0,77.41,796
81,2024-02-02,78.0,79.02,76.89,78.53,180259.0,78.19,805
82,2024-02-05,77.62,78.47,75.88,76.12,141632.0,76.81,1026
83,2024-02-06,75.95,76.93,74.7,76.93,170461.0,75.732,697
84,2024-02-07,77.45,79.76,77.14,79.56,218870.0,78.768,1414
85,2024-02-08,79.99,82.49,79.41,82.3,182631.0,81.346,1309
86,2024-02-09,82.5,84.46,81.61,83.43,156457.0,83.147,859
87,2024-02-12,83.03,84.53,81.78,82.81,204628.0,83.561,818
88,2024-02-13,78.67,81.15,76.01,79.5,274602.0,79.403,1896
89,2024-02-14,81.04,82.7,80.91,82.7,29586.0,81.892,186
