,date,open,high,low,close,volume,average,barCount
0,2023-10-06,18.58,19.05,18.52,18.78,1368504.0,18.787,7272
1,2023-10-09,18.63,19.06,18.6,19.05,1366210.0,18.913,7283
2,2023-10-10,18.68,19.1,18.61,18.97,1617998.0,18.942,8695
3,2023-10-11,19.15,19.41,19.08,19.41,1301893.0,19.24,6636
4,2023-10-12,19.38,19.38,18.97,19.17,1694069.0,19.174,9035
5,2023-10-13,19.31,19.36,18.78,18.85,1976452.0,18.932,10262
6,2023-10-16,19.06,19.23,18.86,19.18,1646380.0,19.106,7987
7,2023-10-17,19.04,19.48,19.0,19.42,1927658.0,19.35,10902
8,2023-10-18,19.22,19.22,18.79,18.9,1176502.0,18.929,5877
9,2023-10-19,18.82,19.0,18.28,18.3,2047784.0,18.587,10736
10,2023-10-20,18.3,18.43,18.02,18.04,1733142.0,18.122,9333
11,2023-10-23,17.98,18.05,17.65,17.84,2435826.0,17.877,12280
12,2023-10-24,17.83,18.22,17.79,18.09,2520971.0,18.067,15313
13,2023-10-25,17.9,18.05,17.53,17.53,2817751.0,17.746,14274
14,2023-10-26,17.56,17.86,17.5,17.65,2362396.0,17.677,13232
15,2023-10-27,17.73,17.83,17.07,17.25,2594542.0,17.319,12930
16,2023-10-30,17.45,17.61,17.21,17.52,1358902.0,17.453,7194
17,2023-10-31,17.62,17.84,17.59,17.75,1498236.0,17.731,8264
18,2023-11-01,17.76,18.06,17.57,17.99,1783541.0,17.874,9496
19,2023-11-02,18.25,18.77,18.19,18.76,1676866.0,18.533,8519
20,2023-11-03,19.19,19.41,19.04,19.15,2078650.0,19.186,11600
21,2023-11-06,19.11,19.14,18.58,18.66,2232189.0,18.751,11546
22,2023-11-07,18.65,18.74,18.47,18.61,1900138.0,18.633,10435
23,2023-11-08,18.63,19.39,18.42,19.35,3194919.0,19.116,13896
24,2023-11-09,19.5,19.53,18.92,18.98,1948302.0,19.178,10413
25,2023-11-10,19.18,19.24,18.99,19.17,1556537.0,19.133,8405
26,2023-11-13,19.04,19.19,18.93,19.1,1234416.0,19.08,5965
27,2023-11-14,19.66,20.18,19.5,20.15,3258763.0,20.034,15945
28,2023-11-15,20.13,20.39,20.06,20.36,1620450.0,20.303,7781
29,2023-11-16,20.35,20.4,19.6,19.64,2249684.0,19.822,10980
30,2023-11-17,19.79,19.87,19.63,19.76,1501923.0,19.774,6343
31,2023-11-20,19.77,19.91,19.62,19.77,1195890.0,19.794,5537
32,2023-11-21,19.7,19.75,19.53,19.68,1066963.0,19.665,4675
33,2023-11-22,19.82,19.94,19.67,19.93,990713.0,19.856,4599
34,2023-11-24,19.86,19.99,19.79,19.9,482583.0,19.896,2873
35,2023-11-27,19.81,19.85,19.65,19.67,988505.0,19.743,4718
36,2023-11-28,19.6,19.8,19.51,19.79,1097164.0,19.711,5279
37,2023-11-29,19.96,20.24,19.86,19.88,1688691.0,20.009,8369
38,2023-11-30,19.9,20.0,19.8,19.87,1323306.0,19.9,6576
39,2023-12-01,19.83,20.66,19.73,20.65,3092739.0,20.355,11150
40,2023-12-04,20.55,20.81,20.45,20.77,2334090.0,20.664,9738
41,2023-12-05,20.66,20.71,20.42,20.48,1427061.0,20.515,8348
42,2023-12-06,20.57,20.71,19.65,19.68,3368336.0,20.011,17160
43,2023-12-07,19.71,20.18,19.68,20.16,1327301.0,20.016,6729
44,2023-12-08,20.15,20.33,20.09,20.17,1179865.0,20.19,6542
45,2023-12-11,20.12,20.4,20.06,20.31,1414857.0,20.285,6730
46,2023-12-12,20.32,20.58,20.18,20.53,1932296.0,20.472,9222
47,2023-12-13,20.5,21.22,20.35,21.07,2691141.0,20.842,13558
48,2023-12-14,21.46,21.92,21.46,21.72,4225638.0,21.718,20515
49,2023-12-15,21.7,21.74,21.4,21.6,2539178.0,21.553,12195
50,2023-12-18,21.65,21.85,21.59,21.72,2001412.0,21.753,10455
51,2023-12-19,21.83,22.01,21.75,21.94,1554338.0,21.919,8255
52,2023-12-20,21.9,22.15,21.58,21.6,2077810.0,21.91,11253
53,2023-12-21,21.82,21.99,21.73,21.99,1231465.0,21.888,6583
54,2023-12-22,22.03,22.2,21.79,21.87,1772782.0,21.98,7660
55,2023-12-26,21.97,22.29,21.91,22.14,1383421.0,22.141,6985
56,2023-12-27,22.15,22.19,21.9,22.03,2037196.0,22.015,9128
57,2023-12-28,21.4,21.53,21.18,21.32,2839223.0,21.306,10419
58,2023-12-29,21.25,21.29,21.0,21.02,1327727.0,21.116,6969
59,2024-01-02,20.85,21.19,20.8,21.14,1570267.0,21.017,8067
60,2024-01-03,20.84,20.86,20.4,20.51,2418633.0,20.575,12129
61,2024-01-04,20.5,20.77,20.45,20.57,1177822.0,20.624,6562
62,2024-01-05,20.55,21.0,20.49,20.8,959525.0,20.789,5674
63,2024-01-08,20.74,21.15,20.67,21.12,1248178.0,21.023,5837
64,2024-01-09,20.89,21.11,20.82,21.05,1270024.0,21.019,6479
65,2024-01-10,21.11,21.18,20.98,21.12,1024457.0,21.086,5997
66,2024-01-11,21.01,21.12,20.76,20.9,1287703.0,20.942,7187
67,2024-01-12,21.09,21.22,20.72,20.82,1524021.0,20.887,7204
68,2024-01-16,20.61,20.8,20.35,20.46,1540245.0,20.506,7377
69,2024-01-17,20.22,20.53,20.12,20.32,1444589.0,20.315,7381
70,2024-01-18,20.34,20.48,20.1,20.44,1097778.0,20.316,5797
71,2024-01-19,20.47,20.7,20.2,20.7,1204481.0,20.437,5974
72,2024-01-22,20.78,20.91,20.53,20.68,1049482.0,20.709,4691
73,2024-01-23,20.79,20.88,20.52,20.63,993220.0,20.651,4919
74,2024-01-24,20.82,20.85,20.48,20.52,1036978.0,20.613,5234
75,2024-01-25,20.74,20.85,20.35,20.69,1554895.0,20.569,8288
76,2024-01-26,20.8,20.92,20.69,20.87,952351.0,20.836,5061
77,2024-01-29,20.89,21.19,20.86,21.18,1299795.0,21.052,6790
78,2024-01-30,21.03,21.18,20.93,21.0,1130266.0,21.042,5616
79,2024-01-31,20.92,20.92,20.24,20.33,2835944.0,20.503,13958
80,2024-02-01,20.37,20.41,19.75,20.21,2718177.0,20.108,13343
81,2024-02-02,20.04,20.08,19.75,19.91,2087487.0,19.892,11371
82,2024-02-05,19.69,19.92,19.33,19.78,2189790.0,19.662,10520
83,2024-02-06,19.75,20.01,19.56,19.64,1597598.0,19.702,8846
84,2024-02-07,19.6,19.62,19.1,19.33,2996826.0,19.311,12904
85,2024-02-08,19.29,19.35,19.05,19.12,2663722.0,19.177,12487
86,2024-02-09,19.16,19.29,18.99,19.28,1319998.0,19.171,6888
87,2024-02-12,19.28,19.6,19.2,19.49,1141613.0,19.493,6631
88,2024-02-13,18.89,19.05,18.68,18.84,2914860.0,18.856,13573
89,2024-02-14,19.11,19.24,18.96,19.05,702979.0,19.107,3577
